#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR25004--MA0657.1.KLF13	chr16	76310889	76310906	-	0.000	0.000	Merged-chr16-76310830-49
NR13836--MA0740.1.KLF14	chr12	69853616	69853629	+	0.000	0.000	Merged-chr12-69853558-20
NR21334--MA0039.3.KLF4	chr15	31239988	31239998	+	0.000	0.000	Merged-chr15-31239940-27
NR29758--MA0657.1.KLF13	chr18	54822919	54822936	+	0.000	0.000	Merged-chr18-54822886-30
NR28059--MA0742.1.Klf12	chr17	65884521	65884535	+	0.000	0.000	Merged-chr17-65884407-1
NR21330--MA0740.1.KLF14	chr15	31239986	31239999	+	0.000	0.000	Merged-chr15-31239940-27
NR51668--MA0493.1.Klf1	chr6	28878189	28878199	-	0.000	0.000	Merged-chr6-28878211-33
NR34554--MA1107.1.KLF9	chr2	68874162	68874174	+	0.000	0.000	Merged-chr2-68874057-78
NR47591--MA0741.1.KLF16	chr5	47983092	47983102	-	0.000	0.000	Merged-chr5-47983242-36
NR7321--MA0741.1.KLF16	chr10	94087500	94087510	+	0.000	0.000	Merged-chr10-94087553-20
NR62871--MA0741.1.KLF16	chr8	122769457	122769467	-	0.000	0.000	Merged-chr8-122769435-21
NR10801--MA1107.1.KLF9	chr11	77887855	77887867	+	0.000	0.000	Merged-chr11-77887652-60
NR32164--MA1107.1.KLF9	chr19	42770731	42770743	-	0.000	0.000	Merged-chr19-42770693-24
NR7318--MA0599.1.KLF5	chr10	94087495	94087504	+	0.000	0.000	Merged-chr10-94087553-20
NR56911--MA1107.1.KLF9	chr7	64012062	64012074	-	0.000	0.000	Merged-chr7-64011985-78
NR37002--MA0741.1.KLF16	chr2	153003077	153003087	-	0.000	0.000	Merged-chr2-153002914-29
NR63409--MA0741.1.KLF16	chr9	15531413	15531423	+	0.000	0.000	Merged-chr9-15531370-12
NR15261--MA1107.1.KLF9	chr12	112629099	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR16866--MA0742.1.Klf12	chr13	64432306	64432320	+	0.000	0.000	Merged-chr13-64432516-70
NR40016--MA0599.1.KLF5	chr3	98406700	98406709	+	0.000	0.000	Merged-chr3-98406778-20
NR14306--MA0741.1.KLF16	chr12	84851596	84851606	+	0.000	0.000	Merged-chr12-84851532-12
NR65996--MA0599.1.KLF5	chr9	107719432	107719441	+	0.000	0.000	Merged-chr9-107719377-27
NR38042--MA0599.1.KLF5	chr2	172940357	172940366	-	0.000	0.000	Merged-chr2-172940358-59
NR4504--MA1107.1.KLF9	chr1	191486774	191486786	-	0.000	0.000	Merged-chr1-191486758-12
NR61762--MA0599.1.KLF5	chr8	88604238	88604247	-	0.000	0.000	Merged-chr8-88604204-17
NR37809--MA0741.1.KLF16	chr2	168525574	168525584	+	0.000	0.000	Merged-chr2-168525389-54
NR6950--MA0741.1.KLF16	chr10	84904054	84904064	+	0.000	0.000	Merged-chr10-84904074-24
NR56696--MA0039.3.KLF4	chr7	47104248	47104258	-	0.000	0.000	Merged-chr7-47104097-36
NR47602--MA0741.1.KLF16	chr5	51552661	51552671	+	0.000	0.000	Merged-chr5-51552540-96
NR8882--MA0741.1.KLF16	chr11	4390659	4390669	-	0.000	0.000	Merged-chr11-4390804-16
NR21331--MA0657.1.KLF13	chr15	31239985	31240002	+	0.000	0.000	Merged-chr15-31239940-27
NR56907--MA1107.1.KLF9	chr7	64012054	64012066	-	0.000	0.000	Merged-chr7-64011985-78
NR29432--MA1107.1.KLF9	chr18	35776623	35776635	+	0.000	0.000	Merged-chr18-35776738-19
NR17433--MA0493.1.Klf1	chr13	94144784	94144794	-	0.000	0.000	Merged-chr13-94144726-31
NR51835--MA0599.1.KLF5	chr6	37299261	37299270	+	0.000	0.000	Merged-chr6-37299169-1
NR52495--MA0599.1.KLF5	chr6	66973327	66973336	+	0.000	0.000	Merged-chr6-66973310-7
NR25184--MA0741.1.KLF16	chr16	89835877	89835887	+	0.000	0.000	Merged-chr16-89835915-50
NR21725--MA1107.1.KLF9	chr15	59019024	59019036	+	0.000	0.000	Merged-chr15-59019141-20
NR40119--MA0493.1.Klf1	chr3	101598151	101598161	+	0.000	0.000	Merged-chr3-101598272-22
NR23206--MA0039.3.KLF4	chr15	99223645	99223655	-	0.000	0.000	Merged-chr15-99223705-10
NR56281--MA0493.1.Klf1	chr7	35119050	35119060	-	0.000	0.000	Merged-chr7-35119008-87
NR63141--MA0740.1.KLF14	chr8	126699187	126699200	-	0.000	0.000	Merged-chr8-126699390-72
NR63239--MA0741.1.KLF16	chr8	128333493	128333503	-	0.000	0.000	Merged-chr8-128333532-18
NR48543--MA0599.1.KLF5	chr5	93268207	93268216	+	0.000	0.000	Merged-chr5-93268238-3
NR62866--MA0599.1.KLF5	chr8	122769452	122769461	-	0.000	0.000	Merged-chr8-122769435-21
NR63816--MA1107.1.KLF9	chr9	37236234	37236246	-	0.000	0.000	Merged-chr9-37236124-32
NR63144--MA0039.3.KLF4	chr8	126721955	126721965	-	0.000	0.000	Merged-chr8-126721826-22
NR31457--MA0741.1.KLF16	chr19	10688913	10688923	-	0.000	0.000	Merged-chr19-10688915-74
NR64449--MA0039.3.KLF4	chr9	61779367	61779377	+	0.000	0.000	Merged-chr9-61779248-32
NR38760--MA0741.1.KLF16	chr3	36613428	36613438	+	0.000	0.000	Merged-chr3-36613405-48
NR451--MA0741.1.KLF16	chr1	39702691	39702701	-	0.000	0.000	Merged-chr1-39702774-23
NR53688--MA0740.1.KLF14	chr6	116682493	116682506	-	0.000	0.000	Merged-chr6-116682504-22
NR56692--MA0742.1.Klf12	chr7	47104246	47104260	-	0.000	0.000	Merged-chr7-47104097-36
NR6734--MA1107.1.KLF9	chr10	81247994	81248006	+	0.000	0.000	Merged-chr10-81248090-40
NR52292--MA0740.1.KLF14	chr6	54760113	54760126	+	0.000	0.000	Merged-chr6-54760187-57
NR34019--MA0493.1.Klf1	chr2	37765371	37765381	-	0.000	0.000	Merged-chr2-37765232-35
NR34606--MA0599.1.KLF5	chr2	70425766	70425775	+	0.000	0.000	Merged-chr2-70425902-24
NR35667--MA0741.1.KLF16	chr2	112240503	112240513	+	0.000	0.000	Merged-chr2-112240570-1
NR7308--MA0657.1.KLF13	chr10	93933173	93933190	-	0.000	0.000	Merged-chr10-93933103-29
NR52294--MA0493.1.Klf1	chr6	54760113	54760123	+	0.000	0.000	Merged-chr6-54760187-57
NR966--MA1107.1.KLF9	chr1	69499066	69499078	-	0.000	0.000	Merged-chr1-69499196-51
NR12284--MA1107.1.KLF9	chr11	109356816	109356828	-	0.000	0.000	Merged-chr11-109356957-22
NR60499--MA0599.1.KLF5	chr8	35826522	35826531	+	0.000	0.000	Merged-chr8-35826369-102
NR22404--MA1107.1.KLF9	chr15	80219313	80219325	-	0.000	0.000	Merged-chr15-80219438-40
NR33183--MA0657.1.KLF13	chr2	17855796	17855813	-	0.000	0.000	Merged-chr2-17855738-13
NR28921--MA0742.1.Klf12	chr17	88668541	88668555	+	0.000	0.000	Merged-chr17-88668603-31
NR52293--MA0039.3.KLF4	chr6	54760115	54760125	+	0.000	0.000	Merged-chr6-54760187-57
NR7708--MA1107.1.KLF9	chr10	110952118	110952130	+	0.000	0.000	Merged-chr10-110952029-21
NR6725--MA0039.3.KLF4	chr10	81247884	81247894	-	0.000	0.000	Merged-chr10-81248090-40
NR3259--MA1107.1.KLF9	chr1	165091985	165091997	+	0.000	0.000	Merged-chr1-165091937-36
NR23204--MA0740.1.KLF14	chr15	99223644	99223657	-	0.000	0.000	Merged-chr15-99223705-10
NR21799--MA0599.1.KLF5	chr15	62181616	62181625	-	0.000	0.000	Merged-chr15-62181612-21
NR38481--MA0741.1.KLF16	chr3	10212202	10212212	-	0.000	0.000	Merged-chr3-10212114-17
NR8879--MA0741.1.KLF16	chr11	4390656	4390666	-	0.000	0.000	Merged-chr11-4390804-16
NR28062--MA0493.1.Klf1	chr17	65884521	65884531	+	0.000	0.000	Merged-chr17-65884407-1
NR18559--MA0039.3.KLF4	chr14	7929179	7929189	-	0.000	0.000	Merged-chr14-7929252-11
NR57083--MA0740.1.KLF14	chr7	75397645	75397658	+	0.000	0.000	Merged-chr7-75397713-20
NR28066--MA1107.1.KLF9	chr17	65884528	65884540	+	0.000	0.000	Merged-chr17-65884407-1
NR24494--MA0039.3.KLF4	chr16	45261509	45261519	+	0.000	0.000	Merged-chr16-45261551-46
NR61283--MA0740.1.KLF14	chr8	76902219	76902232	+	0.000	0.000	Merged-chr8-76902143-41
NR56695--MA0599.1.KLF5	chr7	47104265	47104274	-	0.000	0.000	Merged-chr7-47104097-36
NR65030--MA0742.1.Klf12	chr9	77456724	77456738	+	0.000	0.000	Merged-chr9-77456588-28
NR32355--MA0493.1.Klf1	chr19	46148529	46148539	-	0.000	0.000	Merged-chr19-46148494-21
NR17282--MA0741.1.KLF16	chr13	89521653	89521663	+	0.000	0.000	Merged-chr13-89521757-30
NR40120--MA1107.1.KLF9	chr3	101598151	101598163	+	0.000	0.000	Merged-chr3-101598272-22
NR23205--MA0657.1.KLF13	chr15	99223641	99223658	-	0.000	0.000	Merged-chr15-99223705-10
NR40466--MA0599.1.KLF5	chr3	109444053	109444062	+	0.000	0.000	Merged-chr3-109444108-35
NR24558--MA0741.1.KLF16	chr16	49959188	49959198	+	0.000	0.000	Merged-chr16-49959222-29
NR60834--MA0039.3.KLF4	chr8	64788880	64788890	+	0.000	0.000	Merged-chr8-64788923-42
NR15685--MA0493.1.Klf1	chr13	13582202	13582212	-	0.000	0.000	Merged-chr13-13582107-29
NR66605--MA0599.1.KLF5	chr9	118821830	118821839	-	0.000	0.000	Merged-chr9-118821695-53
NR37850--MA0599.1.KLF5	chr2	168741430	168741439	+	0.000	0.000	Merged-chr2-168741453-11
NR52494--MA0740.1.KLF14	chr6	66973326	66973339	+	0.000	0.000	Merged-chr6-66973310-7
NR27564--MA0493.1.Klf1	chr17	47189807	47189817	+	0.000	0.000	Merged-chr17-47189896-43
NR35662--MA0740.1.KLF14	chr2	112240497	112240510	+	0.000	0.000	Merged-chr2-112240570-1
NR61284--MA0657.1.KLF13	chr8	76902218	76902235	+	0.000	0.000	Merged-chr8-76902143-41
NR2779--MA1107.1.KLF9	chr1	153723465	153723477	-	0.000	0.000	Merged-chr1-153723564-53
NR17179--MA0039.3.KLF4	chr13	83715322	83715332	+	0.000	0.000	Merged-chr13-83715230-50
NR29759--MA0742.1.Klf12	chr18	54822920	54822934	+	0.000	0.000	Merged-chr18-54822886-30
NR32750--MA0599.1.KLF5	chr19	57882083	57882092	+	0.000	0.000	Merged-chr19-57882261-17
NR18936--MA0039.3.KLF4	chr14	31556324	31556334	-	0.000	0.000	Merged-chr14-31556211-33
NR48933--MA0039.3.KLF4	chr5	105798810	105798820	-	0.000	0.000	Merged-chr5-105798670-49
NR64448--MA0599.1.KLF5	chr9	61779366	61779375	+	0.000	0.000	Merged-chr9-61779248-32
NR56914--MA1107.1.KLF9	chr7	64012068	64012080	-	0.000	0.000	Merged-chr7-64011985-78
NR51805--MA1107.1.KLF9	chr6	34869194	34869206	+	0.000	0.000	Merged-chr6-34869136-1
NR7719--MA0740.1.KLF14	chr10	111102953	111102966	+	0.000	0.000	Merged-chr10-111102896-60
NR34020--MA1107.1.KLF9	chr2	37765369	37765381	-	0.000	0.000	Merged-chr2-37765232-35
NR8745--MA0039.3.KLF4	chr10	128940594	128940604	-	0.000	0.000	Merged-chr10-128940717-41
NR2015--MA0599.1.KLF5	chr1	125390252	125390261	-	0.000	0.000	Merged-chr1-125390190-80
NR29761--MA0039.3.KLF4	chr18	54822922	54822932	+	0.000	0.000	Merged-chr18-54822886-30
NR7427--MA0039.3.KLF4	chr10	96201382	96201392	-	0.000	0.000	Merged-chr10-96201472-66
NR355--MA0493.1.Klf1	chr1	36919866	36919876	+	0.000	0.000	Merged-chr1-36919930-2
NR39336--MA0493.1.Klf1	chr3	79451644	79451654	-	0.000	0.000	Merged-chr3-79451498-29
NR30125--MA0741.1.KLF16	chr18	65322464	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR56919--MA1107.1.KLF9	chr7	64012078	64012090	-	0.000	0.000	Merged-chr7-64011985-78
NR13959--MA0741.1.KLF16	chr12	73746281	73746291	-	0.000	0.000	Merged-chr12-73746193-23
NR63814--MA1107.1.KLF9	chr9	37236230	37236242	-	0.000	0.000	Merged-chr9-37236124-32
NR12238--MA0599.1.KLF5	chr11	108039261	108039270	-	0.000	0.000	Merged-chr11-108039286-20
NR43431--MA1107.1.KLF9	chr4	63486715	63486727	+	0.000	0.000	Merged-chr4-63486767-20
NR17468--MA0599.1.KLF5	chr13	95765258	95765267	-	0.000	0.000	Merged-chr13-95765232-46
NR48661--MA1107.1.KLF9	chr5	97090259	97090271	-	0.000	0.000	Merged-chr5-97090318-20
NR60572--MA0493.1.Klf1	chr8	45410379	45410389	-	0.000	0.000	Merged-chr8-45410262-39
NR62872--MA1107.1.KLF9	chr8	122769450	122769462	-	0.000	0.000	Merged-chr8-122769435-21
NR18558--MA0599.1.KLF5	chr14	7929187	7929196	-	0.000	0.000	Merged-chr14-7929252-11
NR13901--MA0599.1.KLF5	chr12	71577500	71577509	-	0.000	0.000	Merged-chr12-71577475-38
NR57934--MA0741.1.KLF16	chr7	102347589	102347599	+	0.000	0.000	Merged-chr7-102347477-20
NR28060--MA0599.1.KLF5	chr17	65884522	65884531	+	0.000	0.000	Merged-chr17-65884407-1
NR31458--MA0657.1.KLF13	chr19	10689033	10689050	-	0.000	0.000	Merged-chr19-10688915-74
NR21092--MA0039.3.KLF4	chr15	8589753	8589763	+	0.000	0.000	Merged-chr15-8589819-27
NR7710--MA1107.1.KLF9	chr10	110952122	110952134	+	0.000	0.000	Merged-chr10-110952029-21
NR66205--MA0741.1.KLF16	chr9	112175470	112175480	-	0.000	0.000	Merged-chr9-112175419-1
NR7183--MA0599.1.KLF5	chr10	91029210	91029219	-	0.000	0.000	Merged-chr10-91029194-21
NR13904--MA0741.1.KLF16	chr12	71577499	71577509	-	0.000	0.000	Merged-chr12-71577475-38
NR58290--MA0599.1.KLF5	chr7	113419648	113419657	+	0.000	0.000	Merged-chr7-113419557-35
NR54010--MA1107.1.KLF9	chr6	125468294	125468306	+	0.000	0.000	Merged-chr6-125468241-50
NR63734--MA1107.1.KLF9	chr9	32672276	32672288	-	0.000	0.000	Merged-chr9-32672440-49
NR38413--MA0599.1.KLF5	chr3	8717393	8717402	+	0.000	0.000	Merged-chr3-8717539-26
NR54124--MA0740.1.KLF14	chr6	128334910	128334923	-	0.000	0.000	Merged-chr6-128334675-39
NR45646--MA0741.1.KLF16	chr4	138262424	138262434	+	0.000	0.000	Merged-chr4-138262353-56
NR68366--MA0657.1.KLF13	chrY	90799064	90799081	-	0.000	0.000	Merged-chrY-90799205-23
NR65798--MA0493.1.Klf1	chr9	105078826	105078836	-	0.000	0.000	Merged-chr9-105078921-24
NR51847--MA0493.1.Klf1	chr6	37564052	37564062	+	0.000	0.000	Merged-chr6-37564158-19
NR15260--MA0741.1.KLF16	chr12	112629100	112629110	-	0.000	0.000	Merged-chr12-112629266-49
NR51669--MA0741.1.KLF16	chr6	28878194	28878204	-	0.000	0.000	Merged-chr6-28878211-33
NR57437--MA0741.1.KLF16	chr7	84149144	84149154	-	0.000	0.000	Merged-chr7-84149073-24
NR7622--MA0599.1.KLF5	chr10	107946757	107946766	+	0.000	0.000	Merged-chr10-107946593-22
NR56707--MA0740.1.KLF14	chr7	48137406	48137419	+	0.000	0.000	Merged-chr7-48137318-1
NR40090--MA0039.3.KLF4	chr3	101066374	101066384	-	0.000	0.000	Merged-chr3-101066330-34
NR38758--MA0599.1.KLF5	chr3	36613428	36613437	+	0.000	0.000	Merged-chr3-36613405-48
NR56688--MA0740.1.KLF14	chr7	47104247	47104260	-	0.000	0.000	Merged-chr7-47104097-36
NR28923--MA0039.3.KLF4	chr17	88668532	88668542	+	0.000	0.000	Merged-chr17-88668603-31
NR51635--MA0741.1.KLF16	chr6	24515099	24515109	+	0.000	0.000	Merged-chr6-24515075-25
NR8747--MA0741.1.KLF16	chr10	128940595	128940605	-	0.000	0.000	Merged-chr10-128940717-41
NR38189--MA0493.1.Klf1	chr2	174566141	174566151	+	0.000	0.000	Merged-chr2-174566072-46
NR13130--MA0039.3.KLF4	chr12	8859007	8859017	-	0.000	0.000	Merged-chr12-8859142-27
NR21205--MA1107.1.KLF9	chr15	25216703	25216715	+	0.000	0.000	Merged-chr15-25216736-38
NR47034--MA0741.1.KLF16	chr5	24348300	24348310	+	0.000	0.000	Merged-chr5-24348360-46
NR21838--MA0741.1.KLF16	chr15	66286836	66286846	-	0.000	0.000	Merged-chr15-66286791-54
NR39244--MA0742.1.Klf12	chr3	69156738	69156752	-	0.000	0.000	Merged-chr3-69156652-55
NR31710--MA1107.1.KLF9	chr19	24166912	24166924	+	0.000	0.000	Merged-chr19-24166764-51
NR45647--MA0742.1.Klf12	chr4	138262442	138262456	+	0.000	0.000	Merged-chr4-138262353-56
NR65033--MA0493.1.Klf1	chr9	77456724	77456734	+	0.000	0.000	Merged-chr9-77456588-28
NR13440--MA0657.1.KLF13	chr12	33220652	33220669	+	0.000	0.000	Merged-chr12-33220672-27
NR53100--MA0740.1.KLF14	chr6	91698957	91698970	+	0.000	0.000	Merged-chr6-91699017-27
NR17726--MA0741.1.KLF16	chr13	101569400	101569410	-	0.000	0.000	Merged-chr13-101569413-14
NR53634--MA0599.1.KLF5	chr6	115123395	115123404	-	0.000	0.000	Merged-chr6-115123444-38
NR57084--MA0493.1.Klf1	chr7	75397645	75397655	+	0.000	0.000	Merged-chr7-75397713-20
NR7729--MA1107.1.KLF9	chr10	111223381	111223393	+	0.000	0.000	Merged-chr10-111223319-26
NR25905--MA0741.1.KLF16	chr17	8525164	8525174	-	0.000	0.000	Merged-chr17-8525059-23
NR1910--MA0740.1.KLF14	chr1	119637160	119637173	+	0.000	0.000	Merged-chr1-119636990-21
NR2719--MA0741.1.KLF16	chr1	151698129	151698139	-	0.000	0.000	Merged-chr1-151698105-31
NR3993--MA0599.1.KLF5	chr1	182764154	182764163	+	0.000	0.000	Merged-chr1-182764155-66
NR24155--MA0741.1.KLF16	chr16	29814104	29814114	+	0.000	0.000	Merged-chr16-29814134-35
NR61913--MA0039.3.KLF4	chr8	95154956	95154966	+	0.000	0.000	Merged-chr8-95154872-23
NR29760--MA0599.1.KLF5	chr18	54822921	54822930	+	0.000	0.000	Merged-chr18-54822886-30
NR30934--MA0742.1.Klf12	chr18	83993536	83993550	-	0.000	0.000	Merged-chr18-83993380-25
NR7426--MA0599.1.KLF5	chr10	96201384	96201393	-	0.000	0.000	Merged-chr10-96201472-66
NR63732--MA0741.1.KLF16	chr9	32672277	32672287	-	0.000	0.000	Merged-chr9-32672440-49
NR1912--MA0599.1.KLF5	chr1	119637161	119637170	+	0.000	0.000	Merged-chr1-119636990-21
NR25690--MA0741.1.KLF16	chr17	5138645	5138655	-	0.000	0.000	Merged-chr17-5138884-51
NR17434--MA0741.1.KLF16	chr13	94144779	94144789	-	0.000	0.000	Merged-chr13-94144726-31
NR62257--MA0599.1.KLF5	chr8	108887219	108887228	-	0.000	0.000	Merged-chr8-108887120-78
NR29298--MA1107.1.KLF9	chr18	32311869	32311881	-	0.000	0.000	Merged-chr18-32311918-36
NR5483--MA0493.1.Klf1	chr10	43706480	43706490	-	0.000	0.000	Merged-chr10-43706280-54
NR12422--MA1107.1.KLF9	chr11	113537023	113537035	-	0.000	0.000	Merged-chr11-113536889-33
NR17727--MA0742.1.Klf12	chr13	101569566	101569580	+	0.000	0.000	Merged-chr13-101569413-14
NR7322--MA0741.1.KLF16	chr10	94087505	94087515	+	0.000	0.000	Merged-chr10-94087553-20
NR23681--MA1107.1.KLF9	chr16	11526649	11526661	-	0.000	0.000	Merged-chr16-11526520-43
NR56334--MA0039.3.KLF4	chr7	35774279	35774289	+	0.000	0.000	Merged-chr7-35774249-18
NR13839--MA1107.1.KLF9	chr12	69853616	69853628	+	0.000	0.000	Merged-chr12-69853558-20
NR56912--MA1107.1.KLF9	chr7	64012064	64012076	-	0.000	0.000	Merged-chr7-64011985-78
NR8208--MA0741.1.KLF16	chr10	121300786	121300796	+	0.000	0.000	Merged-chr10-121300859-24
NR40017--MA0599.1.KLF5	chr3	98406763	98406772	+	0.000	0.000	Merged-chr3-98406778-20
NR15156--MA0599.1.KLF5	chr12	110210400	110210409	-	0.000	0.000	Merged-chr12-110210281-21
NR61763--MA0599.1.KLF5	chr8	88604243	88604252	-	0.000	0.000	Merged-chr8-88604204-17
NR19986--MA0742.1.Klf12	chr14	73377968	73377982	-	0.000	0.000	Merged-chr14-73378030-18
NR68367--MA0599.1.KLF5	chrY	90799070	90799079	-	0.000	0.000	Merged-chrY-90799205-23
NR56697--MA0039.3.KLF4	chr7	47104263	47104273	-	0.000	0.000	Merged-chr7-47104097-36
NR4620--MA0740.1.KLF14	chr1	193146635	193146648	-	0.000	0.000	Merged-chr1-193146532-29
NR56702--MA1107.1.KLF9	chr7	47104248	47104260	-	0.000	0.000	Merged-chr7-47104097-36
NR56908--MA1107.1.KLF9	chr7	64012056	64012068	-	0.000	0.000	Merged-chr7-64011985-78
NR37852--MA1107.1.KLF9	chr2	168741429	168741441	+	0.000	0.000	Merged-chr2-168741453-11
NR39338--MA1107.1.KLF9	chr3	79451642	79451654	-	0.000	0.000	Merged-chr3-79451498-29
NR24071--MA0657.1.KLF13	chr16	24238376	24238393	-	0.000	0.000	Merged-chr16-24238458-30
NR4793--MA0599.1.KLF5	chr10	4632528	4632537	-	0.000	0.000	Merged-chr10-4632472-72
NR61761--MA0742.1.Klf12	chr8	88604239	88604253	-	0.000	0.000	Merged-chr8-88604204-17
NR28922--MA0599.1.KLF5	chr17	88668542	88668551	+	0.000	0.000	Merged-chr17-88668603-31
NR35663--MA0741.1.KLF16	chr2	112240498	112240508	+	0.000	0.000	Merged-chr2-112240570-1
NR41385--MA0599.1.KLF5	chr3	138864389	138864398	+	0.000	0.000	Merged-chr3-138864342-22
NR15258--MA0039.3.KLF4	chr12	112629099	112629109	-	0.000	0.000	Merged-chr12-112629266-49
NR6730--MA1107.1.KLF9	chr10	81247986	81247998	+	0.000	0.000	Merged-chr10-81248090-40
NR61765--MA0741.1.KLF16	chr8	88604237	88604247	-	0.000	0.000	Merged-chr8-88604204-17
NR62867--MA0599.1.KLF5	chr8	122769458	122769467	-	0.000	0.000	Merged-chr8-122769435-21
NR41483--MA0493.1.Klf1	chr3	143379403	143379413	+	0.000	0.000	Merged-chr3-143379316-24
NR53692--MA0039.3.KLF4	chr6	116682494	116682504	-	0.000	0.000	Merged-chr6-116682504-22
NR21605--MA0039.3.KLF4	chr15	54919987	54919997	-	0.000	0.000	Merged-chr15-54920011-57
NR33330--MA0741.1.KLF16	chr2	25095349	25095359	+	0.000	0.000	Merged-chr2-25095278-14
NR63817--MA1107.1.KLF9	chr9	37236236	37236248	-	0.000	0.000	Merged-chr9-37236124-32
NR40683--MA0741.1.KLF16	chr3	121967722	121967732	+	0.000	0.000	Merged-chr3-121967857-57
NR5632--MA0493.1.Klf1	chr10	58480174	58480184	-	0.000	0.000	Merged-chr10-58480234-23
NR48660--MA0493.1.Klf1	chr5	97090261	97090271	-	0.000	0.000	Merged-chr5-97090318-20
NR7932--MA1107.1.KLF9	chr10	117118448	117118460	-	0.000	0.000	Merged-chr10-117118585-40
NR962--MA0741.1.KLF16	chr1	69499061	69499071	-	0.000	0.000	Merged-chr1-69499196-51
NR23970--MA0599.1.KLF5	chr16	21204536	21204545	+	0.000	0.000	Merged-chr16-21204669-33
NR6735--MA1107.1.KLF9	chr10	81247996	81248008	+	0.000	0.000	Merged-chr10-81248090-40
NR57936--MA1107.1.KLF9	chr7	102347588	102347600	+	0.000	0.000	Merged-chr7-102347477-20
NR47589--MA0599.1.KLF5	chr5	47983078	47983087	-	0.000	0.000	Merged-chr5-47983242-36
NR39388--MA1107.1.KLF9	chr3	84039276	84039288	+	0.000	0.000	Merged-chr3-84039248-13
NR53697--MA0039.3.KLF4	chr6	116682511	116682521	-	0.000	0.000	Merged-chr6-116682504-22
NR32351--MA0599.1.KLF5	chr19	46148487	46148496	+	0.000	0.000	Merged-chr19-46148494-21
NR32103--MA0740.1.KLF14	chr19	41323576	41323589	-	0.000	0.000	Merged-chr19-41323479-14
NR40728--MA0741.1.KLF16	chr3	122474234	122474244	+	0.000	0.000	Merged-chr3-122474297-38
NR14308--MA1107.1.KLF9	chr12	84851595	84851607	+	0.000	0.000	Merged-chr12-84851532-12
NR34609--MA0741.1.KLF16	chr2	70425768	70425778	+	0.000	0.000	Merged-chr2-70425902-24
NR21203--MA1107.1.KLF9	chr15	25216699	25216711	+	0.000	0.000	Merged-chr15-25216736-38
NR5953--MA0741.1.KLF16	chr10	68137468	68137478	+	0.000	0.000	Merged-chr10-68137569-23
NR17455--MA0740.1.KLF14	chr13	95524215	95524228	+	0.000	0.000	Merged-chr13-95524264-2
NR54927--MA0741.1.KLF16	chr6	145469421	145469431	-	0.000	0.000	Merged-chr6-145469437-17
NR30936--MA1107.1.KLF9	chr18	83993538	83993550	-	0.000	0.000	Merged-chr18-83993380-25
NR7709--MA1107.1.KLF9	chr10	110952120	110952132	+	0.000	0.000	Merged-chr10-110952029-21
NR37586--MA0599.1.KLF5	chr2	165982673	165982682	+	0.000	0.000	Merged-chr2-165982856-79
NR65035--MA1107.1.KLF9	chr9	77456718	77456730	+	0.000	0.000	Merged-chr9-77456588-28
NR29767--MA0741.1.KLF16	chr18	54992554	54992564	-	0.000	0.000	Merged-chr18-54992765-44
NR57082--MA0493.1.Klf1	chr7	75397629	75397639	+	0.000	0.000	Merged-chr7-75397713-20
NR19985--MA0740.1.KLF14	chr14	73377969	73377982	-	0.000	0.000	Merged-chr14-73378030-18
NR54126--MA0493.1.Klf1	chr6	128334913	128334923	-	0.000	0.000	Merged-chr6-128334675-39
NR45041--MA0740.1.KLF14	chr4	131696142	131696155	-	0.000	0.000	Merged-chr4-131696229-22
NR29742--MA0742.1.Klf12	chr18	53801706	53801720	-	0.000	0.000	Merged-chr18-53801567-20
NR5954--MA0742.1.Klf12	chr10	68137563	68137577	-	0.000	0.000	Merged-chr10-68137569-23
NR5480--MA0740.1.KLF14	chr10	43706477	43706490	-	0.000	0.000	Merged-chr10-43706280-54
NR61760--MA0740.1.KLF14	chr8	88604240	88604253	-	0.000	0.000	Merged-chr8-88604204-17
NR7320--MA0741.1.KLF16	chr10	94087495	94087505	+	0.000	0.000	Merged-chr10-94087553-20
NR52528--MA1107.1.KLF9	chr6	70103426	70103438	+	0.000	0.000	Merged-chr6-70103466-27
NR62870--MA0741.1.KLF16	chr8	122769455	122769465	-	0.000	0.000	Merged-chr8-122769435-21
NR25009--MA0493.1.Klf1	chr16	76357373	76357383	+	0.000	0.000	Merged-chr16-76357413-27
NR2929--MA0740.1.KLF14	chr1	156522399	156522412	-	0.000	0.000	Merged-chr1-156522298-40
NR46414--MA1107.1.KLF9	chr4	152247311	152247323	-	0.000	0.000	Merged-chr4-152247398-23
NR62282--MA0599.1.KLF5	chr8	110079671	110079680	-	0.000	0.000	Merged-chr8-110079856-46
