#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR15410--MA0740.1.KLF14	chr12	105537582	105537595	+	0.000	0.000	Merged-chr12-105537597-12
NR57051--MA0599.1.KLF5	chr6	115123395	115123404	-	0.000	0.000	Merged-chr6-115123444-38
NR55002--MA0741.1.KLF16	chr6	37299120	37299130	-	0.000	0.000	Merged-chr6-37299169-1
NR7687--MA0493.1.Klf1	chr10	91028076	91028086	+	0.000	0.000	Merged-chr10-91028217-15
NR24407--MA0742.1.Klf12	chr15	93756157	93756171	+	0.000	0.000	Merged-chr15-93756205-23
NR20683--MA0599.1.KLF5	chr14	63906105	63906114	-	0.000	0.000	Merged-chr14-63906056-16
NR16264--MA1107.1.KLF9	chr13	18820886	18820898	-	0.000	0.000	Merged-chr13-18820828-2
NR56709--MA0599.1.KLF5	chr6	100390392	100390401	+	0.000	0.000	Merged-chr6-100390476-26
NR59419--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR62607--MA1107.1.KLF9	chr7	121890915	121890927	+	0.000	0.000	Merged-chr7-121890851-14
NR1183--MA1107.1.KLF9	chr1	73940869	73940881	+	0.000	0.000	Merged-chr1-73940938-50
NR5842--MA0039.3.KLF4	chr10	43706426	43706436	-	0.000	0.000	Merged-chr10-43706280-54
NR35412--MA0741.1.KLF16	chr2	26628300	26628310	-	0.000	0.000	Merged-chr2-26628456-31
NR13460--MA1107.1.KLF9	chr12	8827544	8827556	-	0.000	0.000	Merged-chr12-8827572-4
NR53692--MA0742.1.Klf12	chr5	140148961	140148975	+	0.000	0.000	Merged-chr5-140149143-22
NR18426--MA1107.1.KLF9	chr13	103747829	103747841	+	0.000	0.000	Merged-chr13-103747773-12
NR22836--MA0599.1.KLF5	chr15	44748516	44748525	+	0.000	0.000	Merged-chr15-44748463-50
NR1847--MA0599.1.KLF5	chr1	98095566	98095575	-	0.000	0.000	Merged-chr1-98095542-87
NR67832--MA0039.3.KLF4	chr9	20610050	20610060	+	0.000	0.000	Merged-chr9-20609876-14
NR17406--MA0741.1.KLF16	chr13	65070138	65070148	+	0.000	0.000	Merged-chr13-65070187-24
NR69117--MA1107.1.KLF9	chr9	63718370	63718382	+	0.000	0.000	Merged-chr9-63718438-9
NR71486--MA0599.1.KLF5	chr9	123229918	123229927	+	0.000	0.000	Merged-chr9-123229915-16
NR8319--MA0742.1.Klf12	chr10	117104432	117104446	-	0.000	0.000	Merged-chr10-117104293-23
NR66690--MA0599.1.KLF5	chr8	111527323	111527332	+	0.000	0.000	Merged-chr8-111527388-53
NR61581--MA0599.1.KLF5	chr7	96920647	96920656	-	0.000	0.000	Merged-chr7-96920782-38
NR27985--MA0657.1.KLF13	chr17	23599106	23599123	+	0.000	0.000	Merged-chr17-23599056-62
NR37313--MA0599.1.KLF5	chr2	102049966	102049975	+	0.000	0.000	Merged-chr2-102050053-17
NR56712--MA0741.1.KLF16	chr6	100390392	100390402	+	0.000	0.000	Merged-chr6-100390476-26
NR35263--MA0599.1.KLF5	chr2	25095203	25095212	+	0.000	0.000	Merged-chr2-25095278-14
NR24380--MA0599.1.KLF5	chr15	93443914	93443923	+	0.000	0.000	Merged-chr15-93443797-12
NR8208--MA1107.1.KLF9	chr10	111912405	111912417	-	0.000	0.000	Merged-chr10-111912286-27
NR27090--MA0599.1.KLF5	chr16	93574643	93574652	-	0.000	0.000	Merged-chr16-93574695-56
NR70024--MA0741.1.KLF16	chr9	88719822	88719832	-	0.000	0.000	Merged-chr9-88719952-88
NR14761--MA0493.1.Klf1	chr12	82166464	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR9764--MA0493.1.Klf1	chr11	32138430	32138440	-	0.000	0.000	Merged-chr11-32138495-33
NR30694--MA0039.3.KLF4	chr17	88753267	88753277	+	0.000	0.000	Merged-chr17-88753234-51
NR31542--MA0741.1.KLF16	chr18	53245579	53245589	+	0.000	0.000	Merged-chr18-53245593-51
NR66783--MA1107.1.KLF9	chr8	115145534	115145546	+	0.000	0.000	Merged-chr8-115145430-7
NR39927--MA0741.1.KLF16	chr2	172392453	172392463	-	0.000	0.000	Merged-chr2-172392373-19
NR64712--MA0599.1.KLF5	chr8	40634802	40634811	-	0.000	0.000	Merged-chr8-40634821-50
NR46343--MA0741.1.KLF16	chr4	97996086	97996096	+	0.000	0.000	Merged-chr4-97996259-58
NR20647--MA0493.1.Klf1	chr14	61744092	61744102	-	0.000	0.000	Merged-chr14-61744186-5
NR61352--MA0741.1.KLF16	chr7	84417846	84417856	-	0.000	0.000	Merged-chr7-84417695-8
NR37661--MA1107.1.KLF9	chr2	113430871	113430883	+	0.000	0.000	Merged-chr2-113431034-10
NR64157--MA0599.1.KLF5	chr8	13200650	13200659	-	0.000	0.000	Merged-chr8-13200567-28
NR57168--MA0599.1.KLF5	chr6	118593644	118593653	-	0.000	0.000	Merged-chr6-118593680-90
NR25224--MA0599.1.KLF5	chr16	10683540	10683549	-	0.000	0.000	Merged-chr16-10683625-55
NR65107--MA1107.1.KLF9	chr8	64935179	64935191	-	0.000	0.000	Merged-chr8-64935114-22
NR24491--MA1107.1.KLF9	chr15	94629115	94629127	-	0.000	0.000	Merged-chr15-94629122-22
NR41600--MA1107.1.KLF9	chr3	86955538	86955550	-	0.000	0.000	Merged-chr3-86955467-9
NR22626--MA0599.1.KLF5	chr15	36438864	36438873	-	0.000	0.000	Merged-chr15-36438812-16
NR34845--MA0599.1.KLF5	chr2	11173726	11173735	+	0.000	0.000	Merged-chr2-11173621-55
NR44520--MA0039.3.KLF4	chr4	11017780	11017790	+	0.000	0.000	Merged-chr4-11017688-10
NR12567--MA0741.1.KLF16	chr11	109375507	109375517	-	0.000	0.000	Merged-chr11-109375589-56
NR43799--MA0599.1.KLF5	chr3	145613473	145613482	+	0.000	0.000	Merged-chr3-145613509-1
NR60925--MA0741.1.KLF16	chr7	68205944	68205954	-	0.000	0.000	Merged-chr7-68206033-25
NR26679--MA0742.1.Klf12	chr16	76283301	76283315	+	0.000	0.000	Merged-chr16-76283420-1
NR14104--MA0741.1.KLF16	chr12	52383032	52383042	+	0.000	0.000	Merged-chr12-52383146-23
NR23173--MA1107.1.KLF9	chr15	62092914	62092926	+	0.000	0.000	Merged-chr15-62092754-58
NR1614--MA0493.1.Klf1	chr1	88708224	88708234	+	0.000	0.000	Merged-chr1-88708373-21
NR68717--MA1107.1.KLF9	chr9	51162024	51162036	-	0.000	0.000	Merged-chr9-51161990-29
NR23137--MA0741.1.KLF16	chr15	61441928	61441938	+	0.000	0.000	Merged-chr15-61441836-34
NR42243--MA0493.1.Klf1	chr3	100533648	100533658	+	0.000	0.000	Merged-chr3-100533650-21
NR14766--MA0493.1.Klf1	chr12	82187387	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR42919--MA0741.1.KLF16	chr3	121426491	121426501	-	0.000	0.000	Merged-chr3-121426726-98
NR14408--MA0493.1.Klf1	chr12	69853616	69853626	+	0.000	0.000	Merged-chr12-69853558-20
NR42942--MA0599.1.KLF5	chr3	122474232	122474241	+	0.000	0.000	Merged-chr3-122474297-38
NR57951--MA0493.1.Klf1	chr6	134451034	134451044	-	0.000	0.000	Merged-chr6-134450954-21
NR31579--MA1107.1.KLF9	chr18	54822926	54822938	+	0.000	0.000	Merged-chr18-54822886-30
NR39221--MA0741.1.KLF16	chr2	158673411	158673421	+	0.000	0.000	Merged-chr2-158673458-23
NR60044--MA0599.1.KLF5	chr7	35172054	35172063	-	0.000	0.000	Merged-chr7-35172078-26
NR56516--MA1107.1.KLF9	chr6	95651459	95651471	+	0.000	0.000	Merged-chr6-95651560-12
NR32452--MA0740.1.KLF14	chr18	80041987	80042000	+	0.000	0.000	Merged-chr18-80041946-55
NR37327--MA0599.1.KLF5	chr2	102183963	102183972	-	0.000	0.000	Merged-chr2-102183884-3
NR7854--MA0599.1.KLF5	chr10	95942200	95942209	+	0.000	0.000	Merged-chr10-95942106-29
NR22947--MA0039.3.KLF4	chr15	56047115	56047125	-	0.000	0.000	Merged-chr15-56047041-38
NR1725--MA0740.1.KLF14	chr1	93115248	93115261	+	0.000	0.000	Merged-chr1-93115270-41
NR41178--MA0742.1.Klf12	chr3	61002319	61002333	-	0.000	0.000	Merged-chr3-61002220-1
NR12371--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR20693--MA0741.1.KLF16	chr14	63940986	63940996	-	0.000	0.000	Merged-chr14-63940977-13
NR58952--MA0740.1.KLF14	chr7	12422487	12422500	-	0.000	0.000	Merged-chr7-12422521-72
NR58374--MA0493.1.Klf1	chr6	142507797	142507807	+	0.000	0.000	Merged-chr6-142507875-63
NR45406--MA0599.1.KLF5	chr4	47474340	47474349	+	0.000	0.000	Merged-chr4-47474458-79
NR65040--MA1107.1.KLF9	chr8	61283220	61283232	+	0.000	0.000	Merged-chr8-61283229-50
NR25558--MA0741.1.KLF16	chr16	20804930	20804940	+	0.000	0.000	Merged-chr16-20804779-46
NR39753--MA0599.1.KLF5	chr2	168741368	168741377	+	0.000	0.000	Merged-chr2-168741453-11
NR64612--MA0741.1.KLF16	chr8	34818005	34818015	-	0.000	0.000	Merged-chr8-34817852-8
NR48220--MA0741.1.KLF16	chr4	139319795	139319805	+	0.000	0.000	Merged-chr4-139319909-27
NR64632--MA0599.1.KLF5	chr8	35680851	35680860	+	0.000	0.000	Merged-chr8-35680841-8
NR55668--MA1107.1.KLF9	chr6	59451129	59451141	-	0.000	0.000	Merged-chr6-59451158-16
NR28521--MA0741.1.KLF16	chr17	31693551	31693561	-	0.000	0.000	Merged-chr17-31693537-59
NR10309--MA0599.1.KLF5	chr11	57791207	57791216	+	0.000	0.000	Merged-chr11-57791276-17
NR23953--MA0493.1.Klf1	chr15	82290612	82290622	-	0.000	0.000	Merged-chr15-82290504-11
NR37331--MA0493.1.Klf1	chr2	102186175	102186185	+	0.000	0.000	Merged-chr2-102186171-70
NR43374--MA0599.1.KLF5	chr3	132928123	132928132	-	0.000	0.000	Merged-chr3-132927951-20
NR58373--MA0039.3.KLF4	chr6	142507799	142507809	+	0.000	0.000	Merged-chr6-142507875-63
NR41769--MA0740.1.KLF14	chr3	89911445	89911458	+	0.000	0.000	Merged-chr3-89911440-10
NR972--MA0039.3.KLF4	chr1	64085986	64085996	-	0.000	0.000	Merged-chr1-64086002-50
NR13748--MA0740.1.KLF14	chr12	25601192	25601205	-	0.000	0.000	Merged-chr12-25601123-16
NR39757--MA0741.1.KLF16	chr2	168741484	168741494	+	0.000	0.000	Merged-chr2-168741453-11
NR54378--MA0599.1.KLF5	chr5	150232883	150232892	+	0.000	0.000	Merged-chr5-150232910-1
NR36366--MA1107.1.KLF9	chr2	60880819	60880831	+	0.000	0.000	Merged-chr2-60880763-2
NR54495--MA0741.1.KLF16	chr6	6217149	6217159	+	0.000	0.000	Merged-chr6-6217012-81
NR26686--MA0599.1.KLF5	chr16	76283386	76283395	-	0.000	0.000	Merged-chr16-76283420-1
NR14109--MA0599.1.KLF5	chr12	52383137	52383146	-	0.000	0.000	Merged-chr12-52383146-23
NR16472--MA0741.1.KLF16	chr13	30186555	30186565	-	0.000	0.000	Merged-chr13-30186492-12
NR1221--MA0599.1.KLF5	chr1	74791792	74791801	-	0.000	0.000	Merged-chr1-74791717-28
NR63799--MA0741.1.KLF16	chr7	142967379	142967389	+	0.000	0.000	Merged-chr7-142967366-1
NR36291--MA0599.1.KLF5	chr2	59244898	59244907	-	0.000	0.000	Merged-chr2-59244755-83
NR29002--MA0742.1.Klf12	chr17	44105678	44105692	-	0.000	0.000	Merged-chr17-44105756-70
NR50926--MA0657.1.KLF13	chr5	74704610	74704627	+	0.000	0.000	Merged-chr5-74704453-70
NR5204--MA0493.1.Klf1	chr10	12821547	12821557	+	0.000	0.000	Merged-chr10-12821526-15
NR36815--MA0599.1.KLF5	chr2	77249874	77249883	+	0.000	0.000	Merged-chr2-77250040-39
NR3956--MA0599.1.KLF5	chr1	172197390	172197399	+	0.000	0.000	Merged-chr1-172197316-25
NR5967--MA0741.1.KLF16	chr10	53889514	53889524	-	0.000	0.000	Merged-chr10-53889619-14
NR50653--MA0742.1.Klf12	chr5	64684279	64684293	+	0.000	0.000	Merged-chr5-64684447-46
NR42257--MA0493.1.Klf1	chr3	101066402	101066412	+	0.000	0.000	Merged-chr3-101066330-34
NR39193--MA0493.1.Klf1	chr2	158160215	158160225	+	0.000	0.000	Merged-chr2-158160127-37
NR67539--MA0741.1.KLF16	chr8	127447348	127447358	-	0.000	0.000	Merged-chr8-127447217-34
NR42924--MA0493.1.Klf1	chr3	121689302	121689312	+	0.000	0.000	Merged-chr3-121689232-23
NR22452--MA0599.1.KLF5	chr15	25812686	25812695	-	0.000	0.000	Merged-chr15-25812728-1
NR17195--MA0599.1.KLF5	chr13	58067717	58067726	-	0.000	0.000	Merged-chr13-58067754-68
NR65045--MA1107.1.KLF9	chr8	61283230	61283242	+	0.000	0.000	Merged-chr8-61283229-50
NR24385--MA0493.1.Klf1	chr15	93443913	93443923	+	0.000	0.000	Merged-chr15-93443797-12
NR3939--MA0741.1.KLF16	chr1	171916126	171916136	+	0.000	0.000	Merged-chr1-171916002-44
NR32263--MA0599.1.KLF5	chr18	75322373	75322382	+	0.000	0.000	Merged-chr18-75322404-42
NR4379--MA0599.1.KLF5	chr1	182764154	182764163	+	0.000	0.000	Merged-chr1-182764155-66
NR26685--MA1107.1.KLF9	chr16	76283301	76283313	+	0.000	0.000	Merged-chr16-76283420-1
NR65716--MA0741.1.KLF16	chr8	80493161	80493171	-	0.000	0.000	Merged-chr8-80493158-65
NR29723--MA0599.1.KLF5	chr17	64827058	64827067	-	0.000	0.000	Merged-chr17-64827066-53
NR14113--MA0493.1.Klf1	chr12	52383132	52383142	-	0.000	0.000	Merged-chr12-52383146-23
NR5472--MA1107.1.KLF9	chr10	25140437	25140449	-	0.000	0.000	Merged-chr10-25140477-16
NR9688--MA0741.1.KLF16	chr11	29883367	29883377	-	0.000	0.000	Merged-chr11-29883287-9
NR65031--MA0741.1.KLF16	chr8	61283181	61283191	+	0.000	0.000	Merged-chr8-61283229-50
NR37676--MA0741.1.KLF16	chr2	114260756	114260766	-	0.000	0.000	Merged-chr2-114260586-35
NR17410--MA0599.1.KLF5	chr13	65240527	65240536	-	0.000	0.000	Merged-chr13-65240700-1
NR22461--MA0741.1.KLF16	chr15	25933008	25933018	+	0.000	0.000	Merged-chr15-25933159-19
NR1208--MA0599.1.KLF5	chr1	74601427	74601436	-	0.000	0.000	Merged-chr1-74601351-54
NR54494--MA0493.1.Klf1	chr6	6217148	6217158	+	0.000	0.000	Merged-chr6-6217012-81
NR13913--MA0039.3.KLF4	chr12	33076513	33076523	+	0.000	0.000	Merged-chr12-33076409-32
NR23172--MA0741.1.KLF16	chr15	62092915	62092925	+	0.000	0.000	Merged-chr15-62092754-58
NR42932--MA0039.3.KLF4	chr3	122122334	122122344	+	0.000	0.000	Merged-chr3-122122309-36
NR63949--MA0742.1.Klf12	chr8	3587603	3587617	-	0.000	0.000	Merged-chr8-3587694-26
NR16759--MA0599.1.KLF5	chr13	43906452	43906461	+	0.000	0.000	Merged-chr13-43906399-21
NR4083--MA0742.1.Klf12	chr1	175693726	175693740	+	0.000	0.000	Merged-chr1-175693836-3
NR69046--MA0039.3.KLF4	chr9	61236139	61236149	+	0.000	0.000	Merged-chr9-61236183-14
NR758--MA1107.1.KLF9	chr1	52650251	52650263	-	0.000	0.000	Merged-chr1-52650227-37
NR19235--MA1107.1.KLF9	chr14	12307771	12307783	-	0.000	0.000	Merged-chr14-12307905-40
NR11416--MA1107.1.KLF9	chr11	82961946	82961958	-	0.000	0.000	Merged-chr11-82962014-19
NR56839--MA0741.1.KLF16	chr6	108448395	108448405	+	0.000	0.000	Merged-chr6-108448378-58
NR18545--MA0741.1.KLF16	chr13	108100622	108100632	+	0.000	0.000	Merged-chr13-108100820-31
NR35178--MA1107.1.KLF9	chr2	23006372	23006384	+	0.000	0.000	Merged-chr2-23006422-36
NR42092--MA0599.1.KLF5	chr3	96575126	96575135	+	0.000	0.000	Merged-chr3-96575084-6
NR16865--MA0741.1.KLF16	chr13	48965781	48965791	+	0.000	0.000	Merged-chr13-48965826-50
NR29722--MA1107.1.KLF9	chr17	64628988	64629000	-	0.000	0.000	Merged-chr17-64628994-21
NR50657--MA0741.1.KLF16	chr5	64684280	64684290	+	0.000	0.000	Merged-chr5-64684447-46
NR12092--MA0741.1.KLF16	chr11	99116117	99116127	+	0.000	0.000	Merged-chr11-99116157-23
NR5837--MA0741.1.KLF16	chr10	43706322	43706332	-	0.000	0.000	Merged-chr10-43706280-54
NR43761--MA0741.1.KLF16	chr3	144412724	144412734	-	0.000	0.000	Merged-chr3-144412864-41
NR58842--MA0742.1.Klf12	chr7	4964459	4964473	+	0.000	0.000	Merged-chr7-4964465-28
NR36823--MA1107.1.KLF9	chr2	77249879	77249891	+	0.000	0.000	Merged-chr2-77250040-39
NR31571--MA0740.1.KLF14	chr18	54822920	54822933	+	0.000	0.000	Merged-chr18-54822886-30
NR31003--MA0741.1.KLF16	chr18	21300192	21300202	+	0.000	0.000	Merged-chr18-21300237-62
NR4970--MA0599.1.KLF5	chr1	193285753	193285762	+	0.000	0.000	Merged-chr1-193285975-30
NR25484--MA0741.1.KLF16	chr16	18348189	18348199	-	0.000	0.000	Merged-chr16-18348236-26
NR41733--MA0741.1.KLF16	chr3	89387212	89387222	+	0.000	0.000	Merged-chr3-89387256-27
NR24510--MA1107.1.KLF9	chr15	95885018	95885030	+	0.000	0.000	Merged-chr15-95885143-33
NR231--MA0599.1.KLF5	chr1	23383196	23383205	-	0.000	0.000	Merged-chr1-23383198-84
NR47083--MA0740.1.KLF14	chr4	120287784	120287797	-	0.000	0.000	Merged-chr4-120287807-68
NR40329--MA0599.1.KLF5	chr3	8667329	8667338	+	0.000	0.000	Merged-chr3-8667385-80
NR11434--MA1107.1.KLF9	chr11	83185902	83185914	-	0.000	0.000	Merged-chr11-83185820-16
NR61040--MA0493.1.Klf1	chr7	75914149	75914159	-	0.000	0.000	Merged-chr7-75914112-33
NR6241--MA0599.1.KLF5	chr10	61657978	61657987	+	0.000	0.000	Merged-chr10-61658061-29
NR8389--MA0493.1.Klf1	chr10	117731428	117731438	-	0.000	0.000	Merged-chr10-117731554-42
NR13973--MA0599.1.KLF5	chr12	35770599	35770608	+	0.000	0.000	Merged-chr12-35770526-40
NR39702--MA0741.1.KLF16	chr2	168159011	168159021	+	0.000	0.000	Merged-chr2-168159188-34
NR558--MA0599.1.KLF5	chr1	39941510	39941519	+	0.000	0.000	Merged-chr1-39941675-40
NR35595--MA0741.1.KLF16	chr2	30472069	30472079	+	0.000	0.000	Merged-chr2-30472114-26
NR64713--MA0741.1.KLF16	chr8	40634823	40634833	-	0.000	0.000	Merged-chr8-40634821-50
NR37358--MA1107.1.KLF9	chr2	102188783	102188795	+	0.000	0.000	Merged-chr2-102188857-2
NR24805--MA0741.1.KLF16	chr15	100723870	100723880	-	0.000	0.000	Merged-chr15-100723788-13
NR14056--MA0741.1.KLF16	chr12	41950128	41950138	-	0.000	0.000	Merged-chr12-41949951-37
NR17853--MA0493.1.Klf1	chr13	89521652	89521662	+	0.000	0.000	Merged-chr13-89521757-30
NR44485--MA0741.1.KLF16	chr4	8913758	8913768	-	0.000	0.000	Merged-chr4-8913815-2
NR14029--MA0599.1.KLF5	chr12	40223434	40223443	+	0.000	0.000	Merged-chr12-40223491-1
NR57317--MA0599.1.KLF5	chr6	120934470	120934479	-	0.000	0.000	Merged-chr6-120934426-25
NR49359--MA0742.1.Klf12	chr5	14514923	14514937	-	0.000	0.000	Merged-chr5-14515082-42
NR11798--MA0599.1.KLF5	chr11	95379007	95379016	-	0.000	0.000	Merged-chr11-95379150-8
NR64203--MA0599.1.KLF5	chr8	13890334	13890343	-	0.000	0.000	Merged-chr8-13890246-48
NR11305--MA0493.1.Klf1	chr11	79460527	79460537	-	0.000	0.000	Merged-chr11-79460483-1
NR16987--MA0741.1.KLF16	chr13	53069485	53069495	+	0.000	0.000	Merged-chr13-53069490-8
NR12561--MA0599.1.KLF5	chr11	109375513	109375522	-	0.000	0.000	Merged-chr11-109375589-56
NR37161--MA1107.1.KLF9	chr2	93454474	93454486	+	0.000	0.000	Merged-chr2-93454506-54
NR39444--MA0741.1.KLF16	chr2	163100116	163100126	-	0.000	0.000	Merged-chr2-163100193-2
NR115--MA0599.1.KLF5	chr1	13426974	13426983	-	0.000	0.000	Merged-chr1-13426973-84
NR4164--MA0493.1.Klf1	chr1	178777942	178777952	+	0.000	0.000	Merged-chr1-178777930-3
NR4084--MA0599.1.KLF5	chr1	175693727	175693736	+	0.000	0.000	Merged-chr1-175693836-3
NR47352--MA0741.1.KLF16	chr4	127095287	127095297	-	0.000	0.000	Merged-chr4-127095353-15
NR14545--MA0741.1.KLF16	chr12	73647843	73647853	-	0.000	0.000	Merged-chr12-73647879-51
NR2691--MA1107.1.KLF9	chr1	136617580	136617592	-	0.000	0.000	Merged-chr1-136617404-40
NR67485--MA1107.1.KLF9	chr8	126539618	126539630	-	0.000	0.000	Merged-chr8-126539798-23
NR14936--MA0657.1.KLF13	chr12	88472041	88472058	+	0.000	0.000	Merged-chr12-88472096-45
NR56656--MA0741.1.KLF16	chr6	99498316	99498326	-	0.000	0.000	Merged-chr6-99498294-17
NR10314--MA0741.1.KLF16	chr11	57791229	57791239	+	0.000	0.000	Merged-chr11-57791276-17
NR26684--MA0741.1.KLF16	chr16	76283307	76283317	+	0.000	0.000	Merged-chr16-76283420-1
NR24506--MA1107.1.KLF9	chr15	95885010	95885022	+	0.000	0.000	Merged-chr15-95885143-33
NR57527--MA0493.1.Klf1	chr6	125433808	125433818	+	0.000	0.000	Merged-chr6-125433874-28
NR41516--MA0039.3.KLF4	chr3	82365264	82365274	-	0.000	0.000	Merged-chr3-82365236-33
NR13978--MA0599.1.KLF5	chr12	36157854	36157863	+	0.000	0.000	Merged-chr12-36157829-2
NR18809--MA0493.1.Klf1	chr13	113466900	113466910	+	0.000	0.000	Merged-chr13-113466791-29
NR62289--MA0657.1.KLF13	chr7	116504217	116504234	+	0.000	0.000	Merged-chr7-116504406-66
NR24412--MA1107.1.KLF9	chr15	93756157	93756169	+	0.000	0.000	Merged-chr15-93756205-23
NR43760--MA0599.1.KLF5	chr3	144412725	144412734	-	0.000	0.000	Merged-chr3-144412864-41
NR6143--MA0599.1.KLF5	chr10	60162561	60162570	+	0.000	0.000	Merged-chr10-60162645-38
NR2501--MA0741.1.KLF16	chr1	133711219	133711229	-	0.000	0.000	Merged-chr1-133711440-47
NR36771--MA0599.1.KLF5	chr2	75965080	75965089	+	0.000	0.000	Merged-chr2-75964949-43
NR60887--MA0599.1.KLF5	chr7	66689635	66689644	-	0.000	0.000	Merged-chr7-66689788-64
NR15732--MA0741.1.KLF16	chr12	111007861	111007871	+	0.000	0.000	Merged-chr12-111007914-34
NR46415--MA0741.1.KLF16	chr4	101217267	101217277	-	0.000	0.000	Merged-chr4-101217167-64
NR52240--MA0657.1.KLF13	chr5	115693537	115693554	-	0.000	0.000	Merged-chr5-115693567-32
NR43853--MA1107.1.KLF9	chr3	146045217	146045229	-	0.000	0.000	Merged-chr3-146045142-29
NR66210--MA0741.1.KLF16	chr8	95349083	95349093	-	0.000	0.000	Merged-chr8-95348986-27
NR34555--MA0493.1.Klf1	chr19	58850903	58850913	+	0.000	0.000	Merged-chr19-58850860-26
NR31572--MA0657.1.KLF13	chr18	54822919	54822936	+	0.000	0.000	Merged-chr18-54822886-30
NR490--MA1107.1.KLF9	chr1	39102343	39102355	-	0.000	0.000	Merged-chr1-39102412-8
NR59966--MA1107.1.KLF9	chr7	30717402	30717414	+	0.000	0.000	Merged-chr7-30717543-30
NR5840--MA1107.1.KLF9	chr10	43706321	43706333	-	0.000	0.000	Merged-chr10-43706280-54
NR37166--MA1107.1.KLF9	chr2	93454484	93454496	+	0.000	0.000	Merged-chr2-93454506-54
NR25614--MA1107.1.KLF9	chr16	23100164	23100176	-	0.000	0.000	Merged-chr16-23100189-17
NR68902--MA1107.1.KLF9	chr9	57647820	57647832	-	0.000	0.000	Merged-chr9-57647746-26
NR1707--MA0741.1.KLF16	chr1	92640407	92640417	+	0.000	0.000	Merged-chr1-92640529-29
NR60985--MA0493.1.Klf1	chr7	73479743	73479753	+	0.000	0.000	Merged-chr7-73479778-28
NR57952--MA0741.1.KLF16	chr6	134451042	134451052	-	0.000	0.000	Merged-chr6-134450954-21
NR31751--MA0493.1.Klf1	chr18	60632874	60632884	-	0.000	0.000	Merged-chr18-60633052-25
NR37743--MA0741.1.KLF16	chr2	116071847	116071857	+	0.000	0.000	Merged-chr2-116071770-9
NR65726--MA0039.3.KLF4	chr8	80948510	80948520	-	0.000	0.000	Merged-chr8-80948626-26
NR65630--MA0742.1.Klf12	chr8	77383805	77383819	+	0.000	0.000	Merged-chr8-77383968-15
NR40020--MA0493.1.Klf1	chr2	173444618	173444628	+	0.000	0.000	Merged-chr2-173444560-32
NR68936--MA0741.1.KLF16	chr9	58112632	58112642	-	0.000	0.000	Merged-chr9-58112486-25
NR3572--MA0599.1.KLF5	chr1	164503615	164503624	-	0.000	0.000	Merged-chr1-164503488-46
NR7111--MA1107.1.KLF9	chr10	80622978	80622990	+	0.000	0.000	Merged-chr10-80622970-10
NR1688--MA0741.1.KLF16	chr1	91825520	91825530	-	0.000	0.000	Merged-chr1-91825474-20
NR7456--MA0741.1.KLF16	chr10	84904054	84904064	+	0.000	0.000	Merged-chr10-84904074-24
NR2514--MA0741.1.KLF16	chr1	133801881	133801891	+	0.000	0.000	Merged-chr1-133801920-3
NR25730--MA0039.3.KLF4	chr16	31075020	31075030	+	0.000	0.000	Merged-chr16-31075015-28
NR36749--MA0599.1.KLF5	chr2	75114516	75114525	-	0.000	0.000	Merged-chr2-75114355-21
NR35976--MA0742.1.Klf12	chr2	38548378	38548392	-	0.000	0.000	Merged-chr2-38548313-22
NR1069--MA0741.1.KLF16	chr1	69331685	69331695	+	0.000	0.000	Merged-chr1-69331775-34
NR4380--MA0741.1.KLF16	chr1	182764154	182764164	+	0.000	0.000	Merged-chr1-182764155-66
NR16727--MA0741.1.KLF16	chr13	43192069	43192079	+	0.000	0.000	Merged-chr13-43191968-21
NR42765--MA0740.1.KLF14	chr3	115897889	115897902	+	0.000	0.000	Merged-chr3-115897908-5
NR47094--MA0493.1.Klf1	chr4	120288020	120288030	+	0.000	0.000	Merged-chr4-120287807-68
NR61085--MA1107.1.KLF9	chr7	78766493	78766505	-	0.000	0.000	Merged-chr7-78766372-38
NR18388--MA0741.1.KLF16	chr13	102773321	102773331	-	0.000	0.000	Merged-chr13-102773383-12
NR67387--MA1107.1.KLF9	chr8	125080719	125080731	+	0.000	0.000	Merged-chr8-125080812-18
NR57052--MA0657.1.KLF13	chr6	115559863	115559880	-	0.000	0.000	Merged-chr6-115560075-18
NR60041--MA0741.1.KLF16	chr7	35119101	35119111	-	0.000	0.000	Merged-chr7-35119008-87
NR40379--MA0599.1.KLF5	chr3	10351365	10351374	-	0.000	0.000	Merged-chr3-10351318-69
NR5970--MA1107.1.KLF9	chr10	53889522	53889534	-	0.000	0.000	Merged-chr10-53889619-14
