#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR326--MA0768.1.LEF1	chr11	113005271	113005285	-	0.000	0.000	Merged-chr11-113005354-7
NR1227--MA0768.1.LEF1	chr3	142533251	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR590--MA0768.1.LEF1	chr14	61046320	61046334	+	0.000	0.000	Merged-chr14-61046434-63
NR577--MA0768.1.LEF1	chr14	49089835	49089849	-	0.000	0.000	Merged-chr14-49089916-20
NR362--MA0768.1.LEF1	chr12	40536138	40536152	+	0.000	0.000	Merged-chr12-40536190-67
NR1017--MA0768.1.LEF1	chr2	46302919	46302933	-	0.000	0.000	Merged-chr2-46302794-23
NR99--MA0768.1.LEF1	chr1	176944892	176944906	+	0.000	0.000	Merged-chr1-176944899-30
NR349--MA0768.1.LEF1	chr12	26059327	26059341	-	0.000	0.000	Merged-chr12-26059295-22
NR246--MA0768.1.LEF1	chr11	5411817	5411831	-	0.000	0.000	Merged-chr11-5411816-25
NR148--MA0768.1.LEF1	chr10	34117965	34117979	-	0.000	0.000	Merged-chr10-34117997-36
NR721--MA0768.1.LEF1	chr15	100301888	100301902	+	0.000	0.000	Merged-chr15-100301694-19
NR1067--MA0768.1.LEF1	chr2	118256923	118256937	+	0.000	0.000	Merged-chr2-118256887-65
NR1743--MA0768.1.LEF1	chr7	132317272	132317286	+	0.000	0.000	Merged-chr7-132317352-2
NR1770--MA0768.1.LEF1	chr8	56443929	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR990--MA0768.1.LEF1	chr2	9360291	9360305	-	0.000	0.000	Merged-chr2-9360178-30
