#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR45368--MA0741.1.KLF16	chr4	47011210	47011220	-	0.000	0.000	Merged-chr4-47011023-46
NR27411--MA0741.1.KLF16	chr17	5138645	5138655	-	0.000	0.000	Merged-chr17-5138884-51
NR57506--MA0493.1.Klf1	chr6	125229079	125229089	-	0.000	0.000	Merged-chr6-125228994-3
NR16598--MA0740.1.KLF14	chr13	37827779	37827792	-	0.000	0.000	Merged-chr13-37827863-1
NR52308--MA0599.1.KLF5	chr5	117138725	117138734	+	0.000	0.000	Merged-chr5-117138837-45
NR42943--MA0741.1.KLF16	chr3	122474232	122474242	+	0.000	0.000	Merged-chr3-122474297-38
NR11100--MA1107.1.KLF9	chr11	76015514	76015526	+	0.000	0.000	Merged-chr11-76015482-22
NR2983--MA0039.3.KLF4	chr1	151236860	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR15023--MA0742.1.Klf12	chr12	91604356	91604370	-	0.000	0.000	Merged-chr12-91604478-1
NR21117--MA1107.1.KLF9	chr14	76165437	76165449	-	0.000	0.000	Merged-chr14-76165391-21
NR24056--MA0742.1.Klf12	chr15	84372972	84372986	-	0.000	0.000	Merged-chr15-84372915-18
NR55160--MA1107.1.KLF9	chr6	43619501	43619513	+	0.000	0.000	Merged-chr6-43619418-19
NR62118--MA1107.1.KLF9	chr7	111847388	111847400	+	0.000	0.000	Merged-chr7-111847259-1
NR64657--MA0599.1.KLF5	chr8	36249397	36249406	-	0.000	0.000	Merged-chr8-36249558-6
NR39675--MA0599.1.KLF5	chr2	167936117	167936126	-	0.000	0.000	Merged-chr2-167936072-3
NR60467--MA0740.1.KLF14	chr7	45916918	45916931	-	0.000	0.000	Merged-chr7-45916816-45
NR67264--MA0599.1.KLF5	chr8	122769458	122769467	-	0.000	0.000	Merged-chr8-122769435-21
NR11003--MA0599.1.KLF5	chr11	74881144	74881153	+	0.000	0.000	Merged-chr11-74881176-15
NR17958--MA0741.1.KLF16	chr13	93939770	93939780	-	0.000	0.000	Merged-chr13-93939742-17
NR21112--MA0741.1.KLF16	chr14	76165442	76165452	-	0.000	0.000	Merged-chr14-76165391-21
NR27480--MA0741.1.KLF16	chr17	6477181	6477191	-	0.000	0.000	Merged-chr17-6476977-103
NR5805--MA0741.1.KLF16	chr10	42849025	42849035	-	0.000	0.000	Merged-chr10-42848913-29
NR19703--MA1107.1.KLF9	chr14	30184749	30184761	+	0.000	0.000	Merged-chr14-30184705-37
NR41563--MA1107.1.KLF9	chr3	84477663	84477675	+	0.000	0.000	Merged-chr3-84477603-8
NR5834--MA0599.1.KLF5	chr10	43706325	43706334	-	0.000	0.000	Merged-chr10-43706280-54
NR33914--MA1107.1.KLF9	chr19	41031261	41031273	-	0.000	0.000	Merged-chr19-41031181-46
NR40348--MA1107.1.KLF9	chr3	9500015	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR67496--MA1107.1.KLF9	chr8	126864499	126864511	+	0.000	0.000	Merged-chr8-126864545-1
NR2693--MA1107.1.KLF9	chr1	136617584	136617596	-	0.000	0.000	Merged-chr1-136617404-40
NR27241--MA0741.1.KLF16	chr16	96208436	96208446	-	0.000	0.000	Merged-chr16-96208613-13
NR54748--MA0599.1.KLF5	chr6	28878189	28878198	-	0.000	0.000	Merged-chr6-28878211-33
NR19553--MA0740.1.KLF14	chr14	24779207	24779220	+	0.000	0.000	Merged-chr14-24779334-63
NR67491--MA0039.3.KLF4	chr8	126721955	126721965	-	0.000	0.000	Merged-chr8-126721826-22
NR50751--MA0599.1.KLF5	chr5	65950934	65950943	-	0.000	0.000	Merged-chr5-65951105-46
NR38035--MA0599.1.KLF5	chr2	122469535	122469544	+	0.000	0.000	Merged-chr2-122469407-42
NR7226--MA0599.1.KLF5	chr10	81253308	81253317	-	0.000	0.000	Merged-chr10-81253220-18
NR59397--MA0741.1.KLF16	chr7	24301056	24301066	+	0.000	0.000	Merged-chr7-24301044-7
NR31739--MA1107.1.KLF9	chr18	60502505	60502517	+	0.000	0.000	Merged-chr18-60502470-34
NR17792--MA1107.1.KLF9	chr13	83608480	83608492	+	0.000	0.000	Merged-chr13-83608381-13
NR42773--MA0741.1.KLF16	chr3	115897932	115897942	+	0.000	0.000	Merged-chr3-115897908-5
NR60543--MA1107.1.KLF9	chr7	49303816	49303828	-	0.000	0.000	Merged-chr7-49303959-15
NR50872--MA0599.1.KLF5	chr5	73223277	73223286	+	0.000	0.000	Merged-chr5-73223278-33
NR68003--MA0740.1.KLF14	chr9	22132312	22132325	-	0.000	0.000	Merged-chr9-22132302-2
NR27479--MA0599.1.KLF5	chr17	6477182	6477191	-	0.000	0.000	Merged-chr17-6476977-103
NR13872--MA0493.1.Klf1	chr12	31756030	31756040	-	0.000	0.000	Merged-chr12-31756239-29
NR43851--MA0741.1.KLF16	chr3	146045216	146045226	-	0.000	0.000	Merged-chr3-146045142-29
NR32609--MA0657.1.KLF13	chr18	82532264	82532281	-	0.000	0.000	Merged-chr18-82532131-16
NR557--MA0742.1.Klf12	chr1	39941509	39941523	+	0.000	0.000	Merged-chr1-39941675-40
NR49060--MA1107.1.KLF9	chr4	155154766	155154778	-	0.000	0.000	Merged-chr4-155154662-3
NR36306--MA0741.1.KLF16	chr2	59534544	59534554	+	0.000	0.000	Merged-chr2-59534510-22
NR36199--MA1107.1.KLF9	chr2	52542688	52542700	+	0.000	0.000	Merged-chr2-52542865-9
NR34208--MA0493.1.Klf1	chr19	47915500	47915510	-	0.000	0.000	Merged-chr19-47915460-18
NR2939--MA0742.1.Klf12	chr1	150465584	150465598	+	0.000	0.000	Merged-chr1-150465561-21
NR8409--MA1107.1.KLF9	chr10	118090009	118090021	-	0.000	0.000	Merged-chr10-118090052-13
NR58557--MA0599.1.KLF5	chr6	145049107	145049116	+	0.000	0.000	Merged-chr6-145048990-28
NR24368--MA0740.1.KLF14	chr15	93374729	93374742	-	0.000	0.000	Merged-chr15-93374795-20
NR42786--MA0741.1.KLF16	chr3	116200271	116200281	+	0.000	0.000	Merged-chr3-116200281-40
NR27092--MA0741.1.KLF16	chr16	93574642	93574652	-	0.000	0.000	Merged-chr16-93574695-56
NR66617--MA1107.1.KLF9	chr8	109957364	109957376	+	0.000	0.000	Merged-chr8-109957445-42
NR9710--MA0741.1.KLF16	chr11	31169350	31169360	+	0.000	0.000	Merged-chr11-31169541-9
NR7016--MA0599.1.KLF5	chr10	80152178	80152187	+	0.000	0.000	Merged-chr10-80152261-5
NR32283--MA0742.1.Klf12	chr18	75419450	75419464	+	0.000	0.000	Merged-chr18-75419579-57
NR610--MA0741.1.KLF16	chr1	42953264	42953274	-	0.000	0.000	Merged-chr1-42953184-68
NR57051--MA0599.1.KLF5	chr6	115123395	115123404	-	0.000	0.000	Merged-chr6-115123444-38
NR7687--MA0493.1.Klf1	chr10	91028076	91028086	+	0.000	0.000	Merged-chr10-91028217-15
NR61423--MA1107.1.KLF9	chr7	90081851	90081863	+	0.000	0.000	Merged-chr7-90081975-11
NR34129--MA0741.1.KLF16	chr19	46148528	46148538	-	0.000	0.000	Merged-chr19-46148494-21
NR56709--MA0599.1.KLF5	chr6	100390392	100390401	+	0.000	0.000	Merged-chr6-100390476-26
NR62607--MA1107.1.KLF9	chr7	121890915	121890927	+	0.000	0.000	Merged-chr7-121890851-14
NR56028--MA0493.1.Klf1	chr6	83413021	83413031	-	0.000	0.000	Merged-chr6-83413092-38
NR5842--MA0039.3.KLF4	chr10	43706426	43706436	-	0.000	0.000	Merged-chr10-43706280-54
NR25625--MA0039.3.KLF4	chr16	23375107	23375117	+	0.000	0.000	Merged-chr16-23375120-32
NR53692--MA0742.1.Klf12	chr5	140148961	140148975	+	0.000	0.000	Merged-chr5-140149143-22
NR17406--MA0741.1.KLF16	chr13	65070138	65070148	+	0.000	0.000	Merged-chr13-65070187-24
NR38949--MA0599.1.KLF5	chr2	151971070	151971079	+	0.000	0.000	Merged-chr2-151971067-35
NR67773--MA0741.1.KLF16	chr9	15014186	15014196	-	0.000	0.000	Merged-chr9-15014101-6
NR71486--MA0599.1.KLF5	chr9	123229918	123229927	+	0.000	0.000	Merged-chr9-123229915-16
NR6097--MA0742.1.Klf12	chr10	59921281	59921295	-	0.000	0.000	Merged-chr10-59921087-38
NR61661--MA0493.1.Klf1	chr7	98995318	98995328	-	0.000	0.000	Merged-chr7-98995432-21
NR61581--MA0599.1.KLF5	chr7	96920647	96920656	-	0.000	0.000	Merged-chr7-96920782-38
NR37313--MA0599.1.KLF5	chr2	102049966	102049975	+	0.000	0.000	Merged-chr2-102050053-17
NR56712--MA0741.1.KLF16	chr6	100390392	100390402	+	0.000	0.000	Merged-chr6-100390476-26
NR35263--MA0599.1.KLF5	chr2	25095203	25095212	+	0.000	0.000	Merged-chr2-25095278-14
NR24380--MA0599.1.KLF5	chr15	93443914	93443923	+	0.000	0.000	Merged-chr15-93443797-12
NR27090--MA0599.1.KLF5	chr16	93574643	93574652	-	0.000	0.000	Merged-chr16-93574695-56
NR25779--MA0599.1.KLF5	chr16	32516539	32516548	-	0.000	0.000	Merged-chr16-32516451-30
NR14761--MA0493.1.Klf1	chr12	82166464	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR34128--MA0493.1.Klf1	chr19	46148529	46148539	-	0.000	0.000	Merged-chr19-46148494-21
NR8687--MA1107.1.KLF9	chr10	122778157	122778169	+	0.000	0.000	Merged-chr10-122778014-1
NR30694--MA0039.3.KLF4	chr17	88753267	88753277	+	0.000	0.000	Merged-chr17-88753234-51
NR31542--MA0741.1.KLF16	chr18	53245579	53245589	+	0.000	0.000	Merged-chr18-53245593-51
NR44893--MA0599.1.KLF5	chr4	34551670	34551679	-	0.000	0.000	Merged-chr4-34551500-9
NR50750--MA0740.1.KLF14	chr5	65950931	65950944	-	0.000	0.000	Merged-chr5-65951105-46
NR8682--MA0039.3.KLF4	chr10	122778139	122778149	+	0.000	0.000	Merged-chr10-122778014-1
NR69060--MA0599.1.KLF5	chr9	61715237	61715246	-	0.000	0.000	Merged-chr9-61715160-12
NR57168--MA0599.1.KLF5	chr6	118593644	118593653	-	0.000	0.000	Merged-chr6-118593680-90
NR65107--MA1107.1.KLF9	chr8	64935179	64935191	-	0.000	0.000	Merged-chr8-64935114-22
NR22626--MA0599.1.KLF5	chr15	36438864	36438873	-	0.000	0.000	Merged-chr15-36438812-16
NR44520--MA0039.3.KLF4	chr4	11017780	11017790	+	0.000	0.000	Merged-chr4-11017688-10
NR43799--MA0599.1.KLF5	chr3	145613473	145613482	+	0.000	0.000	Merged-chr3-145613509-1
NR26679--MA0742.1.Klf12	chr16	76283301	76283315	+	0.000	0.000	Merged-chr16-76283420-1
NR68717--MA1107.1.KLF9	chr9	51162024	51162036	-	0.000	0.000	Merged-chr9-51161990-29
NR42243--MA0493.1.Klf1	chr3	100533648	100533658	+	0.000	0.000	Merged-chr3-100533650-21
NR14766--MA0493.1.Klf1	chr12	82187387	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR31271--MA0599.1.KLF5	chr18	35830179	35830188	+	0.000	0.000	Merged-chr18-35830192-19
NR14408--MA0493.1.Klf1	chr12	69853616	69853626	+	0.000	0.000	Merged-chr12-69853558-20
NR42942--MA0599.1.KLF5	chr3	122474232	122474241	+	0.000	0.000	Merged-chr3-122474297-38
NR57951--MA0493.1.Klf1	chr6	134451034	134451044	-	0.000	0.000	Merged-chr6-134450954-21
NR31579--MA1107.1.KLF9	chr18	54822926	54822938	+	0.000	0.000	Merged-chr18-54822886-30
NR39221--MA0741.1.KLF16	chr2	158673411	158673421	+	0.000	0.000	Merged-chr2-158673458-23
NR60044--MA0599.1.KLF5	chr7	35172054	35172063	-	0.000	0.000	Merged-chr7-35172078-26
NR32452--MA0740.1.KLF14	chr18	80041987	80042000	+	0.000	0.000	Merged-chr18-80041946-55
NR7854--MA0599.1.KLF5	chr10	95942200	95942209	+	0.000	0.000	Merged-chr10-95942106-29
NR1725--MA0740.1.KLF14	chr1	93115248	93115261	+	0.000	0.000	Merged-chr1-93115270-41
NR41178--MA0742.1.Klf12	chr3	61002319	61002333	-	0.000	0.000	Merged-chr3-61002220-1
NR12371--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR58374--MA0493.1.Klf1	chr6	142507797	142507807	+	0.000	0.000	Merged-chr6-142507875-63
NR24370--MA0039.3.KLF4	chr15	93374730	93374740	-	0.000	0.000	Merged-chr15-93374795-20
NR67775--MA1107.1.KLF9	chr9	15014183	15014195	-	0.000	0.000	Merged-chr9-15014101-6
NR25558--MA0741.1.KLF16	chr16	20804930	20804940	+	0.000	0.000	Merged-chr16-20804779-46
NR39753--MA0599.1.KLF5	chr2	168741368	168741377	+	0.000	0.000	Merged-chr2-168741453-11
NR64612--MA0741.1.KLF16	chr8	34818005	34818015	-	0.000	0.000	Merged-chr8-34817852-8
NR13720--MA0741.1.KLF16	chr12	24975166	24975176	-	0.000	0.000	Merged-chr12-24975198-73
NR55668--MA1107.1.KLF9	chr6	59451129	59451141	-	0.000	0.000	Merged-chr6-59451158-16
NR28521--MA0741.1.KLF16	chr17	31693551	31693561	-	0.000	0.000	Merged-chr17-31693537-59
NR41717--MA1107.1.KLF9	chr3	89179230	89179242	-	0.000	0.000	Merged-chr3-89179239-17
NR23953--MA0493.1.Klf1	chr15	82290612	82290622	-	0.000	0.000	Merged-chr15-82290504-11
NR43374--MA0599.1.KLF5	chr3	132928123	132928132	-	0.000	0.000	Merged-chr3-132927951-20
NR58373--MA0039.3.KLF4	chr6	142507799	142507809	+	0.000	0.000	Merged-chr6-142507875-63
NR57982--MA1107.1.KLF9	chr6	134981446	134981458	-	0.000	0.000	Merged-chr6-134981456-22
NR13748--MA0740.1.KLF14	chr12	25601192	25601205	-	0.000	0.000	Merged-chr12-25601123-16
NR39757--MA0741.1.KLF16	chr2	168741484	168741494	+	0.000	0.000	Merged-chr2-168741453-11
NR13264--MA1107.1.KLF9	chr11	120941194	120941206	-	0.000	0.000	Merged-chr11-120941184-16
NR54378--MA0599.1.KLF5	chr5	150232883	150232892	+	0.000	0.000	Merged-chr5-150232910-1
NR39977--MA0599.1.KLF5	chr2	173063391	173063400	+	0.000	0.000	Merged-chr2-173063390-29
NR26686--MA0599.1.KLF5	chr16	76283386	76283395	-	0.000	0.000	Merged-chr16-76283420-1
NR16472--MA0741.1.KLF16	chr13	30186555	30186565	-	0.000	0.000	Merged-chr13-30186492-12
NR63799--MA0741.1.KLF16	chr7	142967379	142967389	+	0.000	0.000	Merged-chr7-142967366-1
NR50926--MA0657.1.KLF13	chr5	74704610	74704627	+	0.000	0.000	Merged-chr5-74704453-70
NR16600--MA0741.1.KLF16	chr13	37827781	37827791	-	0.000	0.000	Merged-chr13-37827863-1
NR3956--MA0599.1.KLF5	chr1	172197390	172197399	+	0.000	0.000	Merged-chr1-172197316-25
NR42257--MA0493.1.Klf1	chr3	101066402	101066412	+	0.000	0.000	Merged-chr3-101066330-34
NR67539--MA0741.1.KLF16	chr8	127447348	127447358	-	0.000	0.000	Merged-chr8-127447217-34
NR24385--MA0493.1.Klf1	chr15	93443913	93443923	+	0.000	0.000	Merged-chr15-93443797-12
NR3939--MA0741.1.KLF16	chr1	171916126	171916136	+	0.000	0.000	Merged-chr1-171916002-44
NR4379--MA0599.1.KLF5	chr1	182764154	182764163	+	0.000	0.000	Merged-chr1-182764155-66
NR26685--MA1107.1.KLF9	chr16	76283301	76283313	+	0.000	0.000	Merged-chr16-76283420-1
NR9707--MA0741.1.KLF16	chr11	31169347	31169357	+	0.000	0.000	Merged-chr11-31169541-9
NR35640--MA0599.1.KLF5	chr2	31026744	31026753	-	0.000	0.000	Merged-chr2-31026852-15
NR5472--MA1107.1.KLF9	chr10	25140437	25140449	-	0.000	0.000	Merged-chr10-25140477-16
NR9688--MA0741.1.KLF16	chr11	29883367	29883377	-	0.000	0.000	Merged-chr11-29883287-9
NR13913--MA0039.3.KLF4	chr12	33076513	33076523	+	0.000	0.000	Merged-chr12-33076409-32
NR42932--MA0039.3.KLF4	chr3	122122334	122122344	+	0.000	0.000	Merged-chr3-122122309-36
NR16759--MA0599.1.KLF5	chr13	43906452	43906461	+	0.000	0.000	Merged-chr13-43906399-21
NR4083--MA0742.1.Klf12	chr1	175693726	175693740	+	0.000	0.000	Merged-chr1-175693836-3
NR69046--MA0039.3.KLF4	chr9	61236139	61236149	+	0.000	0.000	Merged-chr9-61236183-14
NR15329--MA0599.1.KLF5	chr12	102703864	102703873	-	0.000	0.000	Merged-chr12-102703809-1
NR16594--MA0741.1.KLF16	chr13	37751669	37751679	+	0.000	0.000	Merged-chr13-37751511-23
NR5837--MA0741.1.KLF16	chr10	43706322	43706332	-	0.000	0.000	Merged-chr10-43706280-54
NR31571--MA0740.1.KLF14	chr18	54822920	54822933	+	0.000	0.000	Merged-chr18-54822886-30
NR31003--MA0741.1.KLF16	chr18	21300192	21300202	+	0.000	0.000	Merged-chr18-21300237-62
NR4970--MA0599.1.KLF5	chr1	193285753	193285762	+	0.000	0.000	Merged-chr1-193285975-30
NR57975--MA0740.1.KLF14	chr6	134981445	134981458	-	0.000	0.000	Merged-chr6-134981456-22
NR40329--MA0599.1.KLF5	chr3	8667329	8667338	+	0.000	0.000	Merged-chr3-8667385-80
NR16978--MA0493.1.Klf1	chr13	52929727	52929737	+	0.000	0.000	Merged-chr13-52929606-61
NR558--MA0599.1.KLF5	chr1	39941510	39941519	+	0.000	0.000	Merged-chr1-39941675-40
NR1562--MA0742.1.Klf12	chr1	87847397	87847411	-	0.000	0.000	Merged-chr1-87847290-68
NR18829--MA0741.1.KLF16	chr13	113815956	113815966	-	0.000	0.000	Merged-chr13-113816059-33
NR17853--MA0493.1.Klf1	chr13	89521652	89521662	+	0.000	0.000	Merged-chr13-89521757-30
NR14029--MA0599.1.KLF5	chr12	40223434	40223443	+	0.000	0.000	Merged-chr12-40223491-1
NR11798--MA0599.1.KLF5	chr11	95379007	95379016	-	0.000	0.000	Merged-chr11-95379150-8
NR24372--MA0741.1.KLF16	chr15	93374731	93374741	-	0.000	0.000	Merged-chr15-93374795-20
NR54386--MA0039.3.KLF4	chr5	150262889	150262899	+	0.000	0.000	Merged-chr5-150262822-29
NR39444--MA0741.1.KLF16	chr2	163100116	163100126	-	0.000	0.000	Merged-chr2-163100193-2
NR115--MA0599.1.KLF5	chr1	13426974	13426983	-	0.000	0.000	Merged-chr1-13426973-84
NR4084--MA0599.1.KLF5	chr1	175693727	175693736	+	0.000	0.000	Merged-chr1-175693836-3
NR47352--MA0741.1.KLF16	chr4	127095287	127095297	-	0.000	0.000	Merged-chr4-127095353-15
NR2691--MA1107.1.KLF9	chr1	136617580	136617592	-	0.000	0.000	Merged-chr1-136617404-40
NR67485--MA1107.1.KLF9	chr8	126539618	126539630	-	0.000	0.000	Merged-chr8-126539798-23
NR26684--MA0741.1.KLF16	chr16	76283307	76283317	+	0.000	0.000	Merged-chr16-76283420-1
NR57527--MA0493.1.Klf1	chr6	125433808	125433818	+	0.000	0.000	Merged-chr6-125433874-28
NR72515--MA0599.1.KLF5	chrX	134566726	134566735	+	0.000	0.000	Merged-chrX-134566845-16
NR18809--MA0493.1.Klf1	chr13	113466900	113466910	+	0.000	0.000	Merged-chr13-113466791-29
NR62289--MA0657.1.KLF13	chr7	116504217	116504234	+	0.000	0.000	Merged-chr7-116504406-66
NR60541--MA1107.1.KLF9	chr7	49303812	49303824	-	0.000	0.000	Merged-chr7-49303959-15
NR6143--MA0599.1.KLF5	chr10	60162561	60162570	+	0.000	0.000	Merged-chr10-60162645-38
NR39662--MA0741.1.KLF16	chr2	167713157	167713167	-	0.000	0.000	Merged-chr2-167713112-41
NR5829--MA0741.1.KLF16	chr10	43579020	43579030	-	0.000	0.000	Merged-chr10-43578959-39
NR68348--MA0599.1.KLF5	chr9	41160883	41160892	-	0.000	0.000	Merged-chr9-41160864-12
NR52240--MA0657.1.KLF13	chr5	115693537	115693554	-	0.000	0.000	Merged-chr5-115693567-32
NR43853--MA1107.1.KLF9	chr3	146045217	146045229	-	0.000	0.000	Merged-chr3-146045142-29
NR16975--MA0742.1.Klf12	chr13	52929727	52929741	+	0.000	0.000	Merged-chr13-52929606-61
NR66210--MA0741.1.KLF16	chr8	95349083	95349093	-	0.000	0.000	Merged-chr8-95348986-27
NR33272--MA1107.1.KLF9	chr19	9066376	9066388	-	0.000	0.000	Merged-chr19-9066188-87
NR31572--MA0657.1.KLF13	chr18	54822919	54822936	+	0.000	0.000	Merged-chr18-54822886-30
NR5840--MA1107.1.KLF9	chr10	43706321	43706333	-	0.000	0.000	Merged-chr10-43706280-54
NR1707--MA0741.1.KLF16	chr1	92640407	92640417	+	0.000	0.000	Merged-chr1-92640529-29
NR57952--MA0741.1.KLF16	chr6	134451042	134451052	-	0.000	0.000	Merged-chr6-134450954-21
NR37743--MA0741.1.KLF16	chr2	116071847	116071857	+	0.000	0.000	Merged-chr2-116071770-9
NR65630--MA0742.1.Klf12	chr8	77383805	77383819	+	0.000	0.000	Merged-chr8-77383968-15
NR8681--MA0599.1.KLF5	chr10	122778138	122778147	+	0.000	0.000	Merged-chr10-122778014-1
NR40020--MA0493.1.Klf1	chr2	173444618	173444628	+	0.000	0.000	Merged-chr2-173444560-32
NR68936--MA0741.1.KLF16	chr9	58112632	58112642	-	0.000	0.000	Merged-chr9-58112486-25
NR5828--MA0599.1.KLF5	chr10	43579021	43579030	-	0.000	0.000	Merged-chr10-43578959-39
NR58648--MA1107.1.KLF9	chr6	146909287	146909299	-	0.000	0.000	Merged-chr6-146909380-33
NR40347--MA0493.1.Klf1	chr3	9500017	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR7232--MA1107.1.KLF9	chr10	81253306	81253318	-	0.000	0.000	Merged-chr10-81253220-18
NR36749--MA0599.1.KLF5	chr2	75114516	75114525	-	0.000	0.000	Merged-chr2-75114355-21
NR4380--MA0741.1.KLF16	chr1	182764154	182764164	+	0.000	0.000	Merged-chr1-182764155-66
NR42765--MA0740.1.KLF14	chr3	115897889	115897902	+	0.000	0.000	Merged-chr3-115897908-5
NR57052--MA0657.1.KLF13	chr6	115559863	115559880	-	0.000	0.000	Merged-chr6-115560075-18
NR60041--MA0741.1.KLF16	chr7	35119101	35119111	-	0.000	0.000	Merged-chr7-35119008-87
NR68356--MA1107.1.KLF9	chr9	41160887	41160899	-	0.000	0.000	Merged-chr9-41160864-12
NR60537--MA1107.1.KLF9	chr7	49303804	49303816	-	0.000	0.000	Merged-chr7-49303959-15
NR21115--MA0741.1.KLF16	chr14	76165446	76165456	-	0.000	0.000	Merged-chr14-76165391-21
NR27338--MA0493.1.Klf1	chr17	3246813	3246823	-	0.000	0.000	Merged-chr17-3246798-10
NR17791--MA0493.1.Klf1	chr13	83608480	83608490	+	0.000	0.000	Merged-chr13-83608381-13
NR17991--MA0741.1.KLF16	chr13	94567543	94567553	-	0.000	0.000	Merged-chr13-94567668-9
NR38808--MA0599.1.KLF5	chr2	146888027	146888036	-	0.000	0.000	Merged-chr2-146888107-12
NR42665--MA1107.1.KLF9	chr3	109407798	109407810	-	0.000	0.000	Merged-chr3-109408017-19
NR43849--MA1107.1.KLF9	chr3	146044936	146044948	-	0.000	0.000	Merged-chr3-146045142-29
NR25423--MA0740.1.KLF14	chr16	16992428	16992441	-	0.000	0.000	Merged-chr16-16992386-10
NR41230--MA0039.3.KLF4	chr3	65352914	65352924	+	0.000	0.000	Merged-chr3-65352895-35
NR32613--MA0493.1.Klf1	chr18	82532270	82532280	-	0.000	0.000	Merged-chr18-82532131-16
NR2384--MA0599.1.KLF5	chr1	130522445	130522454	+	0.000	0.000	Merged-chr1-130522626-12
NR16599--MA0599.1.KLF5	chr13	37827782	37827791	-	0.000	0.000	Merged-chr13-37827863-1
NR14741--MA0493.1.Klf1	chr12	81845220	81845230	-	0.000	0.000	Merged-chr12-81845150-28
NR11256--MA1107.1.KLF9	chr11	78690774	78690786	+	0.000	0.000	Merged-chr11-78690691-3
NR23475--MA1107.1.KLF9	chr15	75894412	75894424	+	0.000	0.000	Merged-chr15-75894455-46
NR61430--MA1107.1.KLF9	chr7	90341960	90341972	-	0.000	0.000	Merged-chr7-90341759-29
NR14764--MA0742.1.Klf12	chr12	82187381	82187395	+	0.000	0.000	Merged-chr12-82187311-20
NR66616--MA0741.1.KLF16	chr8	109957365	109957375	+	0.000	0.000	Merged-chr8-109957445-42
NR22731--MA0599.1.KLF5	chr15	38535549	38535558	+	0.000	0.000	Merged-chr15-38535554-39
NR23328--MA0493.1.Klf1	chr15	72859485	72859495	+	0.000	0.000	Merged-chr15-72859470-25
NR71081--MA0741.1.KLF16	chr9	115134878	115134888	+	0.000	0.000	Merged-chr9-115134877-14
NR66202--MA0741.1.KLF16	chr8	95349075	95349085	-	0.000	0.000	Merged-chr8-95348986-27
NR18638--MA0741.1.KLF16	chr13	109440514	109440524	+	0.000	0.000	Merged-chr13-109440485-3
NR32066--MA0039.3.KLF4	chr18	68009874	68009884	-	0.000	0.000	Merged-chr18-68009892-31
NR45263--MA0741.1.KLF16	chr4	45766157	45766167	-	0.000	0.000	Merged-chr4-45766216-17
NR50923--MA0740.1.KLF14	chr5	74704352	74704365	-	0.000	0.000	Merged-chr5-74704453-70
NR52243--MA0039.3.KLF4	chr5	115693541	115693551	-	0.000	0.000	Merged-chr5-115693567-32
NR25674--MA0599.1.KLF5	chr16	28853748	28853757	+	0.000	0.000	Merged-chr16-28853718-1
NR30842--MA0741.1.KLF16	chr18	5819884	5819894	+	0.000	0.000	Merged-chr18-5820020-28
NR56715--MA1107.1.KLF9	chr6	100390391	100390403	+	0.000	0.000	Merged-chr6-100390476-26
NR38951--MA0493.1.Klf1	chr2	151971069	151971079	+	0.000	0.000	Merged-chr2-151971067-35
NR14763--MA1107.1.KLF9	chr12	82166462	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR49059--MA1107.1.KLF9	chr4	155154764	155154776	-	0.000	0.000	Merged-chr4-155154662-3
NR32751--MA0039.3.KLF4	chr18	84911754	84911764	-	0.000	0.000	Merged-chr18-84911932-15
NR34394--MA1107.1.KLF9	chr19	55260753	55260765	-	0.000	0.000	Merged-chr19-55260920-21
NR41226--MA0039.3.KLF4	chr3	65352868	65352878	-	0.000	0.000	Merged-chr3-65352895-35
NR61429--MA0741.1.KLF16	chr7	90341961	90341971	-	0.000	0.000	Merged-chr7-90341759-29
NR68352--MA0741.1.KLF16	chr9	41160886	41160896	-	0.000	0.000	Merged-chr9-41160864-12
NR39952--MA0599.1.KLF5	chr2	172940357	172940366	-	0.000	0.000	Merged-chr2-172940358-59
NR38950--MA0039.3.KLF4	chr2	151971071	151971081	+	0.000	0.000	Merged-chr2-151971067-35
NR66759--MA1107.1.KLF9	chr8	114506094	114506106	-	0.000	0.000	Merged-chr8-114506190-31
NR65093--MA0742.1.Klf12	chr8	64788878	64788892	+	0.000	0.000	Merged-chr8-64788923-42
NR36747--MA0740.1.KLF14	chr2	75114513	75114526	-	0.000	0.000	Merged-chr2-75114355-21
NR68732--MA0741.1.KLF16	chr9	51168206	51168216	-	0.000	0.000	Merged-chr9-51168146-14
