#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR160--MA1104.1.GATA6	chr1	84817774	84817786	+	0.000	0.000	Merged-chr1-84817778-11
NR3660--MA0140.2.GATA1::TAL1	chr18	32311819	32311836	+	0.000	0.000	Merged-chr18-32311918-36
NR7755--MA0037.3.GATA3	chr9	95113475	95113482	-	0.000	0.000	Merged-chr9-95113538-34
NR4285--MA0035.3.Gata1	chr2	70425814	70425824	+	0.000	0.000	Merged-chr2-70425902-24
NR916--MA0482.1.Gata4	chr10	96201431	96201441	-	0.000	0.000	Merged-chr10-96201472-66
NR2882--MA1104.1.GATA6	chr15	91616639	91616651	+	0.000	0.000	Merged-chr15-91616695-12
NR919--MA0035.3.Gata1	chr10	96201432	96201442	-	0.000	0.000	Merged-chr10-96201472-66
NR5722--MA0035.3.Gata1	chr4	150517581	150517591	+	0.000	0.000	Merged-chr4-150517532-35
NR7101--MA0140.2.GATA1::TAL1	chr7	143052807	143052824	-	0.000	0.000	Merged-chr7-143053012-41
NR3574--MA0036.3.GATA2	chr17	80419075	80419085	+	0.000	0.000	Merged-chr17-80418993-27
NR1965--MA0140.2.GATA1::TAL1	chr13	52628270	52628287	-	0.000	0.000	Merged-chr13-52628204-1
NR2451--MA0140.2.GATA1::TAL1	chr14	58967996	58968013	-	0.000	0.000	Merged-chr14-58968106-10
NR3604--MA0037.3.GATA3	chr17	87036797	87036804	+	0.000	0.000	Merged-chr17-87036710-20
NR6225--MA0766.1.GATA5	chr6	37455686	37455693	-	0.000	0.000	Merged-chr6-37455816-24
NR6063--MA0766.1.GATA5	chr5	114681322	114681329	+	0.000	0.000	Merged-chr5-114681129-21
NR4819--MA0036.3.GATA2	chr3	28318056	28318066	+	0.000	0.000	Merged-chr3-28318064-9
NR1573--MA0035.3.Gata1	chr12	69446043	69446053	-	0.000	0.000	Merged-chr12-69446107-1
NR6167--MA0035.3.Gata1	chr5	151416829	151416839	+	0.000	0.000	Merged-chr5-151416725-1
NR917--MA1104.1.GATA6	chr10	96201431	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR576--MA0482.1.Gata4	chr1	184016504	184016514	+	0.000	0.000	Merged-chr1-184016575-13
NR3303--MA0766.1.GATA5	chr16	94374312	94374319	-	0.000	0.000	Merged-chr16-94374445-4
NR4086--MA0035.3.Gata1	chr2	22721880	22721890	+	0.000	0.000	Merged-chr2-22721936-56
NR5820--MA0766.1.GATA5	chr5	32488279	32488286	+	0.000	0.000	Merged-chr5-32488180-22
NR3593--MA0035.3.Gata1	chr17	84241679	84241689	+	0.000	0.000	Merged-chr17-84241728-6
NR1950--MA0140.2.GATA1::TAL1	chr13	49300932	49300949	+	0.000	0.000	Merged-chr13-49300930-11
NR1464--MA0036.3.GATA2	chr12	16901174	16901184	+	0.000	0.000	Merged-chr12-16901091-18
NR3734--MA0035.3.Gata1	chr18	60502492	60502502	+	0.000	0.000	Merged-chr18-60502470-34
NR7983--MA0766.1.GATA5	chrX	135962558	135962565	+	0.000	0.000	Merged-chrX-135962489-11
NR3927--MA0766.1.GATA5	chr19	16418579	16418586	-	0.000	0.000	Merged-chr19-16418552-32
NR2880--MA0037.3.GATA3	chr15	91616651	91616658	+	0.000	0.000	Merged-chr15-91616695-12
NR7933--MA0482.1.Gata4	chrX	17590884	17590894	+	0.000	0.000	Merged-chrX-17590800-11
NR3702--MA0482.1.Gata4	chr18	46448738	46448748	-	0.000	0.000	Merged-chr18-46448750-18
NR577--MA1104.1.GATA6	chr1	184016502	184016514	-	0.000	0.000	Merged-chr1-184016575-13
NR580--MA0035.3.Gata1	chr1	184016503	184016513	+	0.000	0.000	Merged-chr1-184016575-13
NR6064--MA0035.3.Gata1	chr5	114681320	114681330	-	0.000	0.000	Merged-chr5-114681129-21
NR159--MA0482.1.Gata4	chr1	84817774	84817784	-	0.000	0.000	Merged-chr1-84817778-11
NR7465--MA0766.1.GATA5	chr9	5311522	5311529	-	0.000	0.000	Merged-chr9-5311572-34
NR3697--MA0140.2.GATA1::TAL1	chr18	46013357	46013374	-	0.000	0.000	Merged-chr18-46013388-48
NR3609--MA0035.3.Gata1	chr17	87036795	87036805	-	0.000	0.000	Merged-chr17-87036710-20
NR7981--MA0482.1.Gata4	chrX	135962555	135962565	-	0.000	0.000	Merged-chrX-135962489-11
NR3099--MA0140.2.GATA1::TAL1	chr16	48745689	48745706	+	0.000	0.000	Merged-chr16-48745701-29
NR7100--MA0035.3.Gata1	chr7	142967347	142967357	-	0.000	0.000	Merged-chr7-142967366-1
NR5908--MA0036.3.GATA2	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR6224--MA0037.3.GATA3	chr6	37455686	37455693	-	0.000	0.000	Merged-chr6-37455816-24
NR5823--MA0482.1.Gata4	chr5	32950842	32950852	+	0.000	0.000	Merged-chr5-32950856-18
NR1244--MA0036.3.GATA2	chr11	70265524	70265534	+	0.000	0.000	Merged-chr11-70265494-15
NR1321--MA0482.1.Gata4	chr11	96993116	96993126	+	0.000	0.000	Merged-chr11-96993116-10
NR6999--MA0140.2.GATA1::TAL1	chr7	113242009	113242026	+	0.000	0.000	Merged-chr7-113241990-10
NR3703--MA1104.1.GATA6	chr18	46448738	46448750	+	0.000	0.000	Merged-chr18-46448750-18
NR3928--MA0035.3.Gata1	chr19	16418578	16418588	+	0.000	0.000	Merged-chr19-16418552-32
NR2920--MA0036.3.GATA2	chr15	100182734	100182744	+	0.000	0.000	Merged-chr15-100182935-17
NR7253--MA0766.1.GATA5	chr8	64935135	64935142	-	0.000	0.000	Merged-chr8-64935114-22
NR549--MA0140.2.GATA1::TAL1	chr1	177676552	177676569	-	0.000	0.000	Merged-chr1-177676690-44
NR5477--MA0766.1.GATA5	chr4	86725372	86725379	-	0.000	0.000	Merged-chr4-86725378-12
NR2598--MA0140.2.GATA1::TAL1	chr14	103017227	103017244	-	0.000	0.000	Merged-chr14-103017290-44
NR7466--MA0035.3.Gata1	chr9	5311521	5311531	+	0.000	0.000	Merged-chr9-5311572-34
NR7982--MA1104.1.GATA6	chrX	135962555	135962567	+	0.000	0.000	Merged-chrX-135962489-11
NR5284--MA0036.3.GATA2	chr3	159509171	159509181	+	0.000	0.000	Merged-chr3-159509158-33
NR7758--MA0036.3.GATA2	chr9	95113474	95113484	+	0.000	0.000	Merged-chr9-95113538-34
NR575--MA0037.3.GATA3	chr1	184016504	184016511	-	0.000	0.000	Merged-chr1-184016575-13
NR7852--MA1104.1.GATA6	chr9	105689626	105689638	-	0.000	0.000	Merged-chr9-105689631-24
NR7258--MA0766.1.GATA5	chr8	69168494	69168501	+	0.000	0.000	Merged-chr8-69168549-18
NR1608--MA0036.3.GATA2	chr12	77070145	77070155	+	0.000	0.000	Merged-chr12-77070291-10
NR3575--MA0035.3.Gata1	chr17	80419075	80419085	+	0.000	0.000	Merged-chr17-80418993-27
NR2721--MA0035.3.Gata1	chr15	25673748	25673758	+	0.000	0.000	Merged-chr15-25673661-24
NR2473--MA0140.2.GATA1::TAL1	chr14	61758887	61758904	-	0.000	0.000	Merged-chr14-61758817-7
NR3216--MA0482.1.Gata4	chr16	66086702	66086712	+	0.000	0.000	Merged-chr16-66086640-17
NR7437--MA0035.3.Gata1	chr8	124658088	124658098	+	0.000	0.000	Merged-chr8-124658101-13
NR1839--MA0036.3.GATA2	chr12	116932354	116932364	+	0.000	0.000	Merged-chr12-116932315-2
NR4955--MA0766.1.GATA5	chr3	84570697	84570704	-	0.000	0.000	Merged-chr3-84570776-21
NR6744--MA0766.1.GATA5	chr7	19093680	19093687	-	0.000	0.000	Merged-chr7-19093740-100
NR7251--MA0482.1.Gata4	chr8	64935135	64935145	+	0.000	0.000	Merged-chr8-64935114-22
NR3153--MA0035.3.Gata1	chr16	57174598	57174608	+	0.000	0.000	Merged-chr16-57174772-11
NR4645--MA0140.2.GATA1::TAL1	chr2	150869656	150869673	+	0.000	0.000	Merged-chr2-150869596-45
NR6151--MA0140.2.GATA1::TAL1	chr5	148373400	148373417	-	0.000	0.000	Merged-chr5-148373511-17
NR7254--MA0035.3.Gata1	chr8	64935134	64935144	+	0.000	0.000	Merged-chr8-64935114-22
NR7896--MA0482.1.Gata4	chr9	117400611	117400621	-	0.000	0.000	Merged-chr9-117400417-34
NR5478--MA0035.3.Gata1	chr4	86725371	86725381	+	0.000	0.000	Merged-chr4-86725378-12
