#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR38340--MA1107.1.KLF9	chr2	147832629	147832641	+	0.000	0.000	Merged-chr2-147832545-2
NR57554--MA0599.1.KLF5	chr7	3290417	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR1540--MA0741.1.KLF16	chr1	89070319	89070329	+	0.000	0.000	Merged-chr1-89070221-114
NR33687--MA0657.1.KLF13	chr19	44078469	44078486	+	0.000	0.000	Merged-chr19-44078434-18
NR15405--MA0741.1.KLF16	chr12	105981752	105981762	-	0.000	0.000	Merged-chr12-105981568-18
NR38336--MA1107.1.KLF9	chr2	147832621	147832633	+	0.000	0.000	Merged-chr2-147832545-2
NR48268--MA1107.1.KLF9	chr4	154246626	154246638	-	0.000	0.000	Merged-chr4-154246608-23
NR45237--MA0599.1.KLF5	chr4	63374452	63374461	-	0.000	0.000	Merged-chr4-63374421-2
NR61520--MA0741.1.KLF16	chr7	132317313	132317323	+	0.000	0.000	Merged-chr7-132317352-2
NR25158--MA0493.1.Klf1	chr16	21204698	21204708	-	0.000	0.000	Merged-chr16-21204669-33
NR38345--MA0741.1.KLF16	chr2	147832656	147832666	-	0.000	0.000	Merged-chr2-147832545-2
NR26381--MA0039.3.KLF4	chr16	90329847	90329857	+	0.000	0.000	Merged-chr16-90329904-1
NR24785--MA0599.1.KLF5	chr16	5030007	5030016	+	0.000	0.000	Merged-chr16-5030081-11
NR60675--MA0740.1.KLF14	chr7	112679260	112679273	+	0.000	0.000	Merged-chr7-112679423-49
NR40253--MA0493.1.Klf1	chr3	27984086	27984096	-	0.000	0.000	Merged-chr3-27984101-47
NR4196--MA0493.1.Klf1	chr1	185613533	185613543	+	0.000	0.000	Merged-chr1-185613484-1
NR64110--MA0740.1.KLF14	chr8	93810528	93810541	+	0.000	0.000	Merged-chr8-93810346-59
NR1284--MA1107.1.KLF9	chr1	78422500	78422512	+	0.000	0.000	Merged-chr1-78422740-38
NR4195--MA0039.3.KLF4	chr1	185613535	185613545	+	0.000	0.000	Merged-chr1-185613484-1
NR65320--MA0493.1.Klf1	chr8	125558862	125558872	+	0.000	0.000	Merged-chr8-125558804-33
NR15505--MA0599.1.KLF5	chr12	108275585	108275594	+	0.000	0.000	Merged-chr12-108275445-64
NR47479--MA0741.1.KLF16	chr4	141425778	141425788	+	0.000	0.000	Merged-chr4-141425823-59
NR41025--MA1107.1.KLF9	chr3	79451642	79451654	-	0.000	0.000	Merged-chr3-79451498-29
NR1862--MA0657.1.KLF13	chr1	119504861	119504878	-	0.000	0.000	Merged-chr1-119504796-62
NR42904--MA0599.1.KLF5	chr3	132928123	132928132	-	0.000	0.000	Merged-chr3-132927951-20
NR67797--MA0741.1.KLF16	chr9	89909838	89909848	-	0.000	0.000	Merged-chr9-89909785-17
NR397--MA1107.1.KLF9	chr1	37300935	37300947	-	0.000	0.000	Merged-chr1-37301008-22
NR23658--MA0741.1.KLF16	chr15	84168812	84168822	-	0.000	0.000	Merged-chr15-84168860-11
NR12700--MA1107.1.KLF9	chr11	114219808	114219820	+	0.000	0.000	Merged-chr11-114219775-1
NR48000--MA0741.1.KLF16	chr4	150087351	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR9360--MA0599.1.KLF5	chr11	22936586	22936595	+	0.000	0.000	Merged-chr11-22936648-30
NR13537--MA0657.1.KLF13	chr12	16999372	16999389	-	0.000	0.000	Merged-chr12-16999389-4
NR65321--MA0741.1.KLF16	chr8	125558863	125558873	+	0.000	0.000	Merged-chr8-125558804-33
NR1537--MA0599.1.KLF5	chr1	89070319	89070328	+	0.000	0.000	Merged-chr1-89070221-114
NR2183--MA0742.1.Klf12	chr1	133053259	133053273	+	0.000	0.000	Merged-chr1-133053249-27
NR33794--MA0599.1.KLF5	chr19	46148529	46148538	-	0.000	0.000	Merged-chr19-46148494-21
NR40250--MA0657.1.KLF13	chr3	27984080	27984097	-	0.000	0.000	Merged-chr3-27984101-47
NR2187--MA0741.1.KLF16	chr1	133053260	133053270	+	0.000	0.000	Merged-chr1-133053249-27
NR58721--MA1107.1.KLF9	chr7	35729562	35729574	+	0.000	0.000	Merged-chr7-35729754-35
NR59181--MA0599.1.KLF5	chr7	52005847	52005856	+	0.000	0.000	Merged-chr7-52005667-2
NR38334--MA1107.1.KLF9	chr2	147832613	147832625	+	0.000	0.000	Merged-chr2-147832545-2
NR50037--MA0742.1.Klf12	chr5	86783215	86783229	+	0.000	0.000	Merged-chr5-86783243-43
NR43399--MA0740.1.KLF14	chr3	144432216	144432229	+	0.000	0.000	Merged-chr3-144432353-38
NR4194--MA0599.1.KLF5	chr1	185613534	185613543	+	0.000	0.000	Merged-chr1-185613484-1
NR1126--MA0599.1.KLF5	chr1	72870373	72870382	-	0.000	0.000	Merged-chr1-72870469-25
NR5413--MA0741.1.KLF16	chr10	34207261	34207271	-	0.000	0.000	Merged-chr10-34207023-88
NR33796--MA0741.1.KLF16	chr19	46148528	46148538	-	0.000	0.000	Merged-chr19-46148494-21
NR69807--MA0741.1.KLF16	chrX	56346459	56346469	-	0.000	0.000	Merged-chrX-56346415-28
NR57551--MA0740.1.KLF14	chr7	3290414	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR64106--MA0742.1.Klf12	chr8	93810304	93810318	+	0.000	0.000	Merged-chr8-93810346-59
NR57556--MA1107.1.KLF9	chr7	3290415	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR64112--MA0599.1.KLF5	chr8	93810539	93810548	+	0.000	0.000	Merged-chr8-93810346-59
NR48267--MA0493.1.Klf1	chr4	154246634	154246644	-	0.000	0.000	Merged-chr4-154246608-23
NR15498--MA0599.1.KLF5	chr12	108275432	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR40255--MA1107.1.KLF9	chr3	27984084	27984096	-	0.000	0.000	Merged-chr3-27984101-47
NR2182--MA0740.1.KLF14	chr1	133053259	133053272	+	0.000	0.000	Merged-chr1-133053249-27
NR61519--MA0599.1.KLF5	chr7	132317313	132317322	+	0.000	0.000	Merged-chr7-132317352-2
NR57552--MA0657.1.KLF13	chr7	3290411	3290428	-	0.000	0.000	Merged-chr7-3290343-35
NR65322--MA1107.1.KLF9	chr8	125558862	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR53243--MA0599.1.KLF5	chr5	150259744	150259753	+	0.000	0.000	Merged-chr5-150259783-65
NR1806--MA0741.1.KLF16	chr1	111864955	111864965	-	0.000	0.000	Merged-chr1-111864716-124
NR67795--MA0741.1.KLF16	chr9	89909813	89909823	-	0.000	0.000	Merged-chr9-89909785-17
NR38502--MA0599.1.KLF5	chr2	152105578	152105587	-	0.000	0.000	Merged-chr2-152105524-67
NR33791--MA0740.1.KLF14	chr19	46148456	46148469	+	0.000	0.000	Merged-chr19-46148494-21
NR1536--MA0742.1.Klf12	chr1	89070318	89070332	+	0.000	0.000	Merged-chr1-89070221-114
NR12919--MA0599.1.KLF5	chr11	116869769	116869778	-	0.000	0.000	Merged-chr11-116869693-21
NR41074--MA0599.1.KLF5	chr3	81835923	81835932	-	0.000	0.000	Merged-chr3-81835793-30
NR1863--MA0742.1.Klf12	chr1	119504863	119504877	-	0.000	0.000	Merged-chr1-119504796-62
NR61126--MA0599.1.KLF5	chr7	125186708	125186717	-	0.000	0.000	Merged-chr7-125186656-23
NR64105--MA0740.1.KLF14	chr8	93810304	93810317	+	0.000	0.000	Merged-chr8-93810346-59
NR50355--MA0599.1.KLF5	chr5	98167608	98167617	-	0.000	0.000	Merged-chr5-98167553-86
NR62789--MA0599.1.KLF5	chr8	36248437	36248446	+	0.000	0.000	Merged-chr8-36248253-9
NR1534--MA1107.1.KLF9	chr1	89070172	89070184	+	0.000	0.000	Merged-chr1-89070221-114
NR31011--MA0039.3.KLF4	chr18	53904416	53904426	+	0.000	0.000	Merged-chr18-53904421-2
NR31012--MA0741.1.KLF16	chr18	53904415	53904425	+	0.000	0.000	Merged-chr18-53904421-2
NR60823--MA1107.1.KLF9	chr7	116484542	116484554	-	0.000	0.000	Merged-chr7-116484434-42
NR1865--MA0039.3.KLF4	chr1	119504865	119504875	-	0.000	0.000	Merged-chr1-119504796-62
NR30093--MA0599.1.KLF5	chr17	88379559	88379568	-	0.000	0.000	Merged-chr17-88379493-23
NR50127--MA0599.1.KLF5	chr5	89882217	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR2185--MA0039.3.KLF4	chr1	133053261	133053271	+	0.000	0.000	Merged-chr1-133053249-27
NR38341--MA1107.1.KLF9	chr2	147832631	147832643	+	0.000	0.000	Merged-chr2-147832545-2
NR50041--MA1107.1.KLF9	chr5	86783215	86783227	+	0.000	0.000	Merged-chr5-86783243-43
NR40251--MA0742.1.Klf12	chr3	27984082	27984096	-	0.000	0.000	Merged-chr3-27984101-47
NR23897--MA0599.1.KLF5	chr15	89498946	89498955	-	0.000	0.000	Merged-chr15-89498857-24
NR46323--MA0599.1.KLF5	chr4	118406382	118406391	+	0.000	0.000	Merged-chr4-118406334-12
NR38337--MA1107.1.KLF9	chr2	147832623	147832635	+	0.000	0.000	Merged-chr2-147832545-2
NR64189--MA0039.3.KLF4	chr8	95142739	95142749	+	0.000	0.000	Merged-chr8-95142662-41
NR55043--MA1107.1.KLF9	chr6	97006765	97006777	-	0.000	0.000	Merged-chr6-97006820-21
NR1535--MA0740.1.KLF14	chr1	89070318	89070331	+	0.000	0.000	Merged-chr1-89070221-114
NR9036--MA0039.3.KLF4	chr11	4344284	4344294	-	0.000	0.000	Merged-chr11-4344147-20
NR24077--MA0039.3.KLF4	chr15	94255267	94255277	+	0.000	0.000	Merged-chr15-94255177-46
NR40249--MA0740.1.KLF14	chr3	27984083	27984096	-	0.000	0.000	Merged-chr3-27984101-47
