#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR9498--MA0089.1.MAFG::NFE2L1	chr3	133160001	133160006	-	0.000	0.000	Merged-chr3-133159832-24
NR12080--MA0501.1.MAF::NFE2	chr6	108895322	108895336	+	0.000	0.000	Merged-chr6-108895381-27
NR14850--MA0495.2.MAFF	chrX	42336960	42336980	+	0.000	0.000	Merged-chrX-42336875-23
NR7931--MA0501.1.MAF::NFE2	chr2	83700882	83700896	+	0.000	0.000	Merged-chr2-83700891-43
NR6980--MA0501.1.MAF::NFE2	chr18	70520979	70520993	-	0.000	0.000	Merged-chr18-70520943-32
NR11464--MA0591.1.Bach1::Mafk	chr5	149160702	149160716	-	0.000	0.000	Merged-chr5-149160687-30
NR6921--MA0117.2.Mafb	chr18	65062041	65062052	-	0.000	0.000	Merged-chr18-65062031-13
NR13169--MA0496.2.MAFK	chr7	123327113	123327131	-	0.000	0.000	Merged-chr7-123327122-14
NR13009--MA0089.1.MAFG::NFE2L1	chr7	105752211	105752216	-	0.000	0.000	Merged-chr7-105752191-52
NR4737--MA0089.1.MAFG::NFE2L1	chr14	73335627	73335632	+	0.000	0.000	Merged-chr14-73335535-15
NR591--MA0496.2.MAFK	chr1	106187696	106187714	-	0.000	0.000	Merged-chr1-106187715-26
NR5913--MA0591.1.Bach1::Mafk	chr16	76341851	76341865	-	0.000	0.000	Merged-chr16-76341927-28
NR3781--MA0089.1.MAFG::NFE2L1	chr13	49300855	49300860	-	0.000	0.000	Merged-chr13-49300930-11
NR6390--MA0501.1.MAF::NFE2	chr17	50132919	50132933	-	0.000	0.000	Merged-chr17-50132792-1
NR11960--MA0591.1.Bach1::Mafk	chr6	91489112	91489126	+	0.000	0.000	Merged-chr6-91488939-35
NR13184--MA0089.1.MAFG::NFE2L1	chr7	125475655	125475660	-	0.000	0.000	Merged-chr7-125475749-6
NR441--MA0591.1.Bach1::Mafk	chr1	87132004	87132018	-	0.000	0.000	Merged-chr1-87131942-1
NR8784--MA0591.1.Bach1::Mafk	chr3	9500068	9500082	-	0.000	0.000	Merged-chr3-9499976-58
NR11153--MA0117.2.Mafb	chr5	103404676	103404687	+	0.000	0.000	Merged-chr5-103404747-49
NR11311--MA0089.1.MAFG::NFE2L1	chr5	124907153	124907158	-	0.000	0.000	Merged-chr5-124907107-45
NR6248--MA0591.1.Bach1::Mafk	chr17	27658980	27658994	+	0.000	0.000	Merged-chr17-27658898-8
NR10081--MA0117.2.Mafb	chr4	88275632	88275643	-	0.000	0.000	Merged-chr4-88275744-16
NR11713--MA0659.1.MAFG	chr6	52825668	52825688	-	0.000	0.000	Merged-chr6-52825813-18
NR10308--MA0089.1.MAFG::NFE2L1	chr4	120044808	120044813	-	0.000	0.000	Merged-chr4-120044912-16
NR1054--MA0089.1.MAFG::NFE2L1	chr1	177676835	177676840	+	0.000	0.000	Merged-chr1-177676690-44
NR12447--MA0496.2.MAFK	chr6	143132508	143132526	+	0.000	0.000	Merged-chr6-143132490-15
NR3115--MA0117.2.Mafb	chr12	73746294	73746305	+	0.000	0.000	Merged-chr12-73746193-23
NR359--MA0496.2.MAFK	chr1	78422794	78422812	-	0.000	0.000	Merged-chr1-78422740-38
NR12906--MA0117.2.Mafb	chr7	90039538	90039549	-	0.000	0.000	Merged-chr7-90039651-42
NR12077--MA0089.1.MAFG::NFE2L1	chr6	108895321	108895326	+	0.000	0.000	Merged-chr6-108895381-27
NR3341--MA0501.1.MAF::NFE2	chr12	105069094	105069108	-	0.000	0.000	Merged-chr12-105069151-33
NR9113--MA0659.1.MAFG	chr3	84732098	84732118	-	0.000	0.000	Merged-chr3-84732134-27
NR10238--MA0501.1.MAF::NFE2	chr4	109226115	109226129	+	0.000	0.000	Merged-chr4-109226244-12
NR4631--MA0089.1.MAFG::NFE2L1	chr14	58968091	58968096	-	0.000	0.000	Merged-chr14-58968106-10
NR1605--MA0496.2.MAFK	chr10	60162723	60162741	-	0.000	0.000	Merged-chr10-60162645-38
NR10995--MA0117.2.Mafb	chr5	77082925	77082936	-	0.000	0.000	Merged-chr5-77082994-13
NR14943--MA0501.1.MAF::NFE2	chrX	93368360	93368374	-	0.000	0.000	Merged-chrX-93368471-14
NR10299--MA0496.2.MAFK	chr4	118078608	118078626	+	0.000	0.000	Merged-chr4-118078644-25
NR14847--MA0501.1.MAF::NFE2	chrX	37091647	37091661	+	0.000	0.000	Merged-chrX-37091711-13
NR6515--MA0117.2.Mafb	chr17	73087225	73087236	+	0.000	0.000	Merged-chr17-73087309-28
NR4555--MA0591.1.Bach1::Mafk	chr14	46671309	46671323	+	0.000	0.000	Merged-chr14-46671310-13
NR3299--MA0591.1.Bach1::Mafk	chr12	102588575	102588589	+	0.000	0.000	Merged-chr12-102588735-27
NR3902--MA0089.1.MAFG::NFE2L1	chr13	68588579	68588584	+	0.000	0.000	Merged-chr13-68588513-35
NR302--MA0495.2.MAFF	chr1	72449904	72449924	+	0.000	0.000	Merged-chr1-72450027-13
NR11716--MA0496.2.MAFK	chr6	52825669	52825687	-	0.000	0.000	Merged-chr6-52825813-18
NR12497--MA0496.2.MAFK	chr6	145993222	145993240	+	0.000	0.000	Merged-chr6-145993129-56
NR1413--MA0496.2.MAFK	chr10	25140547	25140565	-	0.000	0.000	Merged-chr10-25140477-16
NR10310--MA0501.1.MAF::NFE2	chr4	120044798	120044812	-	0.000	0.000	Merged-chr4-120044912-16
NR6378--MA0501.1.MAF::NFE2	chr17	48404016	48404030	-	0.000	0.000	Merged-chr17-48404057-9
NR10557--MA0117.2.Mafb	chr4	150583617	150583628	+	0.000	0.000	Merged-chr4-150583490-1
NR5578--MA0591.1.Bach1::Mafk	chr16	23374926	23374940	+	0.000	0.000	Merged-chr16-23375120-32
NR304--MA0117.2.Mafb	chr1	72449904	72449915	+	0.000	0.000	Merged-chr1-72450027-13
NR1399--MA0501.1.MAF::NFE2	chr10	21946999	21947013	+	0.000	0.000	Merged-chr10-21947042-21
NR1754--MA0089.1.MAFG::NFE2L1	chr10	82631144	82631149	-	0.000	0.000	Merged-chr10-82631329-16
NR14986--MA0501.1.MAF::NFE2	chrX	114474092	114474106	+	0.000	0.000	Merged-chrX-114474330-36
NR6121--MA0089.1.MAFG::NFE2L1	chr17	5160426	5160431	-	0.000	0.000	Merged-chr17-5160538-7
NR13914--MA0496.2.MAFK	chr8	111624158	111624176	+	0.000	0.000	Merged-chr8-111624206-14
NR2985--MA0089.1.MAFG::NFE2L1	chr12	39920748	39920753	-	0.000	0.000	Merged-chr12-39920734-11
NR534--MA0591.1.Bach1::Mafk	chr1	97764139	97764153	-	0.000	0.000	Merged-chr1-97764346-16
NR7930--MA0089.1.MAFG::NFE2L1	chr2	83700881	83700886	+	0.000	0.000	Merged-chr2-83700891-43
NR10300--MA0089.1.MAFG::NFE2L1	chr4	118078854	118078859	+	0.000	0.000	Merged-chr4-118078644-25
NR391--MA0089.1.MAFG::NFE2L1	chr1	82973418	82973423	+	0.000	0.000	Merged-chr1-82973536-4
NR9904--MA0496.2.MAFK	chr4	47272967	47272985	-	0.000	0.000	Merged-chr4-47272801-22
NR580--MA0495.2.MAFF	chr1	106187586	106187606	+	0.000	0.000	Merged-chr1-106187715-26
NR3835--MA0496.2.MAFK	chr13	58206783	58206801	+	0.000	0.000	Merged-chr13-58206802-1
NR12440--MA0495.2.MAFF	chr6	143132507	143132527	+	0.000	0.000	Merged-chr6-143132490-15
NR5405--MA0089.1.MAFG::NFE2L1	chr15	93581934	93581939	-	0.000	0.000	Merged-chr15-93581886-25
NR7777--MA0501.1.MAF::NFE2	chr2	59617052	59617066	+	0.000	0.000	Merged-chr2-59617159-6
NR5771--MA0501.1.MAF::NFE2	chr16	50737733	50737747	+	0.000	0.000	Merged-chr16-50737708-13
NR967--MA0501.1.MAF::NFE2	chr1	165075766	165075780	+	0.000	0.000	Merged-chr1-165075837-38
NR2570--MA0501.1.MAF::NFE2	chr11	80505199	80505213	-	0.000	0.000	Merged-chr11-80505144-23
NR7666--MA0501.1.MAF::NFE2	chr2	44953125	44953139	+	0.000	0.000	Merged-chr2-44953031-31
NR952--MA0501.1.MAF::NFE2	chr1	164395262	164395276	-	0.000	0.000	Merged-chr1-164395295-18
NR3211--MA0659.1.MAFG	chr12	91604327	91604347	-	0.000	0.000	Merged-chr12-91604478-1
NR12271--MA0089.1.MAFG::NFE2L1	chr6	127767654	127767659	+	0.000	0.000	Merged-chr6-127767567-1
NR12516--MA0496.2.MAFK	chr6	146960324	146960342	+	0.000	0.000	Merged-chr6-146960171-26
NR12442--MA0117.2.Mafb	chr6	143132516	143132527	-	0.000	0.000	Merged-chr6-143132490-15
NR8629--MA0117.2.Mafb	chr2	168742462	168742473	-	0.000	0.000	Merged-chr2-168742095-110
NR1394--MA0659.1.MAFG	chr10	21659609	21659629	-	0.000	0.000	Merged-chr10-21659696-16
NR13913--MA0501.1.MAF::NFE2	chr8	111624157	111624171	-	0.000	0.000	Merged-chr8-111624206-14
NR10779--MA0501.1.MAF::NFE2	chr5	34430987	34431001	+	0.000	0.000	Merged-chr5-34430803-28
NR5819--MA0495.2.MAFF	chr16	57422225	57422245	-	0.000	0.000	Merged-chr16-57422160-30
NR5246--MA0501.1.MAF::NFE2	chr15	62726723	62726737	-	0.000	0.000	Merged-chr15-62726785-12
NR13869--MA0501.1.MAF::NFE2	chr8	107164532	107164546	-	0.000	0.000	Merged-chr8-107164486-19
NR1487--MA0089.1.MAFG::NFE2L1	chr10	41572406	41572411	-	0.000	0.000	Merged-chr10-41572400-16
NR14197--MA0659.1.MAFG	chr9	34996151	34996171	-	0.000	0.000	Merged-chr9-34996088-18
NR4004--MA0591.1.Bach1::Mafk	chr13	89889247	89889261	+	0.000	0.000	Merged-chr13-89889254-28
NR7667--MA0496.2.MAFK	chr2	44953120	44953138	-	0.000	0.000	Merged-chr2-44953031-31
NR13512--MA0089.1.MAFG::NFE2L1	chr8	41334269	41334274	+	0.000	0.000	Merged-chr8-41334366-24
NR4036--MA0501.1.MAF::NFE2	chr13	93939720	93939734	-	0.000	0.000	Merged-chr13-93939742-17
NR2400--MA0089.1.MAFG::NFE2L1	chr11	53617387	53617392	-	0.000	0.000	Merged-chr11-53617453-3
NR12627--MA0591.1.Bach1::Mafk	chr7	27508829	27508843	-	0.000	0.000	Merged-chr7-27508743-1
NR10970--MA0117.2.Mafb	chr5	72159920	72159931	-	0.000	0.000	Merged-chr5-72159731-18
NR8889--MA0117.2.Mafb	chr3	37738388	37738399	+	0.000	0.000	Merged-chr3-37738517-40
NR3746--MA0089.1.MAFG::NFE2L1	chr13	44819508	44819513	-	0.000	0.000	Merged-chr13-44819494-25
NR839--MA0591.1.Bach1::Mafk	chr1	152831295	152831309	-	0.000	0.000	Merged-chr1-152831430-11
NR259--MA0495.2.MAFF	chr1	60902847	60902867	-	0.000	0.000	Merged-chr1-60902675-29
NR10939--MA0117.2.Mafb	chr5	65898037	65898048	+	0.000	0.000	Merged-chr5-65898025-23
NR4655--MA0117.2.Mafb	chr14	62879728	62879739	-	0.000	0.000	Merged-chr14-62879632-33
NR13168--MA0501.1.MAF::NFE2	chr7	123327118	123327132	+	0.000	0.000	Merged-chr7-123327122-14
NR1963--MA0117.2.Mafb	chr10	111719771	111719782	+	0.000	0.000	Merged-chr10-111719810-23
NR12218--MA0089.1.MAFG::NFE2L1	chr6	122334303	122334308	+	0.000	0.000	Merged-chr6-122334221-7
NR6645--MA0089.1.MAFG::NFE2L1	chr18	5694538	5694543	+	0.000	0.000	Merged-chr18-5694694-26
NR9862--MA0591.1.Bach1::Mafk	chr4	41295743	41295757	+	0.000	0.000	Merged-chr4-41295781-15
NR14278--MA0089.1.MAFG::NFE2L1	chr9	46025402	46025407	-	0.000	0.000	Merged-chr9-46025474-7
NR4586--MA0089.1.MAFG::NFE2L1	chr14	50784432	50784437	-	0.000	0.000	Merged-chr14-50784606-4
NR5914--MA0501.1.MAF::NFE2	chr16	76341848	76341862	-	0.000	0.000	Merged-chr16-76341927-28
NR14365--MA0089.1.MAFG::NFE2L1	chr9	65084607	65084612	-	0.000	0.000	Merged-chr9-65084631-10
NR305--MA0591.1.Bach1::Mafk	chr1	72449907	72449921	+	0.000	0.000	Merged-chr1-72450027-13
NR1397--MA0496.2.MAFK	chr10	21659610	21659628	-	0.000	0.000	Merged-chr10-21659696-16
NR12797--MA0089.1.MAFG::NFE2L1	chr7	68250585	68250590	-	0.000	0.000	Merged-chr7-68250535-42
NR8040--MA0501.1.MAF::NFE2	chr2	102733285	102733299	+	0.000	0.000	Merged-chr2-102733347-57
NR2800--MA0089.1.MAFG::NFE2L1	chr11	117092973	117092978	+	0.000	0.000	Merged-chr11-117092893-43
NR11262--MA0089.1.MAFG::NFE2L1	chr5	115474452	115474457	-	0.000	0.000	Merged-chr5-115474524-35
NR6842--MA0496.2.MAFK	chr18	54822971	54822989	+	0.000	0.000	Merged-chr18-54822886-30
NR14611--MA0501.1.MAF::NFE2	chr9	104258160	104258174	-	0.000	0.000	Merged-chr9-104258018-4
NR2259--MA0496.2.MAFK	chr11	23570307	23570325	-	0.000	0.000	Merged-chr11-23570355-13
NR13232--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
NR4007--MA0659.1.MAFG	chr13	90101751	90101771	+	0.000	0.000	Merged-chr13-90101603-11
NR13196--MA0501.1.MAF::NFE2	chr7	127177139	127177153	-	0.000	0.000	Merged-chr7-127177205-14
NR13908--MA0495.2.MAFF	chr8	111624157	111624177	-	0.000	0.000	Merged-chr8-111624206-14
NR938--MA0089.1.MAFG::NFE2L1	chr1	162557486	162557491	-	0.000	0.000	Merged-chr1-162557712-25
NR9555--MA0089.1.MAFG::NFE2L1	chr3	138992833	138992838	+	0.000	0.000	Merged-chr3-138992913-17
NR7928--MA0496.2.MAFK	chr2	83700796	83700814	+	0.000	0.000	Merged-chr2-83700891-43
NR12959--MA0659.1.MAFG	chr7	98995279	98995299	+	0.000	0.000	Merged-chr7-98995432-21
NR4991--MA0501.1.MAF::NFE2	chr14	121710267	121710281	+	0.000	0.000	Merged-chr14-121710333-21
NR9114--MA0496.2.MAFK	chr3	84732099	84732117	+	0.000	0.000	Merged-chr3-84732134-27
NR1958--MA0591.1.Bach1::Mafk	chr10	111562752	111562766	-	0.000	0.000	Merged-chr10-111562842-26
NR12626--MA0495.2.MAFF	chr7	27508826	27508846	+	0.000	0.000	Merged-chr7-27508743-1
NR11332--MA0659.1.MAFG	chr5	132218577	132218597	+	0.000	0.000	Merged-chr5-132218633-11
NR12961--MA0496.2.MAFK	chr7	98995280	98995298	-	0.000	0.000	Merged-chr7-98995432-21
NR7606--MA0496.2.MAFK	chr2	32181555	32181573	+	0.000	0.000	Merged-chr2-32181600-13
NR13716--MA0495.2.MAFF	chr8	83131932	83131952	+	0.000	0.000	Merged-chr8-83131891-13
NR1881--MA0089.1.MAFG::NFE2L1	chr10	95914631	95914636	-	0.000	0.000	Merged-chr10-95914776-60
NR6377--MA0591.1.Bach1::Mafk	chr17	48404019	48404033	-	0.000	0.000	Merged-chr17-48404057-9
NR2759--MA0117.2.Mafb	chr11	109785552	109785563	-	0.000	0.000	Merged-chr11-109785498-8
NR4740--MA0495.2.MAFF	chr14	73472443	73472463	+	0.000	0.000	Merged-chr14-73472602-8
NR9148--MA0117.2.Mafb	chr3	89876585	89876596	-	0.000	0.000	Merged-chr3-89876737-10
NR13222--MA0501.1.MAF::NFE2	chr7	129764597	129764611	-	0.000	0.000	Merged-chr7-129764736-16
NR10353--MA0089.1.MAFG::NFE2L1	chr4	126090367	126090372	-	0.000	0.000	Merged-chr4-126090420-25
NR6865--MA0089.1.MAFG::NFE2L1	chr18	57970375	57970380	-	0.000	0.000	Merged-chr18-57970531-36
NR5445--MA0089.1.MAFG::NFE2L1	chr15	100189188	100189193	+	0.000	0.000	Merged-chr15-100189073-42
NR14851--MA0495.2.MAFF	chrX	42336960	42336980	-	0.000	0.000	Merged-chrX-42336875-23
NR357--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR5190--MA0495.2.MAFF	chr15	55327531	55327551	-	0.000	0.000	Merged-chr15-55327422-12
NR8853--MA0501.1.MAF::NFE2	chr3	28317954	28317968	-	0.000	0.000	Merged-chr3-28318064-9
NR2544--MA0089.1.MAFG::NFE2L1	chr11	76677238	76677243	-	0.000	0.000	Merged-chr11-76677169-5
NR9751--MA0089.1.MAFG::NFE2L1	chr4	3660133	3660138	-	0.000	0.000	Merged-chr4-3660095-25
NR11725--MA0591.1.Bach1::Mafk	chr6	53704642	53704656	+	0.000	0.000	Merged-chr6-53704558-10
NR10553--MA0089.1.MAFG::NFE2L1	chr4	149854336	149854341	-	0.000	0.000	Merged-chr4-149854542-67
NR13167--MA0591.1.Bach1::Mafk	chr7	123327115	123327129	+	0.000	0.000	Merged-chr7-123327122-14
NR8633--MA0089.1.MAFG::NFE2L1	chr2	169398676	169398681	-	0.000	0.000	Merged-chr2-169398588-9
NR2252--MA0495.2.MAFF	chr11	23570306	23570326	+	0.000	0.000	Merged-chr11-23570355-13
NR3833--MA0591.1.Bach1::Mafk	chr13	58206785	58206799	-	0.000	0.000	Merged-chr13-58206802-1
NR10962--MA0495.2.MAFF	chr5	68033468	68033488	+	0.000	0.000	Merged-chr5-68033501-23
NR7101--MA0496.2.MAFK	chr18	82868219	82868237	+	0.000	0.000	Merged-chr18-82868234-58
NR4870--MA0496.2.MAFK	chr14	101470025	101470043	+	0.000	0.000	Merged-chr14-101470106-24
NR10297--MA0659.1.MAFG	chr4	118078607	118078627	+	0.000	0.000	Merged-chr4-118078644-25
NR7792--MA0089.1.MAFG::NFE2L1	chr2	61563435	61563440	+	0.000	0.000	Merged-chr2-61563608-27
NR3208--MA0495.2.MAFF	chr12	91604327	91604347	+	0.000	0.000	Merged-chr12-91604478-1
NR13667--MA0089.1.MAFG::NFE2L1	chr8	77435129	77435134	+	0.000	0.000	Merged-chr8-77435130-10
NR5770--MA0659.1.MAFG	chr16	50737727	50737747	-	0.000	0.000	Merged-chr16-50737708-13
NR7310--MA0501.1.MAF::NFE2	chr19	34505418	34505432	-	0.000	0.000	Merged-chr19-34505331-35
NR951--MA0495.2.MAFF	chr1	164395262	164395282	+	0.000	0.000	Merged-chr1-164395295-18
NR14319--MA0089.1.MAFG::NFE2L1	chr9	56128376	56128381	+	0.000	0.000	Merged-chr9-56128365-14
NR4136--MA0089.1.MAFG::NFE2L1	chr13	106957535	106957540	-	0.000	0.000	Merged-chr13-106957693-14
NR5769--MA0591.1.Bach1::Mafk	chr16	50737730	50737744	+	0.000	0.000	Merged-chr16-50737708-13
NR9899--MA0501.1.MAF::NFE2	chr4	46560566	46560580	+	0.000	0.000	Merged-chr4-46560470-31
NR11589--MA0501.1.MAF::NFE2	chr6	24894762	24894776	+	0.000	0.000	Merged-chr6-24894743-37
NR8785--MA0501.1.MAF::NFE2	chr3	9500065	9500079	-	0.000	0.000	Merged-chr3-9499976-58
NR2751--MA0501.1.MAF::NFE2	chr11	109410576	109410590	+	0.000	0.000	Merged-chr11-109410653-15
NR9721--MA0501.1.MAF::NFE2	chr3	157884228	157884242	-	0.000	0.000	Merged-chr3-157884103-23
NR4034--MA0089.1.MAFG::NFE2L1	chr13	93593449	93593454	+	0.000	0.000	Merged-chr13-93593412-57
NR12448--MA0496.2.MAFK	chr6	143132508	143132526	-	0.000	0.000	Merged-chr6-143132490-15
NR9324--MA0117.2.Mafb	chr3	109740671	109740682	+	0.000	0.000	Merged-chr3-109740806-11
NR2215--MA0591.1.Bach1::Mafk	chr11	19926267	19926281	+	0.000	0.000	Merged-chr11-19926174-9
NR14198--MA0496.2.MAFK	chr9	34996152	34996170	+	0.000	0.000	Merged-chr9-34996088-18
NR10777--MA0089.1.MAFG::NFE2L1	chr5	34407433	34407438	-	0.000	0.000	Merged-chr5-34407606-18
NR8304--MA0501.1.MAF::NFE2	chr2	131191215	131191229	-	0.000	0.000	Merged-chr2-131191019-12
NR10997--MA0501.1.MAF::NFE2	chr5	77082922	77082936	+	0.000	0.000	Merged-chr5-77082994-13
NR9108--MA0495.2.MAFF	chr3	84732098	84732118	+	0.000	0.000	Merged-chr3-84732134-27
NR7235--MA0591.1.Bach1::Mafk	chr19	20239520	20239534	-	0.000	0.000	Merged-chr19-20239652-7
NR11726--MA0501.1.MAF::NFE2	chr6	53704645	53704659	+	0.000	0.000	Merged-chr6-53704558-10
NR14195--MA0591.1.Bach1::Mafk	chr9	34996154	34996168	-	0.000	0.000	Merged-chr9-34996088-18
NR2866--MA0089.1.MAFG::NFE2L1	chr12	8817902	8817907	-	0.000	0.000	Merged-chr12-8817903-12
NR303--MA0495.2.MAFF	chr1	72449904	72449924	-	0.000	0.000	Merged-chr1-72450027-13
NR14474--MA0591.1.Bach1::Mafk	chr9	83564333	83564347	+	0.000	0.000	Merged-chr9-83564254-44
NR1393--MA0591.1.Bach1::Mafk	chr10	21659612	21659626	+	0.000	0.000	Merged-chr10-21659696-16
NR14468--MA0495.2.MAFF	chr9	83564270	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR9448--MA0496.2.MAFK	chr3	126570831	126570849	+	0.000	0.000	Merged-chr3-126570904-20
NR7258--MA0591.1.Bach1::Mafk	chr19	21810324	21810338	-	0.000	0.000	Merged-chr19-21810338-13
NR9900--MA0496.2.MAFK	chr4	46560561	46560579	+	0.000	0.000	Merged-chr4-46560470-31
NR9836--MA0591.1.Bach1::Mafk	chr4	32363656	32363670	+	0.000	0.000	Merged-chr4-32363760-31
NR13915--MA0496.2.MAFK	chr8	111624158	111624176	-	0.000	0.000	Merged-chr8-111624206-14
NR13065--MA0495.2.MAFF	chr7	112213250	112213270	+	0.000	0.000	Merged-chr7-112213302-61
NR6839--MA0591.1.Bach1::Mafk	chr18	54822973	54822987	+	0.000	0.000	Merged-chr18-54822886-30
NR12705--MA0501.1.MAF::NFE2	chr7	49802848	49802862	-	0.000	0.000	Merged-chr7-49802865-9
NR581--MA0495.2.MAFF	chr1	106187586	106187606	-	0.000	0.000	Merged-chr1-106187715-26
NR3836--MA0496.2.MAFK	chr13	58206783	58206801	-	0.000	0.000	Merged-chr13-58206802-1
NR312--MA0496.2.MAFK	chr1	72449905	72449923	+	0.000	0.000	Merged-chr1-72450027-13
NR3749--MA0659.1.MAFG	chr13	44819586	44819606	+	0.000	0.000	Merged-chr13-44819494-25
NR12441--MA0495.2.MAFF	chr6	143132507	143132527	-	0.000	0.000	Merged-chr6-143132490-15
NR10996--MA0591.1.Bach1::Mafk	chr5	77082919	77082933	+	0.000	0.000	Merged-chr5-77082994-13
NR1744--MA0089.1.MAFG::NFE2L1	chr10	81249846	81249851	+	0.000	0.000	Merged-chr10-81249714-12
NR3751--MA0496.2.MAFK	chr13	44819587	44819605	+	0.000	0.000	Merged-chr13-44819494-25
NR12439--MA0501.1.MAF::NFE2	chr6	143105830	143105844	+	0.000	0.000	Merged-chr6-143106016-7
NR12783--MA0117.2.Mafb	chr7	64158958	64158969	+	0.000	0.000	Merged-chr7-64158985-48
NR586--MA0495.2.MAFF	chr1	106187695	106187715	+	0.000	0.000	Merged-chr1-106187715-26
NR11738--MA0089.1.MAFG::NFE2L1	chr6	54216696	54216701	+	0.000	0.000	Merged-chr6-54216714-19
NR261--MA0659.1.MAFG	chr1	60902847	60902867	-	0.000	0.000	Merged-chr1-60902675-29
NR588--MA0659.1.MAFG	chr1	106187695	106187715	+	0.000	0.000	Merged-chr1-106187715-26
NR12517--MA0496.2.MAFK	chr6	146960324	146960342	-	0.000	0.000	Merged-chr6-146960171-26
NR12841--MA0089.1.MAFG::NFE2L1	chr7	79190874	79190879	-	0.000	0.000	Merged-chr7-79190820-25
NR10707--MA0089.1.MAFG::NFE2L1	chr5	20083230	20083235	+	0.000	0.000	Merged-chr5-20083207-6
NR12629--MA0496.2.MAFK	chr7	27508827	27508845	+	0.000	0.000	Merged-chr7-27508743-1
NR8894--MA0117.2.Mafb	chr3	41062071	41062082	+	0.000	0.000	Merged-chr3-41062130-17
NR7933--MA0089.1.MAFG::NFE2L1	chr2	83762333	83762338	-	0.000	0.000	Merged-chr2-83762342-13
NR13719--MA0496.2.MAFK	chr8	83131933	83131951	+	0.000	0.000	Merged-chr8-83131891-13
NR11913--MA0117.2.Mafb	chr6	83412896	83412907	+	0.000	0.000	Merged-chr6-83413092-38
NR3034--MA0089.1.MAFG::NFE2L1	chr12	54353155	54353160	-	0.000	0.000	Merged-chr12-54353201-29
NR13910--MA0591.1.Bach1::Mafk	chr8	111624160	111624174	-	0.000	0.000	Merged-chr8-111624206-14
NR442--MA0501.1.MAF::NFE2	chr1	87132001	87132015	-	0.000	0.000	Merged-chr1-87131942-1
NR11710--MA0495.2.MAFF	chr6	52825668	52825688	-	0.000	0.000	Merged-chr6-52825813-18
NR3490--MA0659.1.MAFG	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR13417--MA0591.1.Bach1::Mafk	chr8	14968203	14968217	-	0.000	0.000	Merged-chr8-14968096-34
NR5104--MA0089.1.MAFG::NFE2L1	chr15	36231828	36231833	+	0.000	0.000	Merged-chr15-36231997-8
NR12270--MA0591.1.Bach1::Mafk	chr6	127723307	127723321	-	0.000	0.000	Merged-chr6-127723234-26
NR12865--MA0089.1.MAFG::NFE2L1	chr7	80828641	80828646	-	0.000	0.000	Merged-chr7-80828687-47
NR8696--MA0495.2.MAFF	chr2	174566021	174566041	+	0.000	0.000	Merged-chr2-174566072-46
NR11192--MA0501.1.MAF::NFE2	chr5	105798641	105798655	-	0.000	0.000	Merged-chr5-105798670-49
NR7302--MA0501.1.MAF::NFE2	chr19	32523872	32523886	-	0.000	0.000	Merged-chr19-32523975-16
NR6120--MA0089.1.MAFG::NFE2L1	chr17	5138740	5138745	-	0.000	0.000	Merged-chr17-5138884-51
NR4748--MA0496.2.MAFK	chr14	73472444	73472462	+	0.000	0.000	Merged-chr14-73472602-8
NR692--MA0501.1.MAF::NFE2	chr1	128772711	128772725	-	0.000	0.000	Merged-chr1-128772538-19
NR7467--MA0496.2.MAFK	chr2	6379052	6379070	+	0.000	0.000	Merged-chr2-6378947-26
NR4742--MA0591.1.Bach1::Mafk	chr14	73472446	73472460	+	0.000	0.000	Merged-chr14-73472602-8
NR13718--MA0501.1.MAF::NFE2	chr8	83131938	83131952	+	0.000	0.000	Merged-chr8-83131891-13
NR6843--MA0496.2.MAFK	chr18	54822971	54822989	-	0.000	0.000	Merged-chr18-54822886-30
NR13817--MA0089.1.MAFG::NFE2L1	chr8	95672944	95672949	-	0.000	0.000	Merged-chr8-95673039-19
NR4678--MA0089.1.MAFG::NFE2L1	chr14	67674648	67674653	+	0.000	0.000	Merged-chr14-67674822-11
NR7977--MA0591.1.Bach1::Mafk	chr2	90528312	90528326	-	0.000	0.000	Merged-chr2-90528384-23
NR792--MA0089.1.MAFG::NFE2L1	chr1	143340429	143340434	-	0.000	0.000	Merged-chr1-143340474-1
NR9447--MA0501.1.MAF::NFE2	chr3	126570836	126570850	+	0.000	0.000	Merged-chr3-126570904-20
NR1408--MA0495.2.MAFF	chr10	25140546	25140566	+	0.000	0.000	Merged-chr10-25140477-16
