#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR10178--MA0117.2.Mafb	chr6	70714417	70714428	-	0.000	0.000	Merged-chr6-70714490-34
NR10483--MA0501.1.MAF::NFE2	chr6	125541046	125541060	-	0.000	0.000	Merged-chr6-125540912-17
NR10233--MA0089.1.MAFG::NFE2L1	chr6	86148813	86148818	+	0.000	0.000	Merged-chr6-86148822-10
NR9733--MA0089.1.MAFG::NFE2L1	chr5	124233201	124233206	-	0.000	0.000	Merged-chr5-124233258-22
NR10313--MA0659.1.MAFG	chr6	99420832	99420852	+	0.000	0.000	Merged-chr6-99420809-31
NR3354--MA0591.1.Bach1::Mafk	chr13	41346002	41346016	-	0.000	0.000	Merged-chr13-41345949-16
NR4295--MA0089.1.MAFG::NFE2L1	chr14	120572338	120572343	-	0.000	0.000	Merged-chr14-120572441-59
NR5827--MA0089.1.MAFG::NFE2L1	chr18	39835788	39835793	+	0.000	0.000	Merged-chr18-39835954-30
NR9691--MA0496.2.MAFK	chr5	118620496	118620514	-	0.000	0.000	Merged-chr5-118620530-42
NR6623--MA0496.2.MAFK	chr2	35445609	35445627	+	0.000	0.000	Merged-chr2-35445506-29
NR1419--MA0089.1.MAFG::NFE2L1	chr10	75146211	75146216	-	0.000	0.000	Merged-chr10-75146347-53
NR6221--MA0495.2.MAFF	chr19	24527174	24527194	+	0.000	0.000	Merged-chr19-24527365-48
NR2508--MA0117.2.Mafb	chr11	116259471	116259482	-	0.000	0.000	Merged-chr11-116259590-14
NR4014--MA0089.1.MAFG::NFE2L1	chr14	52553598	52553603	+	0.000	0.000	Merged-chr14-52553618-9
