#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed MACS2_DKO_Tfh_peaks.Il21.sig.bed MACS2_DKO_Th1_peaks.Il21.sig.bed MACS2_Naive_peaks.Il21.sig.bed MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed MACS2_WT_Tfh_peaks.Il21.sig.bed MACS2_WT_Th1_peaks.Il21.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed	MACS2_DKO_Tfh_peaks.Il21.sig.bed	MACS2_DKO_Th1_peaks.Il21.sig.bed	MACS2_Naive_peaks.Il21.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed	MACS2_WT_Tfh_peaks.Il21.sig.bed	MACS2_WT_Th1_peaks.Il21.sig.bed
Merged-chr3-37183492-4	chr3	37183328	37183639	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed	4		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153196	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127375		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212501	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160496	
Merged-chr3-37283795-9	chr3	37283556	37284020	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_Naive_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184558a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184558b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153215		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223284	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212521	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160514a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160514b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156623a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156623b
Merged-chr3-37283245-3	chr3	37283170	37283320	+	0.000000	MACS2_DKO_Th1_peaks.Il21.sig.bed	3			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127392a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127392b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127392c				
Merged-chr3-37194893-1	chr3	37194818	37194968	+	0.000000	MACS2_Naive_peaks.Il21.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223275			
Merged-chr3-37201535-1	chr3	37201460	37201610	+	0.000000	MACS2_Naive_peaks.Il21.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223276			
Merged-chr3-37274560-3	chr3	37274469	37274668	+	0.000000	MACS2_Naive_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed	3				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223282	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212517a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212517b		
Merged-chr3-37273092-2	chr3	37273017	37273167	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184553a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184553b						
Merged-chr3-37291912-2	chr3	37291837	37291987	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184560a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184560b						
Merged-chr3-37282238-1	chr3	37282163	37282313	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184556						
Merged-chr3-37282830-1	chr3	37282755	37282905	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184557						
