#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR1528--MA0690.1.TBX21	chr5	24776979	24776988	-	0.000	0.000	Merged-chr5-24777004-40
NR224--MA0690.1.TBX21	chr10	41957431	41957440	+	0.000	0.000	Merged-chr10-41957566-13
NR1095--MA0690.1.TBX21	chr2	29753035	29753044	-	0.000	0.000	Merged-chr2-29753036-13
NR1889--MA0690.1.TBX21	chr7	125511522	125511531	+	0.000	0.000	Merged-chr7-125511628-40
NR442--MA0690.1.TBX21	chr12	21472715	21472724	+	0.000	0.000	Merged-chr12-21472738-21
NR1236--MA0690.1.TBX21	chr2	160657931	160657940	+	0.000	0.000	Merged-chr2-160657923-30
NR978--MA0690.1.TBX21	chr18	64476908	64476917	+	0.000	0.000	Merged-chr18-64476957-10
NR1106--MA0690.1.TBX21	chr2	35382295	35382304	+	0.000	0.000	Merged-chr2-35382187-12
NR705--MA0690.1.TBX21	chr14	121944479	121944488	+	0.000	0.000	Merged-chr14-121944338-6
NR814--MA0690.1.TBX21	chr16	22794671	22794680	-	0.000	0.000	Merged-chr16-22794765-7
NR176--MA0690.1.TBX21	chr1	192492872	192492881	+	0.000	0.000	Merged-chr1-192493045-1
NR447--MA0690.1.TBX21	chr12	32201920	32201929	-	0.000	0.000	Merged-chr12-32202051-6
NR490--MA0690.1.TBX21	chr12	106008852	106008861	+	0.000	0.000	Merged-chr12-106008779-30
NR413--MA0690.1.TBX21	chr11	113009614	113009623	-	0.000	0.000	Merged-chr11-113009621-13
NR1079--MA0690.1.TBX21	chr2	9801707	9801716	+	0.000	0.000	Merged-chr2-9801686-39
NR360--MA0690.1.TBX21	chr11	72342371	72342380	+	0.000	0.000	Merged-chr11-72342522-29
NR1297--MA0690.1.TBX21	chr3	84093081	84093090	-	0.000	0.000	Merged-chr3-84093112-19
NR373--MA0690.1.TBX21	chr11	83746350	83746359	-	0.000	0.000	Merged-chr11-83746367-9
NR1058--MA0690.1.TBX21	chr19	53760526	53760535	+	0.000	0.000	Merged-chr19-53760542-10
NR2102--MA0690.1.TBX21	chr9	111143645	111143654	+	0.000	0.000	Merged-chr9-111143629-7
NR352--MA0690.1.TBX21	chr11	67522865	67522874	+	0.000	0.000	Merged-chr11-67522836-19
NR623--MA0690.1.TBX21	chr13	112396792	112396801	+	0.000	0.000	Merged-chr13-112396740-45
NR147--MA0690.1.TBX21	chr1	180810598	180810607	+	0.000	0.000	Merged-chr1-180810648-13
NR1289--MA0690.1.TBX21	chr3	60111326	60111335	-	0.000	0.000	Merged-chr3-60111409-19
NR779--MA0690.1.TBX21	chr15	81819865	81819874	-	0.000	0.000	Merged-chr15-81819861-26
NR1970--MA0690.1.TBX21	chr8	84877081	84877090	+	0.000	0.000	Merged-chr8-84876953-6
NR474--MA0690.1.TBX21	chr12	82268146	82268155	-	0.000	0.000	Merged-chr12-82268056-22
NR126--MA0690.1.TBX21	chr1	167277191	167277200	+	0.000	0.000	Merged-chr1-167277158-16
NR378--MA0690.1.TBX21	chr11	89145572	89145581	+	0.000	0.000	Merged-chr11-89145462-12
NR1983--MA0690.1.TBX21	chr8	107015601	107015610	+	0.000	0.000	Merged-chr8-107015558-12
NR506--MA0690.1.TBX21	chr13	5286470	5286479	+	0.000	0.000	Merged-chr13-5286449-11
NR248--MA0690.1.TBX21	chr10	77609813	77609822	+	0.000	0.000	Merged-chr10-77609801-14
NR519--MA0690.1.TBX21	chr13	22714295	22714304	-	0.000	0.000	Merged-chr13-22714452-30
NR291--MA0690.1.TBX21	chr10	119083643	119083652	+	0.000	0.000	Merged-chr10-119083697-27
NR1691--MA0690.1.TBX21	chr6	54807554	54807563	+	0.000	0.000	Merged-chr6-54807598-18
NR1954--MA0690.1.TBX21	chr8	68218580	68218589	+	0.000	0.000	Merged-chr8-68218689-19
NR1540--MA0690.1.TBX21	chr5	43853595	43853604	-	0.000	0.000	Merged-chr5-43853544-13
NR1824--MA0690.1.TBX21	chr7	66160265	66160274	-	0.000	0.000	Merged-chr7-66160187-16
NR437--MA0690.1.TBX21	chr12	16558322	16558331	-	0.000	0.000	Merged-chr12-16558216-24
NR1946--MA0690.1.TBX21	chr8	48425274	48425283	+	0.000	0.000	Merged-chr8-48425330-34
NR2081--MA0690.1.TBX21	chr9	96795474	96795483	-	0.000	0.000	Merged-chr9-96795589-33
NR288--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR1402--MA0690.1.TBX21	chr4	11684333	11684342	-	0.000	0.000	Merged-chr4-11684265-15
NR2113--MA0690.1.TBX21	chr9	117925007	117925016	-	0.000	0.000	Merged-chr9-117925055-43
