#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR11300--MA0002.2.RUNX1	chr9	120116423	120116433	-	0.000	0.000	Merged-chr9-120116499-4
NR8658--MA0684.1.RUNX3	chr5	144308222	144308231	-	0.000	0.000	Merged-chr5-144308281-9
NR9911--MA0511.2.RUNX2	chr7	117559222	117559230	-	0.000	0.000	Merged-chr7-117559166-31
NR3773--MA0002.2.RUNX1	chr14	123163086	123163096	-	0.000	0.000	Merged-chr14-123163033-38
NR10570--MA0002.2.RUNX1	chr8	121650749	121650759	-	0.000	0.000	Merged-chr8-121650674-17
NR8638--MA0002.2.RUNX1	chr5	143038778	143038788	+	0.000	0.000	Merged-chr5-143038769-30
NR9793--MA0002.2.RUNX1	chr7	101027879	101027889	+	0.000	0.000	Merged-chr7-101027827-19
NR2456--MA0002.2.RUNX1	chr12	80069269	80069279	+	0.000	0.000	Merged-chr12-80069261-23
NR5291--MA0002.2.RUNX1	chr18	34827856	34827866	+	0.000	0.000	Merged-chr18-34827772-23
NR2412--MA0511.2.RUNX2	chr12	70280743	70280751	+	0.000	0.000	Merged-chr12-70280726-6
NR9650--MA0002.2.RUNX1	chr7	67500544	67500554	+	0.000	0.000	Merged-chr7-67500556-27
NR2979--MA0002.2.RUNX1	chr13	46780001	46780011	+	0.000	0.000	Merged-chr13-46780080-38
NR4122--MA0684.1.RUNX3	chr15	91643903	91643912	-	0.000	0.000	Merged-chr15-91644070-43
NR10602--MA0002.2.RUNX1	chr8	124509391	124509401	+	0.000	0.000	Merged-chr8-124509346-29
NR3120--MA0002.2.RUNX1	chr13	89540473	89540483	+	0.000	0.000	Merged-chr13-89540544-3
NR2489--MA0684.1.RUNX3	chr12	84933859	84933868	-	0.000	0.000	Merged-chr12-84934066-14
NR4519--MA0511.2.RUNX2	chr16	57465311	57465319	+	0.000	0.000	Merged-chr16-57465471-22
NR11075--MA0684.1.RUNX3	chr9	92217806	92217815	+	0.000	0.000	Merged-chr9-92217904-40
NR4406--MA0684.1.RUNX3	chr16	35741828	35741837	-	0.000	0.000	Merged-chr16-35741769-10
NR2578--MA0002.2.RUNX1	chr12	100277062	100277072	-	0.000	0.000	Merged-chr12-100277058-24
NR6003--MA0511.2.RUNX2	chr2	21222924	21222932	+	0.000	0.000	Merged-chr2-21222970-39
NR11120--MA0511.2.RUNX2	chr9	98616577	98616585	-	0.000	0.000	Merged-chr9-98616546-17
NR228--MA0002.2.RUNX1	chr1	64549479	64549489	+	0.000	0.000	Merged-chr1-64549530-8
NR6460--MA0511.2.RUNX2	chr2	135737687	135737695	-	0.000	0.000	Merged-chr2-135737673-31
NR7952--MA0511.2.RUNX2	chr4	148102322	148102330	-	0.000	0.000	Merged-chr4-148102321-24
NR11150--MA0684.1.RUNX3	chr9	106070485	106070494	-	0.000	0.000	Merged-chr9-106070497-6
NR2197--MA0684.1.RUNX3	chr11	116554672	116554681	+	0.000	0.000	Merged-chr11-116554635-8
NR7582--MA0002.2.RUNX1	chr4	63644529	63644539	+	0.000	0.000	Merged-chr4-63644435-12
NR214--MA0684.1.RUNX3	chr1	61402534	61402543	+	0.000	0.000	Merged-chr1-61402618-25
NR1671--MA0002.2.RUNX1	chr11	43494196	43494206	-	0.000	0.000	Merged-chr11-43494170-22
NR9741--MA0511.2.RUNX2	chr7	88459939	88459947	-	0.000	0.000	Merged-chr7-88459917-15
NR5510--MA0511.2.RUNX2	chr18	79297926	79297934	+	0.000	0.000	Merged-chr18-79298014-36
NR4095--MA0684.1.RUNX3	chr15	84178922	84178931	+	0.000	0.000	Merged-chr15-84178956-9
NR4716--MA0511.2.RUNX2	chr16	95263159	95263167	+	0.000	0.000	Merged-chr16-95263048-64
NR6582--MA0511.2.RUNX2	chr2	158133242	158133250	-	0.000	0.000	Merged-chr2-158133215-37
NR6919--MA0511.2.RUNX2	chr3	88603736	88603744	+	0.000	0.000	Merged-chr3-88603886-4
NR3843--MA0511.2.RUNX2	chr15	31440252	31440260	-	0.000	0.000	Merged-chr15-31440136-19
NR4554--MA0511.2.RUNX2	chr16	70365448	70365456	+	0.000	0.000	Merged-chr16-70365429-20
NR4349--MA0511.2.RUNX2	chr16	24468008	24468016	-	0.000	0.000	Merged-chr16-24467843-15
NR4184--MA0002.2.RUNX1	chr15	99065732	99065742	+	0.000	0.000	Merged-chr15-99065640-20
NR2447--MA0684.1.RUNX3	chr12	77788441	77788450	-	0.000	0.000	Merged-chr12-77788504-44
NR859--MA0684.1.RUNX3	chr1	191119058	191119067	-	0.000	0.000	Merged-chr1-191119060-9
NR760--MA0002.2.RUNX1	chr1	178629360	178629370	-	0.000	0.000	Merged-chr1-178629339-6
NR4379--MA0684.1.RUNX3	chr16	31205789	31205798	-	0.000	0.000	Merged-chr16-31205914-4
NR3681--MA0511.2.RUNX2	chr14	101480705	101480713	+	0.000	0.000	Merged-chr14-101480860-35
NR2156--MA0002.2.RUNX1	chr11	113005337	113005347	-	0.000	0.000	Merged-chr11-113005354-7
NR5804--MA0002.2.RUNX1	chr19	40267494	40267504	-	0.000	0.000	Merged-chr19-40267576-38
NR1031--MA0002.2.RUNX1	chr10	34118005	34118015	+	0.000	0.000	Merged-chr10-34117997-36
NR2906--MA0511.2.RUNX2	chr13	30682003	30682011	-	0.000	0.000	Merged-chr13-30682181-38
NR2413--MA0684.1.RUNX3	chr12	70280743	70280752	+	0.000	0.000	Merged-chr12-70280726-6
NR3691--MA0002.2.RUNX1	chr14	101892389	101892399	+	0.000	0.000	Merged-chr14-101892350-14
NR8699--MA0002.2.RUNX1	chr5	149641831	149641841	+	0.000	0.000	Merged-chr5-149641711-30
NR1411--MA0002.2.RUNX1	chr10	116664342	116664352	-	0.000	0.000	Merged-chr10-116664420-26
NR3343--MA0002.2.RUNX1	chr14	10593655	10593665	-	0.000	0.000	Merged-chr14-10593654-13
NR7160--MA0002.2.RUNX1	chr3	130571234	130571244	+	0.000	0.000	Merged-chr3-130571110-5
NR8956--MA0684.1.RUNX3	chr6	71595949	71595958	+	0.000	0.000	Merged-chr6-71596014-5
NR5817--MA0002.2.RUNX1	chr19	41597724	41597734	+	0.000	0.000	Merged-chr19-41597921-2
NR9363--MA0002.2.RUNX1	chr6	144961868	144961878	+	0.000	0.000	Merged-chr6-144962023-22
NR3822--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR2026--MA0002.2.RUNX1	chr11	101199796	101199806	-	0.000	0.000	Merged-chr11-101199720-6
NR5798--MA0002.2.RUNX1	chr19	36559554	36559564	-	0.000	0.000	Merged-chr19-36559499-3
NR167--MA0002.2.RUNX1	chr1	54421901	54421911	-	0.000	0.000	Merged-chr1-54421982-33
NR2377--MA0511.2.RUNX2	chr12	52830989	52830997	-	0.000	0.000	Merged-chr12-52830906-26
NR7540--MA0002.2.RUNX1	chr4	56114154	56114164	+	0.000	0.000	Merged-chr4-56114012-43
NR8046--MA0002.2.RUNX1	chr5	7829815	7829825	+	0.000	0.000	Merged-chr5-7829791-41
NR4292--MA0684.1.RUNX3	chr16	14355065	14355074	+	0.000	0.000	Merged-chr16-14355199-2
NR10772--MA0002.2.RUNX1	chr9	42272815	42272825	-	0.000	0.000	Merged-chr9-42272782-11
NR4087--MA0684.1.RUNX3	chr15	82235890	82235899	+	0.000	0.000	Merged-chr15-82235726-13
NR11360--MA0684.1.RUNX3	chrX	17521350	17521359	+	0.000	0.000	Merged-chrX-17521323-26
NR1881--MA0002.2.RUNX1	chr11	78864766	78864776	-	0.000	0.000	Merged-chr11-78864613-1
NR11135--MA0002.2.RUNX1	chr9	103337161	103337171	-	0.000	0.000	Merged-chr9-103337204-21
NR10903--MA0511.2.RUNX2	chr9	66492530	66492538	-	0.000	0.000	Merged-chr9-66492510-30
NR3736--MA0002.2.RUNX1	chr14	121137372	121137382	-	0.000	0.000	Merged-chr14-121137502-35
NR4324--MA0684.1.RUNX3	chr16	22526577	22526586	-	0.000	0.000	Merged-chr16-22526487-34
NR1785--MA0002.2.RUNX1	chr11	63148463	63148473	+	0.000	0.000	Merged-chr11-63148506-21
NR10804--MA0002.2.RUNX1	chr9	50966404	50966414	+	0.000	0.000	Merged-chr9-50966454-25
NR3051--MA0002.2.RUNX1	chr13	67082097	67082107	+	0.000	0.000	Merged-chr13-67082172-4
NR10990--MA0002.2.RUNX1	chr9	79756092	79756102	-	0.000	0.000	Merged-chr9-79756214-5
NR1642--MA0002.2.RUNX1	chr11	32138416	32138426	+	0.000	0.000	Merged-chr11-32138495-33
NR9633--MA0684.1.RUNX3	chr7	65373500	65373509	+	0.000	0.000	Merged-chr7-65373607-20
NR5254--MA0002.2.RUNX1	chr18	14374795	14374805	+	0.000	0.000	Merged-chr18-14374933-6
NR10913--MA0002.2.RUNX1	chr9	67901997	67902007	-	0.000	0.000	Merged-chr9-67901955-26
NR5733--MA0511.2.RUNX2	chr19	29185721	29185729	-	0.000	0.000	Merged-chr19-29185697-46
NR6017--MA0684.1.RUNX3	chr2	25620565	25620574	-	0.000	0.000	Merged-chr2-25620603-21
NR5492--MA0684.1.RUNX3	chr18	75374181	75374190	-	0.000	0.000	Merged-chr18-75374196-25
NR7295--MA0002.2.RUNX1	chr3	148510625	148510635	-	0.000	0.000	Merged-chr3-148510691-67
NR4589--MA0684.1.RUNX3	chr16	78573107	78573116	+	0.000	0.000	Merged-chr16-78573118-8
NR7966--MA0684.1.RUNX3	chr4	149912635	149912644	-	0.000	0.000	Merged-chr4-149912693-20
NR7152--MA0002.2.RUNX1	chr3	129613934	129613944	+	0.000	0.000	Merged-chr3-129613875-22
NR10655--MA0002.2.RUNX1	chr8	128622959	128622969	+	0.000	0.000	Merged-chr8-128622909-9
NR11095--MA0002.2.RUNX1	chr9	95316947	95316957	+	0.000	0.000	Merged-chr9-95316947-35
NR8263--MA0684.1.RUNX3	chr5	75791956	75791965	+	0.000	0.000	Merged-chr5-75792010-32
NR9755--MA0684.1.RUNX3	chr7	92087615	92087624	-	0.000	0.000	Merged-chr7-92087702-17
NR5524--MA0684.1.RUNX3	chr18	80228697	80228706	+	0.000	0.000	Merged-chr18-80228617-43
NR10493--MA0002.2.RUNX1	chr8	111785409	111785419	-	0.000	0.000	Merged-chr8-111785274-13
NR11352--MA0684.1.RUNX3	chrX	12045323	12045332	+	0.000	0.000	Merged-chrX-12045282-1
NR5981--MA0684.1.RUNX3	chr2	14992740	14992749	+	0.000	0.000	Merged-chr2-14992808-37
NR4092--MA0511.2.RUNX2	chr15	84178922	84178930	+	0.000	0.000	Merged-chr15-84178956-9
NR6109--MA0511.2.RUNX2	chr2	52952609	52952617	-	0.000	0.000	Merged-chr2-52952534-7
NR6566--MA0511.2.RUNX2	chr2	157117138	157117146	-	0.000	0.000	Merged-chr2-157117239-5
NR7707--MA0002.2.RUNX1	chr4	103174416	103174426	+	0.000	0.000	Merged-chr4-103174438-7
NR3953--MA0684.1.RUNX3	chr15	61651350	61651359	-	0.000	0.000	Merged-chr15-61651331-17
NR5170--MA0511.2.RUNX2	chr17	84056421	84056429	+	0.000	0.000	Merged-chr17-84056540-29
NR3205--MA0002.2.RUNX1	chr13	99503594	99503604	+	0.000	0.000	Merged-chr13-99503494-98
NR8769--MA0511.2.RUNX2	chr6	24894869	24894877	+	0.000	0.000	Merged-chr6-24894743-37
NR7022--MA0002.2.RUNX1	chr3	105133254	105133264	+	0.000	0.000	Merged-chr3-105133189-20
NR7959--MA0002.2.RUNX1	chr4	148683727	148683737	+	0.000	0.000	Merged-chr4-148683681-71
NR8399--MA0002.2.RUNX1	chr5	107209928	107209938	-	0.000	0.000	Merged-chr5-107209984-10
NR7896--MA0511.2.RUNX2	chr4	139242158	139242166	-	0.000	0.000	Merged-chr4-139242159-17
NR11094--MA0684.1.RUNX3	chr9	95154237	95154246	-	0.000	0.000	Merged-chr9-95154225-2
NR3936--MA0511.2.RUNX2	chr15	58750401	58750409	+	0.000	0.000	Merged-chr15-58750240-28
NR7131--MA0002.2.RUNX1	chr3	123192399	123192409	-	0.000	0.000	Merged-chr3-123192207-28
NR3566--MA0002.2.RUNX1	chr14	68952064	68952074	+	0.000	0.000	Merged-chr14-68951908-4
NR11074--MA0002.2.RUNX1	chr9	92217818	92217828	+	0.000	0.000	Merged-chr9-92217904-40
NR5232--MA0684.1.RUNX3	chr18	10154729	10154738	-	0.000	0.000	Merged-chr18-10154788-16
NR11348--MA0511.2.RUNX2	chrX	12045290	12045298	-	0.000	0.000	Merged-chrX-12045282-1
NR1995--MA0002.2.RUNX1	chr11	98487922	98487932	+	0.000	0.000	Merged-chr11-98487809-30
NR2378--MA0684.1.RUNX3	chr12	52830988	52830997	-	0.000	0.000	Merged-chr12-52830906-26
NR10809--MA0002.2.RUNX1	chr9	51961338	51961348	-	0.000	0.000	Merged-chr9-51961362-1
NR6466--MA0684.1.RUNX3	chr2	137224836	137224845	-	0.000	0.000	Merged-chr2-137224983-29
NR3056--MA0002.2.RUNX1	chr13	72818141	72818151	+	0.000	0.000	Merged-chr13-72817976-1
NR3727--MA0684.1.RUNX3	chr14	118658446	118658455	+	0.000	0.000	Merged-chr14-118658326-68
NR7971--MA0511.2.RUNX2	chr4	150339060	150339068	-	0.000	0.000	Merged-chr4-150339180-18
NR11358--MA0002.2.RUNX1	chrX	17521364	17521374	+	0.000	0.000	Merged-chrX-17521323-26
NR8255--MA0684.1.RUNX3	chr5	72941143	72941152	-	0.000	0.000	Merged-chr5-72941102-35
NR1485--MA0002.2.RUNX1	chr10	122200005	122200015	+	0.000	0.000	Merged-chr10-122200080-48
NR10504--MA0002.2.RUNX1	chr8	113670089	113670099	-	0.000	0.000	Merged-chr8-113669969-10
NR10362--MA0684.1.RUNX3	chr8	78975205	78975214	-	0.000	0.000	Merged-chr8-78975191-34
NR7875--MA0511.2.RUNX2	chr4	135520640	135520648	+	0.000	0.000	Merged-chr4-135520643-13
NR6079--MA0002.2.RUNX1	chr2	36220299	36220309	+	0.000	0.000	Merged-chr2-36220233-13
NR9042--MA0002.2.RUNX1	chr6	94760977	94760987	+	0.000	0.000	Merged-chr6-94761021-48
NR11119--MA0002.2.RUNX1	chr9	98339692	98339702	+	0.000	0.000	Merged-chr9-98339700-17
NR290--MA0002.2.RUNX1	chr1	80404560	80404570	+	0.000	0.000	Merged-chr1-80404544-1
NR6336--MA0684.1.RUNX3	chr2	114873176	114873185	+	0.000	0.000	Merged-chr2-114873203-5
NR1451--MA0002.2.RUNX1	chr10	118605570	118605580	-	0.000	0.000	Merged-chr10-118605555-16
NR6415--MA0511.2.RUNX2	chr2	128544656	128544664	+	0.000	0.000	Merged-chr2-128544786-45
NR10769--MA0002.2.RUNX1	chr9	42158806	42158816	-	0.000	0.000	Merged-chr9-42158908-46
NR9945--MA0002.2.RUNX1	chr7	123030901	123030911	+	0.000	0.000	Merged-chr7-123030929-30
NR10930--MA0511.2.RUNX2	chr9	69757417	69757425	+	0.000	0.000	Merged-chr9-69757438-24
NR11436--MA0511.2.RUNX2	chrX	93617323	93617331	+	0.000	0.000	Merged-chrX-93617420-5
NR3287--MA0002.2.RUNX1	chr13	112388364	112388374	+	0.000	0.000	Merged-chr13-112388467-40
NR10626--MA0002.2.RUNX1	chr8	126854490	126854500	-	0.000	0.000	Merged-chr8-126854569-38
NR1563--MA0511.2.RUNX2	chr11	4344088	4344096	-	0.000	0.000	Merged-chr11-4344147-20
NR3100--MA0511.2.RUNX2	chr13	84769189	84769197	-	0.000	0.000	Merged-chr13-84769190-19
NR8979--MA0511.2.RUNX2	chr6	72841926	72841934	+	0.000	0.000	Merged-chr6-72841906-9
NR5700--MA0684.1.RUNX3	chr19	18715928	18715937	-	0.000	0.000	Merged-chr19-18715934-3
NR9041--MA0684.1.RUNX3	chr6	94660393	94660402	+	0.000	0.000	Merged-chr6-94660484-13
NR2813--MA0002.2.RUNX1	chr13	9360205	9360215	+	0.000	0.000	Merged-chr13-9360244-14
NR5599--MA0002.2.RUNX1	chr19	3699615	3699625	+	0.000	0.000	Merged-chr19-3699724-13
NR6187--MA0684.1.RUNX3	chr2	72183928	72183937	-	0.000	0.000	Merged-chr2-72183936-23
NR1721--MA0684.1.RUNX3	chr11	53097005	53097014	+	0.000	0.000	Merged-chr11-53097142-34
NR2449--MA0511.2.RUNX2	chr12	78356654	78356662	+	0.000	0.000	Merged-chr12-78356695-8
NR4950--MA0002.2.RUNX1	chr17	35420629	35420639	+	0.000	0.000	Merged-chr17-35420549-18
NR7407--MA0002.2.RUNX1	chr4	11492627	11492637	+	0.000	0.000	Merged-chr4-11492586-1
NR5141--MA0511.2.RUNX2	chr17	80579294	80579302	-	0.000	0.000	Merged-chr17-80579337-18
NR9673--MA0684.1.RUNX3	chr7	74599962	74599971	-	0.000	0.000	Merged-chr7-74599992-6
NR7122--MA0684.1.RUNX3	chr3	122309164	122309173	+	0.000	0.000	Merged-chr3-122309117-4
NR9177--MA0002.2.RUNX1	chr6	122587661	122587671	+	0.000	0.000	Merged-chr6-122587687-4
NR7916--MA0684.1.RUNX3	chr4	145045906	145045915	+	0.000	0.000	Merged-chr4-145045932-55
NR1463--MA0684.1.RUNX3	chr10	119382450	119382459	-	0.000	0.000	Merged-chr10-119382475-33
NR4125--MA0684.1.RUNX3	chr15	92231533	92231542	-	0.000	0.000	Merged-chr15-92231581-21
NR9305--MA0002.2.RUNX1	chr6	137577311	137577321	-	0.000	0.000	Merged-chr6-137577194-7
NR10685--MA0511.2.RUNX2	chr9	14172082	14172090	+	0.000	0.000	Merged-chr9-14171965-37
NR7625--MA0002.2.RUNX1	chr4	86887090	86887100	+	0.000	0.000	Merged-chr4-86887188-3
NR7310--MA0511.2.RUNX2	chr3	149262212	149262220	+	0.000	0.000	Merged-chr3-149262161-2
NR3123--MA0002.2.RUNX1	chr13	89670127	89670137	-	0.000	0.000	Merged-chr13-89670013-3
NR10813--MA0511.2.RUNX2	chr9	52356782	52356790	-	0.000	0.000	Merged-chr9-52356728-32
NR7463--MA0002.2.RUNX1	chr4	34429713	34429723	+	0.000	0.000	Merged-chr4-34429561-69
NR10909--MA0684.1.RUNX3	chr9	67813735	67813744	+	0.000	0.000	Merged-chr9-67813867-45
NR11349--MA0684.1.RUNX3	chrX	12045289	12045298	-	0.000	0.000	Merged-chrX-12045282-1
NR1760--MA0511.2.RUNX2	chr11	58290445	58290453	-	0.000	0.000	Merged-chr11-58290425-28
NR11058--MA0002.2.RUNX1	chr9	88722011	88722021	-	0.000	0.000	Merged-chr9-88721964-40
NR771--MA0002.2.RUNX1	chr1	179847489	179847499	+	0.000	0.000	Merged-chr1-179847496-1
NR11014--MA0511.2.RUNX2	chr9	84031079	84031087	+	0.000	0.000	Merged-chr9-84030961-27
NR9361--MA0002.2.RUNX1	chr6	144953072	144953082	-	0.000	0.000	Merged-chr6-144953133-29
NR9632--MA0002.2.RUNX1	chr7	65373500	65373510	-	0.000	0.000	Merged-chr7-65373607-20
NR6006--MA0511.2.RUNX2	chr2	21223170	21223178	-	0.000	0.000	Merged-chr2-21222970-39
NR9364--MA0511.2.RUNX2	chr6	145002347	145002355	-	0.000	0.000	Merged-chr6-145002461-23
NR10294--MA0002.2.RUNX1	chr8	64826527	64826537	-	0.000	0.000	Merged-chr8-64826546-37
NR5034--MA0002.2.RUNX1	chr17	52468606	52468616	-	0.000	0.000	Merged-chr17-52468640-52
NR3354--MA0002.2.RUNX1	chr14	18820779	18820789	+	0.000	0.000	Merged-chr14-18820757-45
NR2279--MA0511.2.RUNX2	chr12	16165140	16165148	+	0.000	0.000	Merged-chr12-16165159-14
NR40--MA0002.2.RUNX1	chr1	23272301	23272311	-	0.000	0.000	Merged-chr1-23272204-17
NR912--MA0002.2.RUNX1	chr10	5795437	5795447	+	0.000	0.000	Merged-chr10-5795457-7
NR7571--MA0684.1.RUNX3	chr4	59790006	59790015	-	0.000	0.000	Merged-chr4-59790006-29
NR893--MA0002.2.RUNX1	chr1	193366053	193366063	-	0.000	0.000	Merged-chr1-193366026-12
NR9026--MA0002.2.RUNX1	chr6	89065030	89065040	+	0.000	0.000	Merged-chr6-89065226-11
NR1534--MA0511.2.RUNX2	chr10	128991151	128991159	-	0.000	0.000	Merged-chr10-128991197-23
NR10931--MA0684.1.RUNX3	chr9	69757417	69757426	+	0.000	0.000	Merged-chr9-69757438-24
NR816--MA0002.2.RUNX1	chr1	184182456	184182466	+	0.000	0.000	Merged-chr1-184182339-15
NR9754--MA0002.2.RUNX1	chr7	92087614	92087624	+	0.000	0.000	Merged-chr7-92087702-17
NR5447--MA0684.1.RUNX3	chr18	66407905	66407914	+	0.000	0.000	Merged-chr18-66407896-2
NR10293--MA0684.1.RUNX3	chr8	64805445	64805454	-	0.000	0.000	Merged-chr8-64805470-51
NR10021--MA0002.2.RUNX1	chr7	132749006	132749016	-	0.000	0.000	Merged-chr7-132748920-16
NR10372--MA0511.2.RUNX2	chr8	81572864	81572872	+	0.000	0.000	Merged-chr8-81572647-16
NR3005--MA0684.1.RUNX3	chr13	54055654	54055663	-	0.000	0.000	Merged-chr13-54055644-29
NR3585--MA0002.2.RUNX1	chr14	69980921	69980931	-	0.000	0.000	Merged-chr14-69980861-5
NR9082--MA0002.2.RUNX1	chr6	106981353	106981363	-	0.000	0.000	Merged-chr6-106981432-3
NR5522--MA0684.1.RUNX3	chr18	79473211	79473220	+	0.000	0.000	Merged-chr18-79473118-20
NR7054--MA0002.2.RUNX1	chr3	108887078	108887088	-	0.000	0.000	Merged-chr3-108887140-15
NR10927--MA0511.2.RUNX2	chr9	69642879	69642887	+	0.000	0.000	Merged-chr9-69642979-4
NR6028--MA0684.1.RUNX3	chr2	27469521	27469530	+	0.000	0.000	Merged-chr2-27469468-2
NR4520--MA0002.2.RUNX1	chr16	57465311	57465321	-	0.000	0.000	Merged-chr16-57465471-22
NR1765--MA0511.2.RUNX2	chr11	58829921	58829929	+	0.000	0.000	Merged-chr11-58829916-12
NR1272--MA0684.1.RUNX3	chr10	85035480	85035489	-	0.000	0.000	Merged-chr10-85035484-19
NR3968--MA0511.2.RUNX2	chr15	64176575	64176583	-	0.000	0.000	Merged-chr15-64176551-12
NR32--MA0002.2.RUNX1	chr1	20260127	20260137	-	0.000	0.000	Merged-chr1-20260109-34
NR5426--MA0684.1.RUNX3	chr18	65481404	65481413	-	0.000	0.000	Merged-chr18-65481395-37
NR7785--MA0511.2.RUNX2	chr4	122829547	122829555	+	0.000	0.000	Merged-chr4-122829434-12
NR1047--MA0002.2.RUNX1	chr10	39764836	39764846	+	0.000	0.000	Merged-chr10-39764888-24
NR4980--MA0511.2.RUNX2	chr17	45703419	45703427	+	0.000	0.000	Merged-chr17-45703436-19
NR885--MA0002.2.RUNX1	chr1	192510749	192510759	-	0.000	0.000	Merged-chr1-192510804-31
NR35--MA0511.2.RUNX2	chr1	20740683	20740691	-	0.000	0.000	Merged-chr1-20740658-39
NR6290--MA0002.2.RUNX1	chr2	102379148	102379158	-	0.000	0.000	Merged-chr2-102379112-1
NR6832--MA0002.2.RUNX1	chr3	52369415	52369425	-	0.000	0.000	Merged-chr3-52369347-12
NR1255--MA0511.2.RUNX2	chr10	83590841	83590849	-	0.000	0.000	Merged-chr10-83590901-21
NR2996--MA0002.2.RUNX1	chr13	52078661	52078671	+	0.000	0.000	Merged-chr13-52078792-17
NR10361--MA0002.2.RUNX1	chr8	78975204	78975214	+	0.000	0.000	Merged-chr8-78975191-34
NR4785--MA0002.2.RUNX1	chr17	8225307	8225317	+	0.000	0.000	Merged-chr17-8225447-9
NR1093--MA0511.2.RUNX2	chr10	44786537	44786545	-	0.000	0.000	Merged-chr10-44786456-11
NR3488--MA0684.1.RUNX3	chr14	60072651	60072660	+	0.000	0.000	Merged-chr14-60072713-24
NR2790--MA0511.2.RUNX2	chr12	119148036	119148044	+	0.000	0.000	Merged-chr12-119148040-28
NR3216--MA0002.2.RUNX1	chr13	99781336	99781346	+	0.000	0.000	Merged-chr13-99781144-21
NR9732--MA0684.1.RUNX3	chr7	84740071	84740080	-	0.000	0.000	Merged-chr7-84740151-41
NR1265--MA0002.2.RUNX1	chr10	84897547	84897557	-	0.000	0.000	Merged-chr10-84897526-62
NR3772--MA0511.2.RUNX2	chr14	123163086	123163094	+	0.000	0.000	Merged-chr14-123163033-38
NR9606--MA0511.2.RUNX2	chr7	58392983	58392991	-	0.000	0.000	Merged-chr7-58392737-68
NR7655--MA0511.2.RUNX2	chr4	97927130	97927138	-	0.000	0.000	Merged-chr4-97927118-18
NR5753--MA0684.1.RUNX3	chr19	32121043	32121052	-	0.000	0.000	Merged-chr19-32120972-21
NR5277--MA0684.1.RUNX3	chr18	25367588	25367597	+	0.000	0.000	Merged-chr18-25367708-17
NR9792--MA0511.2.RUNX2	chr7	101027881	101027889	-	0.000	0.000	Merged-chr7-101027827-19
NR632--MA0684.1.RUNX3	chr1	161728703	161728712	-	0.000	0.000	Merged-chr1-161728798-12
NR341--MA0002.2.RUNX1	chr1	88475603	88475613	-	0.000	0.000	Merged-chr1-88475619-20
NR4403--MA0002.2.RUNX1	chr16	35485017	35485027	-	0.000	0.000	Merged-chr16-35485007-20
NR1919--MA0511.2.RUNX2	chr11	83828988	83828996	+	0.000	0.000	Merged-chr11-83828814-21
NR2581--MA0684.1.RUNX3	chr12	100277100	100277109	-	0.000	0.000	Merged-chr12-100277058-24
NR9868--MA0002.2.RUNX1	chr7	112238966	112238976	+	0.000	0.000	Merged-chr7-112238810-51
NR9183--MA0002.2.RUNX1	chr6	122837925	122837935	-	0.000	0.000	Merged-chr6-122837963-9
NR7254--MA0511.2.RUNX2	chr3	142892308	142892316	+	0.000	0.000	Merged-chr3-142892335-19
NR1806--MA0684.1.RUNX3	chr11	67633799	67633808	+	0.000	0.000	Merged-chr11-67633953-18
NR768--MA0002.2.RUNX1	chr1	179578841	179578851	-	0.000	0.000	Merged-chr1-179578897-31
NR6920--MA0002.2.RUNX1	chr3	88603736	88603746	-	0.000	0.000	Merged-chr3-88603886-4
NR10757--MA0511.2.RUNX2	chr9	42022493	42022501	+	0.000	0.000	Merged-chr9-42022537-24
NR5147--MA0684.1.RUNX3	chr17	80762565	80762574	-	0.000	0.000	Merged-chr17-80762560-27
NR9662--MA0511.2.RUNX2	chr7	73532343	73532351	+	0.000	0.000	Merged-chr7-73532440-1
NR3196--MA0684.1.RUNX3	chr13	98924159	98924168	+	0.000	0.000	Merged-chr13-98924179-4
NR830--MA0002.2.RUNX1	chr1	184793640	184793650	+	0.000	0.000	Merged-chr1-184793551-66
NR9358--MA0002.2.RUNX1	chr6	144910469	144910479	+	0.000	0.000	Merged-chr6-144910390-40
NR2670--MA0002.2.RUNX1	chr12	110703297	110703307	-	0.000	0.000	Merged-chr12-110703335-47
NR7012--MA0002.2.RUNX1	chr3	103091903	103091913	+	0.000	0.000	Merged-chr3-103091976-34
NR8981--MA0684.1.RUNX3	chr6	72841926	72841935	+	0.000	0.000	Merged-chr6-72841906-9
NR6430--MA0684.1.RUNX3	chr2	129816122	129816131	-	0.000	0.000	Merged-chr2-129816219-15
NR6553--MA0002.2.RUNX1	chr2	155403014	155403024	+	0.000	0.000	Merged-chr2-155402993-3
NR5379--MA0002.2.RUNX1	chr18	58669638	58669648	+	0.000	0.000	Merged-chr18-58669510-1
