#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR6403--MA1421.1.TCF7L1	chr4	129739567	129739578	-	0.000	0.000	Merged-chr4-129739649-11
NR2049--MA0523.1.TCF7L2	chr12	110256795	110256808	-	0.000	0.000	Merged-chr12-110256861-12
NR6696--MA0523.1.TCF7L2	chr5	67930821	67930834	-	0.000	0.000	Merged-chr5-67930859-12
NR3965--MA0523.1.TCF7L2	chr17	84239782	84239795	+	0.000	0.000	Merged-chr17-84239923-12
NR3035--MA1421.1.TCF7L1	chr15	9436046	9436057	+	0.000	0.000	Merged-chr15-9435954-24
NR3256--MA0769.1.Tcf7	chr15	84372947	84372958	+	0.000	0.000	Merged-chr15-84372915-18
NR7175--MA1421.1.TCF7L1	chr6	53706591	53706602	+	0.000	0.000	Merged-chr6-53706669-3
NR813--MA1421.1.TCF7L1	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR6536--MA1421.1.TCF7L1	chr5	9107427	9107438	+	0.000	0.000	Merged-chr5-9107352-33
NR6368--MA1421.1.TCF7L1	chr4	117153894	117153905	-	0.000	0.000	Merged-chr4-117153955-7
NR2930--MA0523.1.TCF7L2	chr14	103017269	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR5776--MA0769.1.Tcf7	chr3	117044690	117044701	+	0.000	0.000	Merged-chr3-117044595-20
NR344--MA1421.1.TCF7L1	chr1	119795337	119795348	-	0.000	0.000	Merged-chr1-119795246-28
NR176--MA1421.1.TCF7L1	chr1	72870326	72870337	+	0.000	0.000	Merged-chr1-72870469-25
NR3312--MA0523.1.TCF7L2	chr15	97842347	97842360	-	0.000	0.000	Merged-chr15-97842393-22
NR3144--MA0523.1.TCF7L2	chr15	52887037	52887050	-	0.000	0.000	Merged-chr15-52887057-9
NR2954--MA1421.1.TCF7L1	chr14	108374020	108374031	+	0.000	0.000	Merged-chr14-108373968-8
NR5897--MA0769.1.Tcf7	chr3	138649917	138649928	+	0.000	0.000	Merged-chr3-138649925-12
NR5682--MA0769.1.Tcf7	chr3	100703374	100703385	-	0.000	0.000	Merged-chr3-100703204-27
NR8034--MA0769.1.Tcf7	chr7	128669094	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR778--MA1421.1.TCF7L1	chr10	19406887	19406898	-	0.000	0.000	Merged-chr10-19406936-14
NR2992--MA1421.1.TCF7L1	chr14	121353973	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR968--MA0769.1.Tcf7	chr10	67697939	67697950	+	0.000	0.000	Merged-chr10-67697981-39
NR5436--MA0769.1.Tcf7	chr3	28318055	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR6780--MA1421.1.TCF7L1	chr5	96254011	96254022	-	0.000	0.000	Merged-chr5-96254113-8
NR2735--MA1421.1.TCF7L1	chr14	47664710	47664721	+	0.000	0.000	Merged-chr14-47664615-11
NR4659--MA1421.1.TCF7L1	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR8258--MA0769.1.Tcf7	chr8	61436794	61436805	+	0.000	0.000	Merged-chr8-61436904-17
NR3046--MA0769.1.Tcf7	chr15	10447302	10447313	+	0.000	0.000	Merged-chr15-10447359-14
NR1473--MA0523.1.TCF7L2	chr11	74800984	74800997	-	0.000	0.000	Merged-chr11-74801071-1
NR7917--MA0523.1.TCF7L2	chr7	110004556	110004569	+	0.000	0.000	Merged-chr7-110004628-7
NR6039--MA0523.1.TCF7L2	chr4	6675221	6675234	-	0.000	0.000	Merged-chr4-6675237-24
NR6304--MA1421.1.TCF7L1	chr4	101998524	101998535	-	0.000	0.000	Merged-chr4-101998677-38
NR3308--MA0523.1.TCF7L2	chr15	97400989	97401002	+	0.000	0.000	Merged-chr15-97401100-7
NR1690--MA0769.1.Tcf7	chr12	8817879	8817890	+	0.000	0.000	Merged-chr12-8817903-12
NR3771--MA0523.1.TCF7L2	chr17	21661761	21661774	+	0.000	0.000	Merged-chr17-21661730-8
NR6510--MA1421.1.TCF7L1	chr4	150517644	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR6174--MA1421.1.TCF7L1	chr4	56944537	56944548	-	0.000	0.000	Merged-chr4-56944579-16
NR7979--MA1421.1.TCF7L1	chr7	119808847	119808858	+	0.000	0.000	Merged-chr7-119808886-15
NR3514--MA0523.1.TCF7L2	chr16	45361320	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR150--MA1421.1.TCF7L1	chr1	64308922	64308933	-	0.000	0.000	Merged-chr1-64308786-15
NR1050--MA1421.1.TCF7L1	chr10	84015022	84015033	-	0.000	0.000	Merged-chr10-84014974-1
NR1688--MA0523.1.TCF7L2	chr12	8817879	8817892	+	0.000	0.000	Merged-chr12-8817903-12
NR3720--MA0523.1.TCF7L2	chr16	97319555	97319568	+	0.000	0.000	Merged-chr16-97319688-5
NR1484--MA1421.1.TCF7L1	chr11	76677202	76677213	-	0.000	0.000	Merged-chr11-76677169-5
NR7088--MA0769.1.Tcf7	chr6	24515044	24515055	-	0.000	0.000	Merged-chr6-24515075-25
NR5850--MA0523.1.TCF7L2	chr3	132791406	132791419	-	0.000	0.000	Merged-chr3-132791387-40
NR929--MA1421.1.TCF7L1	chr10	60000165	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR6334--MA0769.1.Tcf7	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR427--MA0769.1.Tcf7	chr1	138912380	138912391	-	0.000	0.000	Merged-chr1-138912378-18
NR2650--MA0523.1.TCF7L2	chr14	21078676	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR6595--MA1421.1.TCF7L1	chr5	36006289	36006300	+	0.000	0.000	Merged-chr5-36006302-34
NR5128--MA0769.1.Tcf7	chr2	135823832	135823843	-	0.000	0.000	Merged-chr2-135823878-14
NR7648--MA0769.1.Tcf7	chr6	148934689	148934700	+	0.000	0.000	Merged-chr6-148934708-2
NR255--MA0523.1.TCF7L2	chr1	91626305	91626318	-	0.000	0.000	Merged-chr1-91626193-21
NR5596--MA0523.1.TCF7L2	chr3	84569605	84569618	+	0.000	0.000	Merged-chr3-84569742-8
NR2865--MA0523.1.TCF7L2	chr14	73472603	73472616	+	0.000	0.000	Merged-chr14-73472602-8
NR930--MA0523.1.TCF7L2	chr10	60000148	60000161	+	0.000	0.000	Merged-chr10-60000232-10
NR3772--MA0769.1.Tcf7	chr17	21661761	21661772	+	0.000	0.000	Merged-chr17-21661730-8
NR4862--MA0769.1.Tcf7	chr2	74887206	74887217	-	0.000	0.000	Merged-chr2-74887240-10
NR4811--MA0523.1.TCF7L2	chr2	65871123	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR8951--MA0523.1.TCF7L2	chr9	114604273	114604286	-	0.000	0.000	Merged-chr9-114604237-4
NR992--MA1421.1.TCF7L1	chr10	75137253	75137264	+	0.000	0.000	Merged-chr10-75137301-35
NR1429--MA1421.1.TCF7L1	chr11	62675742	62675753	-	0.000	0.000	Merged-chr11-62675914-24
NR4835--MA1421.1.TCF7L1	chr2	70727345	70727356	+	0.000	0.000	Merged-chr2-70727299-23
NR1033--MA1421.1.TCF7L1	chr10	82728186	82728197	-	0.000	0.000	Merged-chr10-82728321-8
NR1906--MA0769.1.Tcf7	chr12	77070157	77070168	-	0.000	0.000	Merged-chr12-77070291-10
NR6098--MA0523.1.TCF7L2	chr4	33595605	33595618	+	0.000	0.000	Merged-chr4-33595621-34
NR7111--MA0769.1.Tcf7	chr6	34902136	34902147	+	0.000	0.000	Merged-chr6-34902272-26
NR3535--MA0523.1.TCF7L2	chr16	48745640	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR5680--MA1421.1.TCF7L1	chr3	100703374	100703385	-	0.000	0.000	Merged-chr3-100703204-27
NR4198--MA1421.1.TCF7L1	chr18	65318476	65318487	+	0.000	0.000	Merged-chr18-65318525-2
NR5943--MA0769.1.Tcf7	chr3	144261247	144261258	+	0.000	0.000	Merged-chr3-144261016-37
NR5724--MA1421.1.TCF7L1	chr3	108124338	108124349	+	0.000	0.000	Merged-chr3-108124378-33
NR4014--MA1421.1.TCF7L1	chr18	5820061	5820072	-	0.000	0.000	Merged-chr18-5820020-28
NR8889--MA1421.1.TCF7L1	chr9	102587427	102587438	-	0.000	0.000	Merged-chr9-102587549-11
NR347--MA0769.1.Tcf7	chr1	120162002	120162013	-	0.000	0.000	Merged-chr1-120162199-15
NR4448--MA1421.1.TCF7L1	chr19	42031246	42031257	-	0.000	0.000	Merged-chr19-42031201-8
NR2297--MA0523.1.TCF7L2	chr13	52628151	52628164	+	0.000	0.000	Merged-chr13-52628204-1
NR1782--MA0523.1.TCF7L2	chr12	40529888	40529901	+	0.000	0.000	Merged-chr12-40529975-10
NR5895--MA1421.1.TCF7L1	chr3	138649917	138649928	+	0.000	0.000	Merged-chr3-138649925-12
NR8442--MA1421.1.TCF7L1	chr8	117299279	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR4643--MA0769.1.Tcf7	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR7353--MA0769.1.Tcf7	chr6	95682811	95682822	-	0.000	0.000	Merged-chr6-95682989-10
NR3546--MA1421.1.TCF7L1	chr16	50555183	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR6855--MA0523.1.TCF7L2	chr5	105113928	105113941	+	0.000	0.000	Merged-chr5-105113893-19
NR129--MA1421.1.TCF7L1	chr1	60883022	60883033	-	0.000	0.000	Merged-chr1-60883000-15
NR7474--MA0769.1.Tcf7	chr6	120006467	120006478	+	0.000	0.000	Merged-chr6-120006378-7
NR2141--MA0769.1.Tcf7	chr13	3479835	3479846	+	0.000	0.000	Merged-chr13-3479941-4
NR6917--MA0769.1.Tcf7	chr5	121111613	121111624	-	0.000	0.000	Merged-chr5-121111705-24
NR4782--MA0769.1.Tcf7	chr2	60717568	60717579	-	0.000	0.000	Merged-chr2-60717548-24
NR3327--MA1421.1.TCF7L1	chr15	100145188	100145199	-	0.000	0.000	Merged-chr15-100145354-14
NR4641--MA1421.1.TCF7L1	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR710--MA0769.1.Tcf7	chr1	191872690	191872701	-	0.000	0.000	Merged-chr1-191872609-17
NR8934--MA0523.1.TCF7L2	chr9	112175259	112175272	+	0.000	0.000	Merged-chr9-112175419-1
NR5008--MA0523.1.TCF7L2	chr2	113234795	113234808	-	0.000	0.000	Merged-chr2-113234652-8
NR7959--MA0523.1.TCF7L2	chr7	116557587	116557600	-	0.000	0.000	Merged-chr7-116557657-1
NR3576--MA0769.1.Tcf7	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR3571--MA1421.1.TCF7L1	chr16	57177489	57177500	+	0.000	0.000	Merged-chr16-57177558-14
NR4666--MA0769.1.Tcf7	chr2	38068469	38068480	+	0.000	0.000	Merged-chr2-38068550-14
NR5648--MA0523.1.TCF7L2	chr3	97274117	97274130	+	0.000	0.000	Merged-chr3-97274158-19
NR4106--MA0523.1.TCF7L2	chr18	39091503	39091516	-	0.000	0.000	Merged-chr18-39091619-9
NR5420--MA0523.1.TCF7L2	chr3	21809910	21809923	+	0.000	0.000	Merged-chr3-21809864-17
NR3255--MA0523.1.TCF7L2	chr15	84372947	84372960	+	0.000	0.000	Merged-chr15-84372915-18
NR7043--MA0523.1.TCF7L2	chr6	5147853	5147866	+	0.000	0.000	Merged-chr6-5147663-1
NR4312--MA0523.1.TCF7L2	chr18	84911833	84911846	+	0.000	0.000	Merged-chr18-84911932-15
NR6058--MA0769.1.Tcf7	chr4	11610155	11610166	+	0.000	0.000	Merged-chr4-11610147-18
NR705--MA1421.1.TCF7L1	chr1	191486653	191486664	-	0.000	0.000	Merged-chr1-191486758-12
NR6501--MA1421.1.TCF7L1	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR537--MA1421.1.TCF7L1	chr1	161480192	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR6333--MA1421.1.TCF7L1	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR2276--MA0769.1.Tcf7	chr13	51712205	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR8257--MA1421.1.TCF7L1	chr8	61436794	61436805	+	0.000	0.000	Merged-chr8-61436904-17
NR814--MA0523.1.TCF7L2	chr10	25387444	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR8859--MA1421.1.TCF7L1	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR743--MA1421.1.TCF7L1	chr10	7995744	7995755	-	0.000	0.000	Merged-chr10-7995784-10
NR733--MA0769.1.Tcf7	chr10	6954709	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR3151--MA0769.1.Tcf7	chr15	55327407	55327418	-	0.000	0.000	Merged-chr15-55327422-12
NR8109--MA0523.1.TCF7L2	chr7	142967347	142967360	+	0.000	0.000	Merged-chr7-142967366-1
NR7927--MA0769.1.Tcf7	chr7	112213250	112213261	-	0.000	0.000	Merged-chr7-112213302-61
NR6188--MA0769.1.Tcf7	chr4	58121160	58121171	-	0.000	0.000	Merged-chr4-58121225-3
NR5865--MA1421.1.TCF7L1	chr3	135324655	135324666	+	0.000	0.000	Merged-chr3-135324604-5
NR7945--MA0769.1.Tcf7	chr7	115218910	115218921	+	0.000	0.000	Merged-chr7-115218920-27
NR7112--MA0523.1.TCF7L2	chr6	34939573	34939586	-	0.000	0.000	Merged-chr6-34939585-12
NR4474--MA0769.1.Tcf7	chr19	47915525	47915536	+	0.000	0.000	Merged-chr19-47915460-18
NR8521--MA0523.1.TCF7L2	chr9	11559576	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR4371--MA0769.1.Tcf7	chr19	16274720	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR4013--MA0769.1.Tcf7	chr18	5816632	5816643	+	0.000	0.000	Merged-chr18-5816511-9
NR414--MA0523.1.TCF7L2	chr1	138251251	138251264	-	0.000	0.000	Merged-chr1-138251251-10
NR6042--MA0523.1.TCF7L2	chr4	7362362	7362375	+	0.000	0.000	Merged-chr4-7362333-5
NR993--MA0769.1.Tcf7	chr10	75137253	75137264	+	0.000	0.000	Merged-chr10-75137301-35
NR8904--MA0523.1.TCF7L2	chr9	105689612	105689625	+	0.000	0.000	Merged-chr9-105689631-24
NR3167--MA1421.1.TCF7L1	chr15	59913999	59914010	+	0.000	0.000	Merged-chr15-59913956-28
NR8498--MA0769.1.Tcf7	chr8	128165809	128165820	+	0.000	0.000	Merged-chr8-128165876-22
NR8172--MA0523.1.TCF7L2	chr8	25769246	25769259	+	0.000	0.000	Merged-chr8-25769209-9
NR6668--MA1421.1.TCF7L1	chr5	64029907	64029918	+	0.000	0.000	Merged-chr5-64029830-27
NR1845--MA1421.1.TCF7L1	chr12	69825405	69825416	-	0.000	0.000	Merged-chr12-69825253-21
NR1677--MA1421.1.TCF7L1	chr12	3990035	3990046	+	0.000	0.000	Merged-chr12-3989980-1
NR6316--MA1421.1.TCF7L1	chr4	102967967	102967978	+	0.000	0.000	Merged-chr4-102968093-31
NR3373--MA1421.1.TCF7L1	chr16	10399306	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR8713--MA0769.1.Tcf7	chr9	66899731	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR8919--MA0769.1.Tcf7	chr9	108617523	108617534	+	0.000	0.000	Merged-chr9-108617434-16
NR5297--MA1421.1.TCF7L1	chr2	164534498	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR6918--MA1421.1.TCF7L1	chr5	121173009	121173020	+	0.000	0.000	Merged-chr5-121173124-16
NR8149--MA0769.1.Tcf7	chr8	18768219	18768230	-	0.000	0.000	Merged-chr8-18768213-14
NR726--MA1421.1.TCF7L1	chr10	4512824	4512835	+	0.000	0.000	Merged-chr10-4512791-21
NR5900--MA0769.1.Tcf7	chr3	138842536	138842547	+	0.000	0.000	Merged-chr3-138842482-12
NR3613--MA0769.1.Tcf7	chr16	76765862	76765873	+	0.000	0.000	Merged-chr16-76765749-14
NR8761--MA0523.1.TCF7L2	chr9	77683541	77683554	+	0.000	0.000	Merged-chr9-77683679-29
NR1773--MA0523.1.TCF7L2	chr12	36039917	36039930	+	0.000	0.000	Merged-chr12-36039807-28
NR4600--MA0769.1.Tcf7	chr2	19050361	19050372	+	0.000	0.000	Merged-chr2-19050158-33
NR5475--MA0769.1.Tcf7	chr3	52397970	52397981	+	0.000	0.000	Merged-chr3-52398143-17
NR8861--MA0769.1.Tcf7	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR2252--MA1421.1.TCF7L1	chr13	44210324	44210335	+	0.000	0.000	Merged-chr13-44210381-13
NR2662--MA0523.1.TCF7L2	chr14	27261089	27261102	+	0.000	0.000	Merged-chr14-27261045-15
NR2671--MA0769.1.Tcf7	chr14	30024459	30024470	-	0.000	0.000	Merged-chr14-30024538-20
NR4101--MA0523.1.TCF7L2	chr18	38701046	38701059	+	0.000	0.000	Merged-chr18-38700911-27
NR5493--MA0769.1.Tcf7	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR8512--MA0769.1.Tcf7	chr9	7576736	7576747	+	0.000	0.000	Merged-chr9-7576753-19
NR860--MA0523.1.TCF7L2	chr10	40098798	40098811	-	0.000	0.000	Merged-chr10-40098735-11
NR7098--MA0523.1.TCF7L2	chr6	30677300	30677313	+	0.000	0.000	Merged-chr6-30677356-3
NR1226--MA1421.1.TCF7L1	chr10	117377570	117377581	-	0.000	0.000	Merged-chr10-117377577-5
NR6627--MA0523.1.TCF7L2	chr5	44180970	44180983	-	0.000	0.000	Merged-chr5-44180865-15
NR928--MA1421.1.TCF7L1	chr10	60000148	60000159	+	0.000	0.000	Merged-chr10-60000232-10
NR3515--MA0769.1.Tcf7	chr16	45361322	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR4066--MA0523.1.TCF7L2	chr18	32149476	32149489	-	0.000	0.000	Merged-chr18-32149405-13
NR7409--MA0769.1.Tcf7	chr6	103565084	103565095	+	0.000	0.000	Merged-chr6-103565102-16
NR1335--MA0523.1.TCF7L2	chr11	16858776	16858789	-	0.000	0.000	Merged-chr11-16858803-1
NR7047--MA0523.1.TCF7L2	chr6	6189131	6189144	-	0.000	0.000	Merged-chr6-6189088-9
NR2826--MA0523.1.TCF7L2	chr14	66268992	66269005	+	0.000	0.000	Merged-chr14-66269142-9
NR1116--MA0523.1.TCF7L2	chr10	96955127	96955140	+	0.000	0.000	Merged-chr10-96955164-15
NR3093--MA1421.1.TCF7L1	chr15	35917965	35917976	+	0.000	0.000	Merged-chr15-35918069-6
NR2357--MA0523.1.TCF7L2	chr13	73484649	73484662	-	0.000	0.000	Merged-chr13-73484644-8
NR94--MA1421.1.TCF7L1	chr1	43475216	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR278--MA1421.1.TCF7L1	chr1	95375654	95375665	-	0.000	0.000	Merged-chr1-95375799-8
NR2327--MA0769.1.Tcf7	chr13	61710976	61710987	-	0.000	0.000	Merged-chr13-61710985-22
NR3620--MA0523.1.TCF7L2	chr16	78595987	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR3080--MA1421.1.TCF7L1	chr15	30661982	30661993	+	0.000	0.000	Merged-chr15-30662184-17
NR2176--MA0523.1.TCF7L2	chr13	13582033	13582046	-	0.000	0.000	Merged-chr13-13582107-29
NR7575--MA0769.1.Tcf7	chr6	142567726	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR2441--MA1421.1.TCF7L1	chr13	93175668	93175679	+	0.000	0.000	Merged-chr13-93175751-12
NR2273--MA1421.1.TCF7L1	chr13	51690452	51690463	+	0.000	0.000	Merged-chr13-51690450-25
NR3220--MA0769.1.Tcf7	chr15	75634464	75634475	-	0.000	0.000	Merged-chr15-75634516-4
NR8959--MA0523.1.TCF7L2	chr9	116018865	116018878	-	0.000	0.000	Merged-chr9-116018785-16
NR3065--MA0523.1.TCF7L2	chr15	25910531	25910544	+	0.000	0.000	Merged-chr15-25910388-17
NR2550--MA0523.1.TCF7L2	chr13	114086610	114086623	-	0.000	0.000	Merged-chr13-114086496-8
NR8731--MA0523.1.TCF7L2	chr9	70584886	70584899	-	0.000	0.000	Merged-chr9-70584670-22
NR6051--MA0769.1.Tcf7	chr4	8499645	8499656	+	0.000	0.000	Merged-chr4-8499502-2
NR867--MA1421.1.TCF7L1	chr10	43519934	43519945	-	0.000	0.000	Merged-chr10-43520023-14
NR5759--MA0523.1.TCF7L2	chr3	115704658	115704671	-	0.000	0.000	Merged-chr3-115704719-34
NR1600--MA0769.1.Tcf7	chr11	108901320	108901331	-	0.000	0.000	Merged-chr11-108901238-21
NR4637--MA0769.1.Tcf7	chr2	31042980	31042991	-	0.000	0.000	Merged-chr2-31043017-22
NR8683--MA0769.1.Tcf7	chr9	58100153	58100164	+	0.000	0.000	Merged-chr9-58100249-13
NR3970--MA1421.1.TCF7L1	chr17	84636056	84636067	-	0.000	0.000	Merged-chr17-84636147-9
NR932--MA0769.1.Tcf7	chr10	60000148	60000159	+	0.000	0.000	Merged-chr10-60000232-10
NR8110--MA0769.1.Tcf7	chr7	142967347	142967358	+	0.000	0.000	Merged-chr7-142967366-1
NR7661--MA0523.1.TCF7L2	chr7	12987582	12987595	-	0.000	0.000	Merged-chr7-12987633-12
NR2493--MA0769.1.Tcf7	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR5727--MA0769.1.Tcf7	chr3	108124338	108124349	+	0.000	0.000	Merged-chr3-108124378-33
NR7068--MA0523.1.TCF7L2	chr6	15710928	15710941	-	0.000	0.000	Merged-chr6-15710892-35
NR2269--MA1421.1.TCF7L1	chr13	49248370	49248381	-	0.000	0.000	Merged-chr13-49248536-2
NR8317--MA1421.1.TCF7L1	chr8	81735892	81735903	-	0.000	0.000	Merged-chr8-81736050-71
NR611--MA0523.1.TCF7L2	chr1	175641957	175641970	-	0.000	0.000	Merged-chr1-175641851-5
NR4074--MA0523.1.TCF7L2	chr18	33060121	33060134	-	0.000	0.000	Merged-chr18-33060171-12
NR1792--MA1421.1.TCF7L1	chr12	41337048	41337059	-	0.000	0.000	Merged-chr12-41336902-7
NR7973--MA1421.1.TCF7L1	chr7	118104837	118104848	-	0.000	0.000	Merged-chr7-118104738-1
NR8355--MA1421.1.TCF7L1	chr8	88604154	88604165	-	0.000	0.000	Merged-chr8-88604204-17
NR4427--MA0769.1.Tcf7	chr19	34510905	34510916	+	0.000	0.000	Merged-chr19-34511025-19
NR4280--MA0523.1.TCF7L2	chr18	79267915	79267928	+	0.000	0.000	Merged-chr18-79267984-24
NR2807--MA0769.1.Tcf7	chr14	61773199	61773210	+	0.000	0.000	Merged-chr14-61773241-2
NR6177--MA0769.1.Tcf7	chr4	57681664	57681675	-	0.000	0.000	Merged-chr4-57681748-10
NR3665--MA1421.1.TCF7L1	chr16	91413339	91413350	+	0.000	0.000	Merged-chr16-91413429-37
NR6549--MA0523.1.TCF7L2	chr5	17390081	17390094	+	0.000	0.000	Merged-chr5-17390186-4
NR1847--MA0769.1.Tcf7	chr12	69825405	69825416	-	0.000	0.000	Merged-chr12-69825253-21
NR9025--MA1421.1.TCF7L1	chr9	123376970	123376981	-	0.000	0.000	Merged-chr9-123377036-7
NR1558--MA0523.1.TCF7L2	chr11	98660778	98660791	+	0.000	0.000	Merged-chr11-98660794-12
NR1089--MA0523.1.TCF7L2	chr10	93050742	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR4105--MA0769.1.Tcf7	chr18	38701109	38701120	+	0.000	0.000	Merged-chr18-38700911-27
NR7840--MA0769.1.Tcf7	chr7	84143206	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR395--MA0523.1.TCF7L2	chr1	135807884	135807897	-	0.000	0.000	Merged-chr1-135807785-37
NR8026--MA0523.1.TCF7L2	chr7	127922798	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR3145--MA0769.1.Tcf7	chr15	52887039	52887050	-	0.000	0.000	Merged-chr15-52887057-9
NR9172--MA0523.1.TCF7L2	chrX	158939875	158939888	-	0.000	0.000	Merged-chrX-158939775-8
NR3812--MA0769.1.Tcf7	chr17	31693696	31693707	-	0.000	0.000	Merged-chr17-31693537-59
NR5127--MA0523.1.TCF7L2	chr2	135823830	135823843	-	0.000	0.000	Merged-chr2-135823878-14
NR4593--MA0769.1.Tcf7	chr2	18403844	18403855	-	0.000	0.000	Merged-chr2-18403900-7
NR7257--MA0523.1.TCF7L2	chr6	70103442	70103455	+	0.000	0.000	Merged-chr6-70103466-27
NR2626--MA1421.1.TCF7L1	chr14	15011595	15011606	+	0.000	0.000	Merged-chr14-15011517-9
NR5767--MA0523.1.TCF7L2	chr3	115944556	115944569	+	0.000	0.000	Merged-chr3-115944558-15
NR8013--MA0523.1.TCF7L2	chr7	125561319	125561332	-	0.000	0.000	Merged-chr7-125561411-29
NR5298--MA0523.1.TCF7L2	chr2	164534496	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR7206--MA0523.1.TCF7L2	chr6	59363440	59363453	-	0.000	0.000	Merged-chr6-59363496-31
NR1122--MA1421.1.TCF7L1	chr10	98976104	98976115	-	0.000	0.000	Merged-chr10-98976063-31
NR7075--MA0769.1.Tcf7	chr6	15783259	15783270	+	0.000	0.000	Merged-chr6-15783250-24
NR6187--MA0523.1.TCF7L2	chr4	58121158	58121171	-	0.000	0.000	Merged-chr4-58121225-3
NR3602--MA0769.1.Tcf7	chr16	76330719	76330730	+	0.000	0.000	Merged-chr16-76330706-5
NR4103--MA1421.1.TCF7L1	chr18	38701109	38701120	+	0.000	0.000	Merged-chr18-38700911-27
NR2817--MA0523.1.TCF7L2	chr14	64392768	64392781	+	0.000	0.000	Merged-chr14-64392821-9
NR8485--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR7093--MA0769.1.Tcf7	chr6	28622361	28622372	-	0.000	0.000	Merged-chr6-28622467-8
NR413--MA0523.1.TCF7L2	chr1	138251266	138251279	+	0.000	0.000	Merged-chr1-138251251-10
NR2651--MA0769.1.Tcf7	chr14	21078678	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR4369--MA1421.1.TCF7L1	chr19	16274720	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR5960--MA0523.1.TCF7L2	chr3	146583925	146583938	+	0.000	0.000	Merged-chr3-146583919-49
NR1747--MA0523.1.TCF7L2	chr12	31756176	31756189	-	0.000	0.000	Merged-chr12-31756239-29
NR1539--MA0769.1.Tcf7	chr11	96058765	96058776	+	0.000	0.000	Merged-chr11-96058605-21
NR3611--MA0523.1.TCF7L2	chr16	76765779	76765792	+	0.000	0.000	Merged-chr16-76765749-14
NR5491--MA0523.1.TCF7L2	chr3	55660081	55660094	+	0.000	0.000	Merged-chr3-55660012-44
NR4710--MA0769.1.Tcf7	chr2	45946382	45946393	+	0.000	0.000	Merged-chr2-45946471-14
NR8080--MA0769.1.Tcf7	chr7	136211566	136211577	+	0.000	0.000	Merged-chr7-136211556-10
NR2804--MA0523.1.TCF7L2	chr14	61012532	61012545	+	0.000	0.000	Merged-chr14-61012611-17
