#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR4449--MA0002.2.RUNX1	chr16	57572009	57572019	+	0.000	0.000	Merged-chr16-57572005-26
NR9125--MA0684.1.RUNX3	chr6	140819581	140819590	+	0.000	0.000	Merged-chr6-140819599-25
NR5116--MA0511.2.RUNX2	chr18	14985720	14985728	-	0.000	0.000	Merged-chr18-14985821-9
NR9963--MA0002.2.RUNX1	chr8	34948106	34948116	-	0.000	0.000	Merged-chr8-34948236-16
NR644--MA0684.1.RUNX3	chr1	164053770	164053779	-	0.000	0.000	Merged-chr1-164053798-7
NR496--MA0002.2.RUNX1	chr1	134473338	134473348	-	0.000	0.000	Merged-chr1-134473303-4
NR9820--MA0002.2.RUNX1	chr7	139911332	139911342	+	0.000	0.000	Merged-chr7-139911302-6
NR8745--MA0511.2.RUNX2	chr6	87447421	87447429	+	0.000	0.000	Merged-chr6-87447444-55
NR2878--MA0002.2.RUNX1	chr13	38501736	38501746	-	0.000	0.000	Merged-chr13-38501583-20
NR8917--MA0002.2.RUNX1	chr6	119217784	119217794	+	0.000	0.000	Merged-chr6-119217771-9
NR5970--MA0684.1.RUNX3	chr2	66127275	66127284	+	0.000	0.000	Merged-chr2-66127129-8
NR3099--MA0684.1.RUNX3	chr13	93755343	93755352	-	0.000	0.000	Merged-chr13-93755316-1
NR8755--MA0002.2.RUNX1	chr6	88757235	88757245	+	0.000	0.000	Merged-chr6-88757111-24
NR4875--MA0511.2.RUNX2	chr17	50729826	50729834	-	0.000	0.000	Merged-chr17-50729760-39
NR928--MA0684.1.RUNX3	chr10	12985259	12985268	+	0.000	0.000	Merged-chr10-12985296-24
NR4110--MA0002.2.RUNX1	chr15	97391596	97391606	+	0.000	0.000	Merged-chr15-97391663-4
NR4732--MA0511.2.RUNX2	chr17	25867734	25867742	-	0.000	0.000	Merged-chr17-25867746-11
NR9469--MA0511.2.RUNX2	chr7	81319870	81319878	+	0.000	0.000	Merged-chr7-81320014-23
NR1971--MA0002.2.RUNX1	chr11	95908109	95908119	-	0.000	0.000	Merged-chr11-95907988-15
NR6393--MA0511.2.RUNX2	chr2	158450879	158450887	+	0.000	0.000	Merged-chr2-158450944-19
NR6565--MA0002.2.RUNX1	chr3	9924802	9924812	+	0.000	0.000	Merged-chr3-9924809-24
NR845--MA0511.2.RUNX2	chr1	189085445	189085453	+	0.000	0.000	Merged-chr1-189085418-26
NR5440--MA0002.2.RUNX1	chr19	4475725	4475735	-	0.000	0.000	Merged-chr19-4475764-2
NR4636--MA0511.2.RUNX2	chr17	3521570	3521578	+	0.000	0.000	Merged-chr17-3521498-21
NR3760--MA0002.2.RUNX1	chr14	121409137	121409147	+	0.000	0.000	Merged-chr14-121409086-22
NR2192--MA0684.1.RUNX3	chr12	11300797	11300806	-	0.000	0.000	Merged-chr12-11300955-23
NR431--MA0511.2.RUNX2	chr1	125487532	125487540	+	0.000	0.000	Merged-chr1-125487640-13
NR6217--MA0002.2.RUNX1	chr2	128068244	128068254	+	0.000	0.000	Merged-chr2-128068200-5
NR11211--MA0684.1.RUNX3	chrX	167037991	167038000	-	0.000	0.000	Merged-chrX-167038027-22
NR7643--MA0002.2.RUNX1	chr4	135159264	135159274	+	0.000	0.000	Merged-chr4-135159310-41
NR8231--MA0684.1.RUNX3	chr5	114041829	114041838	+	0.000	0.000	Merged-chr5-114041714-24
NR7914--MA0002.2.RUNX1	chr5	32148743	32148753	+	0.000	0.000	Merged-chr5-32148738-21
NR1732--MA0002.2.RUNX1	chr11	54217762	54217772	-	0.000	0.000	Merged-chr11-54217626-10
NR478--MA0511.2.RUNX2	chr1	132618073	132618081	-	0.000	0.000	Merged-chr1-132618127-11
NR2115--MA0684.1.RUNX3	chr11	114350985	114350994	+	0.000	0.000	Merged-chr11-114351048-6
NR749--MA0511.2.RUNX2	chr1	178218442	178218450	-	0.000	0.000	Merged-chr1-178218511-16
NR2172--MA0002.2.RUNX1	chr11	121712892	121712902	-	0.000	0.000	Merged-chr11-121712816-9
NR5820--MA0002.2.RUNX1	chr2	27693898	27693908	-	0.000	0.000	Merged-chr2-27693880-30
NR4745--MA0511.2.RUNX2	chr17	27323200	27323208	-	0.000	0.000	Merged-chr17-27323176-36
NR7136--MA0511.2.RUNX2	chr3	149443136	149443144	-	0.000	0.000	Merged-chr3-149443176-11
NR1984--MA0002.2.RUNX1	chr11	97129168	97129178	+	0.000	0.000	Merged-chr11-97129027-2
NR8357--MA0511.2.RUNX2	chr5	139300569	139300577	+	0.000	0.000	Merged-chr5-139300628-14
NR6011--MA0511.2.RUNX2	chr2	72365443	72365451	-	0.000	0.000	Merged-chr2-72365558-19
NR8192--MA0002.2.RUNX1	chr5	107759284	107759294	-	0.000	0.000	Merged-chr5-107759301-16
NR5201--MA0002.2.RUNX1	chr18	39102372	39102382	+	0.000	0.000	Merged-chr18-39102352-12
NR3250--MA0002.2.RUNX1	chr13	111043826	111043836	+	0.000	0.000	Merged-chr13-111043861-34
NR1570--MA0002.2.RUNX1	chr11	16952288	16952298	-	0.000	0.000	Merged-chr11-16952284-5
NR2618--MA0002.2.RUNX1	chr12	111599110	111599120	+	0.000	0.000	Merged-chr12-111599080-10
NR2303--MA0511.2.RUNX2	chr12	54568751	54568759	+	0.000	0.000	Merged-chr12-54568862-31
NR6706--MA0002.2.RUNX1	chr3	68784215	68784225	-	0.000	0.000	Merged-chr3-68784168-43
NR444--MA0511.2.RUNX2	chr1	127651301	127651309	+	0.000	0.000	Merged-chr1-127651305-2
NR9812--MA0002.2.RUNX1	chr7	137476758	137476768	+	0.000	0.000	Merged-chr7-137476773-22
NR8638--MA0002.2.RUNX1	chr6	54807563	54807573	-	0.000	0.000	Merged-chr6-54807598-18
NR4679--MA0684.1.RUNX3	chr17	12165580	12165589	+	0.000	0.000	Merged-chr17-12165459-54
NR9793--MA0002.2.RUNX1	chr7	132729698	132729708	-	0.000	0.000	Merged-chr7-132729590-8
NR2999--MA0684.1.RUNX3	chr13	73491290	73491299	-	0.000	0.000	Merged-chr13-73491277-13
NR4136--MA0002.2.RUNX1	chr15	100265778	100265788	-	0.000	0.000	Merged-chr15-100265875-19
NR6150--MA0684.1.RUNX3	chr2	112833922	112833931	+	0.000	0.000	Merged-chr2-112833809-1
NR5962--MA0684.1.RUNX3	chr2	65133924	65133933	+	0.000	0.000	Merged-chr2-65133825-19
NR6673--MA0684.1.RUNX3	chr3	58671329	58671338	+	0.000	0.000	Merged-chr3-58671349-14
NR1731--MA0684.1.RUNX3	chr11	54217571	54217580	+	0.000	0.000	Merged-chr11-54217626-10
NR6468--MA0684.1.RUNX3	chr2	168429763	168429772	+	0.000	0.000	Merged-chr2-168429700-17
NR249--MA0002.2.RUNX1	chr1	74373602	74373612	-	0.000	0.000	Merged-chr1-74373535-14
NR6796--MA0002.2.RUNX1	chr3	93522155	93522165	+	0.000	0.000	Merged-chr3-93522162-5
NR9209--MA0511.2.RUNX2	chr6	146813237	146813245	-	0.000	0.000	Merged-chr6-146813295-20
NR6719--MA0002.2.RUNX1	chr3	78964752	78964762	+	0.000	0.000	Merged-chr3-78964803-59
NR3372--MA0002.2.RUNX1	chr14	20877571	20877581	-	0.000	0.000	Merged-chr14-20877538-4
NR11151--MA0002.2.RUNX1	chrX	101734128	101734138	+	0.000	0.000	Merged-chrX-101734120-41
NR10076--MA0511.2.RUNX2	chr8	81572864	81572872	+	0.000	0.000	Merged-chr8-81572647-16
NR3772--MA0684.1.RUNX3	chr14	122063903	122063912	+	0.000	0.000	Merged-chr14-122063804-67
NR139--MA0684.1.RUNX3	chr1	52753936	52753945	+	0.000	0.000	Merged-chr1-52754097-20
NR1029--MA0684.1.RUNX3	chr10	44565401	44565410	-	0.000	0.000	Merged-chr10-44565261-15
NR4192--MA0002.2.RUNX1	chr16	10815182	10815192	-	0.000	0.000	Merged-chr16-10815093-30
NR6209--MA0002.2.RUNX1	chr2	127300933	127300943	-	0.000	0.000	Merged-chr2-127301003-17
NR9772--MA0002.2.RUNX1	chr7	130448313	130448323	-	0.000	0.000	Merged-chr7-130448231-21
NR6622--MA0511.2.RUNX2	chr3	37606148	37606156	-	0.000	0.000	Merged-chr3-37605967-27
NR3590--MA0002.2.RUNX1	chr14	67887047	67887057	-	0.000	0.000	Merged-chr14-67887091-21
NR10089--MA0511.2.RUNX2	chr8	83767866	83767874	+	0.000	0.000	Merged-chr8-83767708-6
NR8998--MA0684.1.RUNX3	chr6	126995692	126995701	-	0.000	0.000	Merged-chr6-126995755-15
NR105--MA0684.1.RUNX3	chr1	40585668	40585677	-	0.000	0.000	Merged-chr1-40585603-1
NR7330--MA0002.2.RUNX1	chr4	59230456	59230466	+	0.000	0.000	Merged-chr4-59230603-11
NR3494--MA0002.2.RUNX1	chr14	55882463	55882473	+	0.000	0.000	Merged-chr14-55882429-48
NR1737--MA0002.2.RUNX1	chr11	54240074	54240084	-	0.000	0.000	Merged-chr11-54240142-13
NR4191--MA0684.1.RUNX3	chr16	10806273	10806282	-	0.000	0.000	Merged-chr16-10806280-14
NR2799--MA0511.2.RUNX2	chr13	19219834	19219842	+	0.000	0.000	Merged-chr13-19219739-41
NR6536--MA0002.2.RUNX1	chr2	181879067	181879077	+	0.000	0.000	Merged-chr2-181879155-37
NR9371--MA0002.2.RUNX1	chr7	56202994	56203004	+	0.000	0.000	Merged-chr7-56202998-14
NR11133--MA0511.2.RUNX2	chrX	93617323	93617331	+	0.000	0.000	Merged-chrX-93617420-5
NR8197--MA0002.2.RUNX1	chr5	110735786	110735796	-	0.000	0.000	Merged-chr5-110735767-7
NR2229--MA0684.1.RUNX3	chr12	25270161	25270170	+	0.000	0.000	Merged-chr12-25270049-10
NR1802--MA0511.2.RUNX2	chr11	67564417	67564425	+	0.000	0.000	Merged-chr11-67564427-31
NR4588--MA0511.2.RUNX2	chr16	94067858	94067866	-	0.000	0.000	Merged-chr16-94067922-8
NR11163--MA0684.1.RUNX3	chrX	106622660	106622669	+	0.000	0.000	Merged-chrX-106622619-36
NR2957--MA0684.1.RUNX3	chr13	56476959	56476968	+	0.000	0.000	Merged-chr13-56477022-46
NR3019--MA0511.2.RUNX2	chr13	81162520	81162528	-	0.000	0.000	Merged-chr13-81162609-12
NR9817--MA0002.2.RUNX1	chr7	139157681	139157691	-	0.000	0.000	Merged-chr7-139157777-16
NR1684--MA0002.2.RUNX1	chr11	46454882	46454892	+	0.000	0.000	Merged-chr11-46454823-30
NR50--MA0002.2.RUNX1	chr1	34510855	34510865	-	0.000	0.000	Merged-chr1-34510825-54
NR4968--MA0511.2.RUNX2	chr17	73810291	73810299	-	0.000	0.000	Merged-chr17-73810198-2
NR5838--MA0002.2.RUNX1	chr2	30257926	30257936	+	0.000	0.000	Merged-chr2-30257905-18
NR1812--MA0002.2.RUNX1	chr11	68442540	68442550	+	0.000	0.000	Merged-chr11-68442579-25
NR3744--MA0002.2.RUNX1	chr14	118828007	118828017	+	0.000	0.000	Merged-chr14-118827968-19
NR144--MA0511.2.RUNX2	chr1	53843241	53843249	+	0.000	0.000	Merged-chr1-53843171-20
NR8708--MA0511.2.RUNX2	chr6	72841926	72841934	+	0.000	0.000	Merged-chr6-72841906-9
NR7561--MA0002.2.RUNX1	chr4	122923025	122923035	+	0.000	0.000	Merged-chr4-122923030-28
NR10793--MA0002.2.RUNX1	chr9	94441585	94441595	-	0.000	0.000	Merged-chr9-94441414-62
NR7961--MA0684.1.RUNX3	chr5	44220689	44220698	+	0.000	0.000	Merged-chr5-44220668-26
NR2156--MA0002.2.RUNX1	chr11	119164546	119164556	-	0.000	0.000	Merged-chr11-119164536-11
NR4392--MA0511.2.RUNX2	chr16	50298930	50298938	-	0.000	0.000	Merged-chr16-50299012-15
NR7213--MA0002.2.RUNX1	chr4	11492627	11492637	+	0.000	0.000	Merged-chr4-11492586-1
NR4359--MA0002.2.RUNX1	chr16	45019096	45019106	-	0.000	0.000	Merged-chr16-45019020-28
NR6200--MA0511.2.RUNX2	chr2	126252466	126252474	+	0.000	0.000	Merged-chr2-126252361-10
NR9750--MA0684.1.RUNX3	chr7	128158909	128158918	-	0.000	0.000	Merged-chr7-128158931-27
NR3905--MA0684.1.RUNX3	chr15	58750401	58750410	+	0.000	0.000	Merged-chr15-58750240-28
NR6419--MA0002.2.RUNX1	chr2	164041119	164041129	-	0.000	0.000	Merged-chr2-164041176-18
NR206--MA0684.1.RUNX3	chr1	62829801	62829810	-	0.000	0.000	Merged-chr1-62829921-36
NR10540--MA0684.1.RUNX3	chr9	57300340	57300349	-	0.000	0.000	Merged-chr9-57300223-10
NR1520--MA0002.2.RUNX1	chr11	3702162	3702172	+	0.000	0.000	Merged-chr11-3702327-20
NR4249--MA0684.1.RUNX3	chr16	23197033	23197042	-	0.000	0.000	Merged-chr16-23196963-14
NR6879--MA0511.2.RUNX2	chr3	108718344	108718352	+	0.000	0.000	Merged-chr3-108718262-42
NR3995--MA0684.1.RUNX3	chr15	76795408	76795417	+	0.000	0.000	Merged-chr15-76795426-7
NR8189--MA0002.2.RUNX1	chr5	107612456	107612466	+	0.000	0.000	Merged-chr5-107612497-14
NR10520--MA0002.2.RUNX1	chr9	55285418	55285428	+	0.000	0.000	Merged-chr9-55285466-14
NR2029--MA0511.2.RUNX2	chr11	101199655	101199663	+	0.000	0.000	Merged-chr11-101199720-6
NR1153--MA0002.2.RUNX1	chr10	75978319	75978329	+	0.000	0.000	Merged-chr10-75978406-17
NR5611--MA0511.2.RUNX2	chr19	42796385	42796393	+	0.000	0.000	Merged-chr19-42796440-5
NR4708--MA0511.2.RUNX2	chr17	18957940	18957948	+	0.000	0.000	Merged-chr17-18957901-23
NR991--MA0002.2.RUNX1	chr10	30716230	30716240	+	0.000	0.000	Merged-chr10-30716378-49
NR8298--MA0002.2.RUNX1	chr5	124873279	124873289	-	0.000	0.000	Merged-chr5-124873220-16
NR1881--MA0002.2.RUNX1	chr11	79696700	79696710	+	0.000	0.000	Merged-chr11-79696665-15
NR6018--MA0002.2.RUNX1	chr2	72536095	72536105	+	0.000	0.000	Merged-chr2-72536133-16
NR1903--MA0511.2.RUNX2	chr11	83746275	83746283	+	0.000	0.000	Merged-chr11-83746367-9
NR5764--MA0002.2.RUNX1	chr2	11693298	11693308	+	0.000	0.000	Merged-chr2-11693188-23
NR2343--MA0511.2.RUNX2	chr12	70219231	70219239	+	0.000	0.000	Merged-chr12-70219283-39
NR6418--MA0684.1.RUNX3	chr2	164017274	164017283	+	0.000	0.000	Merged-chr2-164017275-1
NR4324--MA0684.1.RUNX3	chr16	35905583	35905592	-	0.000	0.000	Merged-chr16-35905598-39
NR5972--MA0511.2.RUNX2	chr2	67131825	67131833	+	0.000	0.000	Merged-chr2-67131784-2
NR2373--MA0684.1.RUNX3	chr12	75837679	75837688	+	0.000	0.000	Merged-chr12-75837700-7
NR11121--MA0684.1.RUNX3	chrX	77640460	77640469	-	0.000	0.000	Merged-chrX-77640531-25
NR8363--MA0511.2.RUNX2	chr5	139320774	139320782	-	0.000	0.000	Merged-chr5-139320705-5
NR4176--MA0002.2.RUNX1	chr16	4503549	4503559	-	0.000	0.000	Merged-chr16-4503652-20
NR1741--MA0511.2.RUNX2	chr11	54294559	54294567	-	0.000	0.000	Merged-chr11-54294528-16
NR3594--MA0684.1.RUNX3	chr14	67911799	67911808	+	0.000	0.000	Merged-chr14-67911920-26
NR9904--MA0684.1.RUNX3	chr8	14088824	14088833	-	0.000	0.000	Merged-chr8-14088778-16
NR3845--MA0002.2.RUNX1	chr15	34389220	34389230	+	0.000	0.000	Merged-chr15-34389092-27
NR1023--MA0002.2.RUNX1	chr10	43004711	43004721	-	0.000	0.000	Merged-chr10-43004823-13
NR5777--MA0002.2.RUNX1	chr2	17597762	17597772	+	0.000	0.000	Merged-chr2-17597899-18
NR1751--MA0002.2.RUNX1	chr11	55031376	55031386	-	0.000	0.000	Merged-chr11-55031517-56
NR5733--MA0511.2.RUNX2	chr2	3756052	3756060	-	0.000	0.000	Merged-chr2-3756075-14
NR1502--MA0511.2.RUNX2	chr10	130434433	130434441	+	0.000	0.000	Merged-chr10-130434426-5
NR4066--MA0684.1.RUNX3	chr15	89131568	89131577	+	0.000	0.000	Merged-chr15-89131620-40
NR5886--MA0002.2.RUNX1	chr2	46064734	46064744	-	0.000	0.000	Merged-chr2-46064700-1
NR3540--MA0002.2.RUNX1	chr14	62353473	62353483	+	0.000	0.000	Merged-chr14-62353676-8
NR9974--MA0002.2.RUNX1	chr8	35674648	35674658	+	0.000	0.000	Merged-chr8-35674862-23
NR4569--MA0002.2.RUNX1	chr16	91793555	91793565	+	0.000	0.000	Merged-chr16-91793603-12
NR10611--MA0511.2.RUNX2	chr9	69065962	69065970	-	0.000	0.000	Merged-chr9-69066025-13
NR8263--MA0684.1.RUNX3	chr5	118271941	118271950	-	0.000	0.000	Merged-chr5-118271976-24
NR4254--MA0511.2.RUNX2	chr16	23838336	23838344	-	0.000	0.000	Merged-chr16-23838386-46
NR11018--MA0002.2.RUNX1	chr9	123931860	123931870	+	0.000	0.000	Merged-chr9-123931993-21
NR10764--MA0002.2.RUNX1	chr9	88722011	88722021	-	0.000	0.000	Merged-chr9-88721964-40
NR1416--MA0002.2.RUNX1	chr10	118486897	118486907	-	0.000	0.000	Merged-chr10-118486914-30
NR145--MA0684.1.RUNX3	chr1	53843241	53843250	+	0.000	0.000	Merged-chr1-53843171-20
NR3282--MA0002.2.RUNX1	chr13	113172823	113172833	+	0.000	0.000	Merged-chr13-113172968-1
NR1002--MA0002.2.RUNX1	chr10	39340069	39340079	+	0.000	0.000	Merged-chr10-39339887-44
NR4168--MA0002.2.RUNX1	chr16	3776569	3776579	-	0.000	0.000	Merged-chr16-3776489-17
NR1733--MA0511.2.RUNX2	chr11	54226764	54226772	+	0.000	0.000	Merged-chr11-54226871-4
NR5180--MA0002.2.RUNX1	chr18	34827829	34827839	+	0.000	0.000	Merged-chr18-34827772-23
NR3771--MA0002.2.RUNX1	chr14	122063903	122063913	-	0.000	0.000	Merged-chr14-122063804-67
NR9211--MA0684.1.RUNX3	chr6	146813236	146813245	-	0.000	0.000	Merged-chr6-146813295-20
NR9605--MA0002.2.RUNX1	chr7	109861553	109861563	+	0.000	0.000	Merged-chr7-109861640-6
NR7925--MA0002.2.RUNX1	chr5	35819746	35819756	+	0.000	0.000	Merged-chr5-35819826-21
NR10220--MA0002.2.RUNX1	chr8	115450954	115450964	+	0.000	0.000	Merged-chr8-115450993-14
NR7511--MA0002.2.RUNX1	chr4	107196641	107196651	-	0.000	0.000	Merged-chr4-107196669-22
NR6707--MA0511.2.RUNX2	chr3	68789751	68789759	+	0.000	0.000	Merged-chr3-68789660-34
NR7306--MA0002.2.RUNX1	chr4	53278160	53278170	+	0.000	0.000	Merged-chr4-53278272-26
NR5626--MA0002.2.RUNX1	chr19	45577328	45577338	-	0.000	0.000	Merged-chr19-45577468-39
NR2649--MA0684.1.RUNX3	chr12	114804630	114804639	+	0.000	0.000	Merged-chr12-114804708-39
NR10600--MA0002.2.RUNX1	chr9	66142459	66142469	+	0.000	0.000	Merged-chr9-66142492-15
NR4038--MA0002.2.RUNX1	chr15	83426603	83426613	-	0.000	0.000	Merged-chr15-83426605-52
NR6274--MA0511.2.RUNX2	chr2	136987997	136988005	-	0.000	0.000	Merged-chr2-136988057-20
NR7415--MA0002.2.RUNX1	chr4	88179587	88179597	+	0.000	0.000	Merged-chr4-88179548-21
NR3661--MA0684.1.RUNX3	chr14	77861400	77861409	+	0.000	0.000	Merged-chr14-77861310-50
NR5193--MA0002.2.RUNX1	chr18	37814059	37814069	+	0.000	0.000	Merged-chr18-37813954-31
NR9922--MA0511.2.RUNX2	chr8	22727500	22727508	+	0.000	0.000	Merged-chr8-22727452-5
NR7396--MA0002.2.RUNX1	chr4	84977492	84977502	+	0.000	0.000	Merged-chr4-84977391-25
NR2930--MA0002.2.RUNX1	chr13	51964009	51964019	+	0.000	0.000	Merged-chr13-51963945-2
NR7667--MA0002.2.RUNX1	chr4	138257515	138257525	-	0.000	0.000	Merged-chr4-138257384-22
NR1091--MA0684.1.RUNX3	chr10	62533065	62533074	-	0.000	0.000	Merged-chr10-62533082-12
NR9681--MA0684.1.RUNX3	chr7	117635774	117635783	+	0.000	0.000	Merged-chr7-117635751-13
NR2073--MA0684.1.RUNX3	chr11	109149662	109149671	-	0.000	0.000	Merged-chr11-109149686-17
NR1756--MA0002.2.RUNX1	chr11	57669726	57669736	+	0.000	0.000	Merged-chr11-57669677-39
NR6449--MA0511.2.RUNX2	chr2	166610520	166610528	+	0.000	0.000	Merged-chr2-166610595-30
NR5844--MA0002.2.RUNX1	chr2	30897112	30897122	-	0.000	0.000	Merged-chr2-30897276-26
NR10362--MA0684.1.RUNX3	chr8	128577440	128577449	-	0.000	0.000	Merged-chr8-128577516-12
NR10904--MA0684.1.RUNX3	chr9	111143602	111143611	-	0.000	0.000	Merged-chr9-111143629-7
NR1071--MA0002.2.RUNX1	chr10	59589332	59589342	-	0.000	0.000	Merged-chr10-59589264-3
NR5800--MA0511.2.RUNX2	chr2	23540191	23540199	+	0.000	0.000	Merged-chr2-23540156-12
NR7924--MA0684.1.RUNX3	chr5	35166061	35166070	-	0.000	0.000	Merged-chr5-35166204-55
NR9456--MA0002.2.RUNX1	chr7	80410400	80410410	+	0.000	0.000	Merged-chr7-80410451-25
NR5430--MA0002.2.RUNX1	chr18	89238258	89238268	+	0.000	0.000	Merged-chr18-89238329-52
NR3274--MA0002.2.RUNX1	chr13	112211292	112211302	-	0.000	0.000	Merged-chr13-112211274-7
NR3545--MA0002.2.RUNX1	chr14	62943984	62943994	+	0.000	0.000	Merged-chr14-62944057-10
NR1594--MA0002.2.RUNX1	chr11	22833833	22833843	-	0.000	0.000	Merged-chr11-22833941-10
NR1808--MA0684.1.RUNX3	chr11	67580585	67580594	+	0.000	0.000	Merged-chr11-67580687-16
NR7428--MA0002.2.RUNX1	chr4	95196377	95196387	-	0.000	0.000	Merged-chr4-95196400-18
NR3402--MA0002.2.RUNX1	chr14	27373052	27373062	+	0.000	0.000	Merged-chr14-27372915-15
NR10865--MA0002.2.RUNX1	chr9	105499566	105499576	+	0.000	0.000	Merged-chr9-105499679-15
NR9713--MA0684.1.RUNX3	chr7	122317088	122317097	+	0.000	0.000	Merged-chr7-122317075-24
NR9294--MA0002.2.RUNX1	chr7	25274706	25274716	+	0.000	0.000	Merged-chr7-25274742-22
NR9836--MA0002.2.RUNX1	chr7	140981898	140981908	-	0.000	0.000	Merged-chr7-140982058-21
NR4193--MA0511.2.RUNX2	chr16	10852376	10852384	+	0.000	0.000	Merged-chr16-10852353-5
NR1868--MA0511.2.RUNX2	chr11	78780187	78780195	+	0.000	0.000	Merged-chr11-78780322-31
NR3383--MA0002.2.RUNX1	chr14	25534436	25534446	+	0.000	0.000	Merged-chr14-25534315-15
NR5890--MA0511.2.RUNX2	chr2	48249784	48249792	+	0.000	0.000	Merged-chr2-48249744-17
NR9965--MA0684.1.RUNX3	chr8	34948174	34948183	-	0.000	0.000	Merged-chr8-34948236-16
NR10246--MA0002.2.RUNX1	chr8	117548676	117548686	+	0.000	0.000	Merged-chr8-117548585-70
NR1103--MA0002.2.RUNX1	chr10	67662499	67662509	-	0.000	0.000	Merged-chr10-67662488-5
NR5734--MA0684.1.RUNX3	chr2	3756051	3756060	-	0.000	0.000	Merged-chr2-3756075-14
NR2800--MA0002.2.RUNX1	chr13	19219834	19219844	-	0.000	0.000	Merged-chr13-19219739-41
NR7537--MA0002.2.RUNX1	chr4	116806625	116806635	-	0.000	0.000	Merged-chr4-116806659-9
NR10580--MA0684.1.RUNX3	chr9	62080713	62080722	+	0.000	0.000	Merged-chr9-62080517-9
NR3849--MA0684.1.RUNX3	chr15	34473008	34473017	-	0.000	0.000	Merged-chr15-34473002-9
NR2009--MA0684.1.RUNX3	chr11	99255497	99255506	-	0.000	0.000	Merged-chr11-99255472-31
NR1040--MA0511.2.RUNX2	chr10	53374375	53374383	+	0.000	0.000	Merged-chr10-53374413-9
NR5509--MA0002.2.RUNX1	chr19	24971561	24971571	-	0.000	0.000	Merged-chr19-24971475-35
NR1878--MA0002.2.RUNX1	chr11	79615051	79615061	+	0.000	0.000	Merged-chr11-79615076-27
NR9802--MA0002.2.RUNX1	chr7	135659861	135659871	-	0.000	0.000	Merged-chr7-135659681-24
NR229--MA0511.2.RUNX2	chr1	71577189	71577197	-	0.000	0.000	Merged-chr1-71577265-1
NR3021--MA0684.1.RUNX3	chr13	81162519	81162528	-	0.000	0.000	Merged-chr13-81162609-12
NR7331--MA0511.2.RUNX2	chr4	59230675	59230683	-	0.000	0.000	Merged-chr4-59230603-11
NR3415--MA0002.2.RUNX1	chr14	30675111	30675121	-	0.000	0.000	Merged-chr14-30675172-26
NR9455--MA0684.1.RUNX3	chr7	80209933	80209942	-	0.000	0.000	Merged-chr7-80209951-53
NR3495--MA0511.2.RUNX2	chr14	55882490	55882498	-	0.000	0.000	Merged-chr14-55882429-48
NR2890--MA0002.2.RUNX1	chr13	41302822	41302832	-	0.000	0.000	Merged-chr13-41302926-20
NR3938--MA0002.2.RUNX1	chr15	63971793	63971803	-	0.000	0.000	Merged-chr15-63971776-11
NR9312--MA0684.1.RUNX3	chr7	30402557	30402566	+	0.000	0.000	Merged-chr7-30402572-19
NR9435--MA0002.2.RUNX1	chr7	75863434	75863444	+	0.000	0.000	Merged-chr7-75863636-9
NR7755--MA0002.2.RUNX1	chr4	149469735	149469745	+	0.000	0.000	Merged-chr4-149469788-41
NR7612--MA0002.2.RUNX1	chr4	132748881	132748891	-	0.000	0.000	Merged-chr4-132748989-25
NR5141--MA0511.2.RUNX2	chr18	23734927	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR1083--MA0684.1.RUNX3	chr10	60346224	60346233	+	0.000	0.000	Merged-chr10-60346273-6
NR7820--MA0511.2.RUNX2	chr5	10254863	10254871	-	0.000	0.000	Merged-chr5-10254903-14
NR4016--MA0684.1.RUNX3	chr15	79740888	79740897	-	0.000	0.000	Merged-chr15-79740875-4
NR5836--MA0002.2.RUNX1	chr2	30112733	30112743	+	0.000	0.000	Merged-chr2-30112786-18
NR7201--MA0511.2.RUNX2	chr4	8872270	8872278	-	0.000	0.000	Merged-chr4-8872202-20
NR9382--MA0002.2.RUNX1	chr7	63973380	63973390	-	0.000	0.000	Merged-chr7-63973470-12
NR9448--MA0002.2.RUNX1	chr7	78763120	78763130	+	0.000	0.000	Merged-chr7-78763113-9
NR2760--MA0002.2.RUNX1	chr13	9360277	9360287	+	0.000	0.000	Merged-chr13-9360244-14
NR7497--MA0002.2.RUNX1	chr4	103174416	103174426	+	0.000	0.000	Merged-chr4-103174438-7
NR7897--MA0684.1.RUNX3	chr5	28043137	28043146	+	0.000	0.000	Merged-chr5-28043033-10
NR1813--MA0511.2.RUNX2	chr11	68498872	68498880	-	0.000	0.000	Merged-chr11-68499042-49
NR8008--MA0684.1.RUNX3	chr5	65653980	65653989	-	0.000	0.000	Merged-chr5-65654078-14
NR9656--MA0511.2.RUNX2	chr7	115734329	115734337	+	0.000	0.000	Merged-chr7-115734410-28
NR1986--MA0684.1.RUNX3	chr11	97129154	97129163	+	0.000	0.000	Merged-chr11-97129027-2
