#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR1516--MA0768.1.LEF1	chr6	61125592	61125606	-	0.000	0.000	Merged-chr6-61125660-31
NR1637--MA0768.1.LEF1	chr7	29251316	29251330	-	0.000	0.000	Merged-chr7-29251339-19
NR1767--MA0768.1.LEF1	chr8	46543318	46543332	-	0.000	0.000	Merged-chr8-46543326-23
NR978--MA0768.1.LEF1	chr19	59932925	59932939	+	0.000	0.000	Merged-chr19-59932938-11
NR1570--MA0768.1.LEF1	chr6	108482613	108482627	+	0.000	0.000	Merged-chr6-108482601-32
NR790--MA0768.1.LEF1	chr16	94454259	94454273	-	0.000	0.000	Merged-chr16-94454291-19
NR1682--MA0768.1.LEF1	chr7	97042365	97042379	-	0.000	0.000	Merged-chr7-97042218-26
NR1230--MA0768.1.LEF1	chr3	144232067	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR553--MA0768.1.LEF1	chr13	117230514	117230528	-	0.000	0.000	Merged-chr13-117230467-15
NR1360--MA0768.1.LEF1	chr4	148683798	148683812	-	0.000	0.000	Merged-chr4-148683681-71
NR1020--MA0768.1.LEF1	chr2	48379935	48379949	-	0.000	0.000	Merged-chr2-48379752-8
NR558--MA0768.1.LEF1	chr13	119681295	119681309	-	0.000	0.000	Merged-chr13-119681376-28
NR576--MA0768.1.LEF1	chr14	48427776	48427790	-	0.000	0.000	Merged-chr14-48427656-16
NR1262--MA0768.1.LEF1	chr4	33791678	33791692	+	0.000	0.000	Merged-chr4-33791808-5
NR688--MA0768.1.LEF1	chr15	73318829	73318843	-	0.000	0.000	Merged-chr15-73318798-19
NR1495--MA0768.1.LEF1	chr6	15716966	15716980	-	0.000	0.000	Merged-chr6-15716932-11
NR903--MA0768.1.LEF1	chr18	68190169	68190183	+	0.000	0.000	Merged-chr18-68190088-51
NR1280--MA0768.1.LEF1	chr4	59933288	59933302	+	0.000	0.000	Merged-chr4-59933078-31
NR1916--MA0768.1.LEF1	chr9	86358168	86358182	+	0.000	0.000	Merged-chr9-86358018-16
NR245--MA0768.1.LEF1	chr11	4507596	4507610	-	0.000	0.000	Merged-chr11-4507718-9
NR263--MA0768.1.LEF1	chr11	52109580	52109594	+	0.000	0.000	Merged-chr11-52109659-16
NR1070--MA0768.1.LEF1	chr2	120502274	120502288	+	0.000	0.000	Merged-chr2-120502347-30
NR1397--MA0768.1.LEF1	chr5	52615662	52615676	-	0.000	0.000	Merged-chr5-52615674-28
NR917--MA0768.1.LEF1	chr18	81521366	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR1621--MA0768.1.LEF1	chr7	4087642	4087656	-	0.000	0.000	Merged-chr7-4087604-2
NR286--MA0768.1.LEF1	chr11	84252630	84252644	-	0.000	0.000	Merged-chr11-84252620-21
NR1966--MA0768.1.LEF1	chrX	57185001	57185015	+	0.000	0.000	Merged-chrX-57185087-24
NR1608--MA0768.1.LEF1	chr6	144333302	144333316	+	0.000	0.000	Merged-chr6-144333219-22
NR1626--MA0768.1.LEF1	chr7	16196946	16196960	+	0.000	0.000	Merged-chr7-16196917-6
NR1738--MA0768.1.LEF1	chr7	127922926	127922940	-	0.000	0.000	Merged-chr7-127922827-35
NR1644--MA0768.1.LEF1	chr7	43481482	43481496	-	0.000	0.000	Merged-chr7-43481332-27
NR1541--MA0768.1.LEF1	chr6	89065274	89065288	-	0.000	0.000	Merged-chr6-89065226-11
NR761--MA0768.1.LEF1	chr16	55769888	55769902	-	0.000	0.000	Merged-chr16-55769882-2
NR967--MA0768.1.LEF1	chr19	47915525	47915539	+	0.000	0.000	Merged-chr19-47915460-18
NR873--MA0768.1.LEF1	chr18	19524572	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR1416--MA0768.1.LEF1	chr5	74261227	74261241	-	0.000	0.000	Merged-chr5-74261391-1
NR37--MA0768.1.LEF1	chr1	82870423	82870437	+	0.000	0.000	Merged-chr1-82870408-8
NR1658--MA0768.1.LEF1	chr7	68329247	68329261	-	0.000	0.000	Merged-chr7-68329155-31
NR878--MA0768.1.LEF1	chr18	32543342	32543356	-	0.000	0.000	Merged-chr18-32543284-47
NR663--MA0768.1.LEF1	chr15	50098424	50098438	+	0.000	0.000	Merged-chr15-50098332-1,Merged-chr15-50098581-5
NR775--MA0768.1.LEF1	chr16	84982743	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR417--MA0768.1.LEF1	chr12	105538348	105538362	+	0.000	0.000	Merged-chr12-105538395-6
NR1676--MA0768.1.LEF1	chr7	89712886	89712900	+	0.000	0.000	Merged-chr7-89712844-48
NR1103--MA0768.1.LEF1	chr2	157122032	157122046	-	0.000	0.000	Merged-chr2-157121969-26
NR78--MA0768.1.LEF1	chr1	156710948	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR319--MA0768.1.LEF1	chr11	111056295	111056309	+	0.000	0.000	Merged-chr11-111056370-11
NR1484--MA0768.1.LEF1	chr5	148709220	148709234	+	0.000	0.000	Merged-chr5-148709171-35
NR1153--MA0768.1.LEF1	chr3	65793913	65793927	-	0.000	0.000	Merged-chr3-65793747-53
NR1386--MA0768.1.LEF1	chr5	28382467	28382481	-	0.000	0.000	Merged-chr5-28382451-39
NR239--MA0768.1.LEF1	chr10	130340349	130340363	-	0.000	0.000	Merged-chr10-130340277-13
NR1292--MA0768.1.LEF1	chr4	88079058	88079072	-	0.000	0.000	Merged-chr4-88079193-33
NR906--MA0768.1.LEF1	chr18	69548095	69548109	-	0.000	0.000	Merged-chr18-69547959-32
NR812--MA0768.1.LEF1	chr17	19303972	19303986	-	0.000	0.000	Merged-chr17-19304000-8
NR1046--MA0768.1.LEF1	chr2	84582503	84582517	-	0.000	0.000	Merged-chr2-84582461-28
NR1731--MA0768.1.LEF1	chr7	125186632	125186646	+	0.000	0.000	Merged-chr7-125186656-23
NR275--MA0768.1.LEF1	chr11	74100877	74100891	-	0.000	0.000	Merged-chr11-74100988-13
NR1955--MA0768.1.LEF1	chr9	122398993	122399007	+	0.000	0.000	Merged-chr9-122399009-31
NR1503--MA0768.1.LEF1	chr6	34364727	34364741	+	0.000	0.000	Merged-chr6-34364838-25
NR12--MA0768.1.LEF1	chr1	39895711	39895725	-	0.000	0.000	Merged-chr1-39895697-26
NR714--MA0768.1.LEF1	chr15	95826800	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR1091--MA0768.1.LEF1	chr2	144860596	144860610	-	0.000	0.000	Merged-chr2-144860708-1
NR1400--MA0768.1.LEF1	chr5	58084163	58084177	-	0.000	0.000	Merged-chr5-58084122-29
NR1078--MA0768.1.LEF1	chr2	129285383	129285397	-	0.000	0.000	Merged-chr2-129285453-11
NR750--MA0768.1.LEF1	chr16	44735811	44735825	+	0.000	0.000	Merged-chr16-44735956-40
NR195--MA0768.1.LEF1	chr10	93188680	93188694	-	0.000	0.000	Merged-chr10-93188465-33
NR862--MA0768.1.LEF1	chr17	88480579	88480593	-	0.000	0.000	Merged-chr17-88480530-23
NR719--MA0768.1.LEF1	chr15	99065757	99065771	-	0.000	0.000	Merged-chr15-99065640-20
NR616--MA0768.1.LEF1	chr14	78448462	78448476	-	0.000	0.000	Merged-chr14-78448544-66
NR1517--MA0768.1.LEF1	chr6	61263669	61263683	+	0.000	0.000	Merged-chr6-61263601-18
NR755--MA0768.1.LEF1	chr16	51719825	51719839	+	0.000	0.000	Merged-chr16-51719841-20
NR867--MA0768.1.LEF1	chr18	4031355	4031369	-	0.000	0.000	Merged-chr18-4031192-41
NR652--MA0768.1.LEF1	chr15	18952128	18952142	+	0.000	0.000	Merged-chr15-18951851-25
NR1553--MA0768.1.LEF1	chr6	97447261	97447275	-	0.000	0.000	Merged-chr6-97447180-22
NR406--MA0768.1.LEF1	chr12	99084372	99084386	-	0.000	0.000	Merged-chr12-99084355-37
NR1665--MA0768.1.LEF1	chr7	79300946	79300960	+	0.000	0.000	Merged-chr7-79300921-71
NR670--MA0768.1.LEF1	chr15	58145493	58145507	-	0.000	0.000	Merged-chr15-58145479-45
NR639--MA0768.1.LEF1	chr14	121137384	121137398	+	0.000	0.000	Merged-chr14-121137502-35
NR1683--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR675--MA0768.1.LEF1	chr15	61438935	61438949	+	0.000	0.000	Merged-chr15-61438700-21
NR308--MA0768.1.LEF1	chr11	105445155	105445169	-	0.000	0.000	Merged-chr11-105445069-18
NR85--MA0768.1.LEF1	chr1	161436693	161436707	-	0.000	0.000	Merged-chr1-161436721-21
NR1473--MA0768.1.LEF1	chr5	140502564	140502578	-	0.000	0.000	Merged-chr5-140502630-23
NR899--MA0768.1.LEF1	chr18	60375873	60375887	-	0.000	0.000	Merged-chr18-60375896-42
NR326--MA0768.1.LEF1	chr11	113005271	113005285	-	0.000	0.000	Merged-chr11-113005354-7
NR1227--MA0768.1.LEF1	chr3	142533251	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR590--MA0768.1.LEF1	chr14	61046320	61046334	+	0.000	0.000	Merged-chr14-61046434-63
NR1245--MA0768.1.LEF1	chr3	155235075	155235089	-	0.000	0.000	Merged-chr3-155234940-1
NR577--MA0768.1.LEF1	chr14	49089835	49089849	-	0.000	0.000	Merged-chr14-49089916-20
NR362--MA0768.1.LEF1	chr12	40536138	40536152	+	0.000	0.000	Merged-chr12-40536190-67
NR1017--MA0768.1.LEF1	chr2	46302919	46302933	-	0.000	0.000	Merged-chr2-46302794-23
NR99--MA0768.1.LEF1	chr1	176944892	176944906	+	0.000	0.000	Merged-chr1-176944899-30
NR349--MA0768.1.LEF1	chr12	26059327	26059341	-	0.000	0.000	Merged-chr12-26059295-22
NR246--MA0768.1.LEF1	chr11	5411817	5411831	-	0.000	0.000	Merged-chr11-5411816-25
NR1147--MA0768.1.LEF1	chr3	58727238	58727252	+	0.000	0.000	Merged-chr3-58727158-6
NR152--MA0768.1.LEF1	chr10	43783356	43783370	+	0.000	0.000	Merged-chr10-43783399-14
NR148--MA0768.1.LEF1	chr10	34117965	34117979	-	0.000	0.000	Merged-chr10-34117997-36
NR721--MA0768.1.LEF1	chr15	100301888	100301902	+	0.000	0.000	Merged-chr15-100301694-19
NR1067--MA0768.1.LEF1	chr2	118256923	118256937	+	0.000	0.000	Merged-chr2-118256887-65
NR1743--MA0768.1.LEF1	chr7	132317272	132317286	+	0.000	0.000	Merged-chr7-132317352-2
NR1506--MA0768.1.LEF1	chr6	41104014	41104028	+	0.000	0.000	Merged-chr6-41104184-15
NR1770--MA0768.1.LEF1	chr8	56443929	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR990--MA0768.1.LEF1	chr2	9360291	9360305	-	0.000	0.000	Merged-chr2-9360178-30
NR1542--MA0768.1.LEF1	chr6	90391830	90391844	-	0.000	0.000	Merged-chr6-90391920-9
