#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR5518--MA0769.1.Tcf7	chr6	65569962	65569973	+	0.000	0.000	Merged-chr6-65569933-17
NR5502--MA1421.1.TCF7L1	chr6	59024501	59024512	-	0.000	0.000	Merged-chr6-59024476-25
NR4879--MA1421.1.TCF7L1	chr4	137898909	137898920	+	0.000	0.000	Merged-chr4-137899052-12
NR1655--MA0523.1.TCF7L2	chr12	117639045	117639058	+	0.000	0.000	Merged-chr12-117639216-79
NR383--MA1421.1.TCF7L1	chr1	156901812	156901823	+	0.000	0.000	Merged-chr1-156901975-24
NR4182--MA1421.1.TCF7L1	chr3	84595450	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR2774--MA1421.1.TCF7L1	chr16	87726093	87726104	-	0.000	0.000	Merged-chr16-87726198-44
NR5416--MA1421.1.TCF7L1	chr6	24894528	24894539	+	0.000	0.000	Merged-chr6-24894743-37
NR5923--MA1421.1.TCF7L1	chr7	43481436	43481447	-	0.000	0.000	Merged-chr7-43481332-27
NR919--MA0523.1.TCF7L2	chr10	116175588	116175601	-	0.000	0.000	Merged-chr10-116175646-10
NR2626--MA0523.1.TCF7L2	chr16	24187371	24187384	+	0.000	0.000	Merged-chr16-24187219-39
NR4815--MA1421.1.TCF7L1	chr4	117153894	117153905	-	0.000	0.000	Merged-chr4-117153955-7
NR6343--MA1421.1.TCF7L1	chr8	41334201	41334212	+	0.000	0.000	Merged-chr8-41334366-24
NR5439--MA0523.1.TCF7L2	chr6	37299213	37299226	-	0.000	0.000	Merged-chr6-37299169-1
NR1279--MA1421.1.TCF7L1	chr11	113536989	113537000	-	0.000	0.000	Merged-chr11-113536889-33
NR1656--MA0769.1.Tcf7	chr12	117639045	117639056	+	0.000	0.000	Merged-chr12-117639216-79
NR5813--MA0523.1.TCF7L2	chr6	145139884	145139897	+	0.000	0.000	Merged-chr6-145139958-22
NR4705--MA0523.1.TCF7L2	chr4	88912351	88912364	+	0.000	0.000	Merged-chr4-88912378-27
NR2710--MA1421.1.TCF7L1	chr16	51719825	51719836	+	0.000	0.000	Merged-chr16-51719841-20
NR269--MA0523.1.TCF7L2	chr1	127812978	127812991	+	0.000	0.000	Merged-chr1-127813157-23
NR5353--MA0769.1.Tcf7	chr5	148373460	148373471	+	0.000	0.000	Merged-chr5-148373511-17
NR4152--MA1421.1.TCF7L1	chr3	68240094	68240105	+	0.000	0.000	Merged-chr3-68240034-18
NR2698--MA0523.1.TCF7L2	chr16	45347113	45347126	+	0.000	0.000	Merged-chr16-45346908-42
NR6573--MA0769.1.Tcf7	chr9	11559578	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR2538--MA1421.1.TCF7L1	chr15	95838583	95838594	-	0.000	0.000	Merged-chr15-95838556-4
NR639--MA0523.1.TCF7L2	chr10	24111236	24111249	-	0.000	0.000	Merged-chr10-24111264-14
NR904--MA1421.1.TCF7L1	chr10	111544155	111544166	+	0.000	0.000	Merged-chr10-111544120-26
NR6345--MA0769.1.Tcf7	chr8	41334201	41334212	+	0.000	0.000	Merged-chr8-41334366-24
NR4124--MA0523.1.TCF7L2	chr3	58552641	58552654	+	0.000	0.000	Merged-chr3-58552438-57
NR5821--MA0523.1.TCF7L2	chr6	145469522	145469535	+	0.000	0.000	Merged-chr6-145469437-17
NR5833--MA0769.1.Tcf7	chr6	146960240	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR6484--MA1421.1.TCF7L1	chr8	117299279	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR1384--MA0769.1.Tcf7	chr12	39649245	39649256	-	0.000	0.000	Merged-chr12-39649191-14
NR336--MA1421.1.TCF7L1	chr1	149965690	149965701	-	0.000	0.000	Merged-chr1-149965858-2
NR3269--MA0523.1.TCF7L2	chr18	89272675	89272688	+	0.000	0.000	Merged-chr18-89272605-14
NR2228--MA0769.1.Tcf7	chr14	87349057	87349068	-	0.000	0.000	Merged-chr14-87349015-16
NR2727--MA1421.1.TCF7L1	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR3147--MA1421.1.TCF7L1	chr18	55107226	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR5817--MA0523.1.TCF7L2	chr6	145285831	145285844	-	0.000	0.000	Merged-chr6-145285757-35
NR3749--MA1421.1.TCF7L1	chr2	103668301	103668312	-	0.000	0.000	Merged-chr2-103668249-32
NR3088--MA0523.1.TCF7L2	chr18	33781014	33781027	+	0.000	0.000	Merged-chr18-33781041-12
NR3353--MA1421.1.TCF7L1	chr19	34570104	34570115	+	0.000	0.000	Merged-chr19-34570289-10
NR2898--MA1421.1.TCF7L1	chr17	33865686	33865697	+	0.000	0.000	Merged-chr17-33865585-36
NR2255--MA0769.1.Tcf7	chr14	104517112	104517123	+	0.000	0.000	Merged-chr14-104517244-7
NR6686--MA1421.1.TCF7L1	chr9	66492614	66492625	-	0.000	0.000	Merged-chr9-66492510-30
NR609--MA0523.1.TCF7L2	chr10	12974821	12974834	+	0.000	0.000	Merged-chr10-12974738-28
NR6033--MA1421.1.TCF7L1	chr7	84143206	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR2847--MA1421.1.TCF7L1	chr17	15440503	15440514	+	0.000	0.000	Merged-chr17-15440327-25
NR647--MA0523.1.TCF7L2	chr10	25387533	25387546	-	0.000	0.000	Merged-chr10-25387454-21
NR4118--MA1421.1.TCF7L1	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR2392--MA0523.1.TCF7L2	chr15	59019052	59019065	+	0.000	0.000	Merged-chr15-59019141-20
NR4300--MA0523.1.TCF7L2	chr3	115584850	115584863	-	0.000	0.000	Merged-chr3-115584831-13
NR3117--MA0769.1.Tcf7	chr18	40308227	40308238	+	0.000	0.000	Merged-chr18-40308184-41
NR4926--MA1421.1.TCF7L1	chr4	149282666	149282677	-	0.000	0.000	Merged-chr4-149282639-35
NR5543--MA0769.1.Tcf7	chr6	70862832	70862843	-	0.000	0.000	Merged-chr6-70862834-28
NR2775--MA0523.1.TCF7L2	chr16	87726091	87726104	-	0.000	0.000	Merged-chr16-87726198-44
NR672--MA0523.1.TCF7L2	chr10	39768386	39768399	+	0.000	0.000	Merged-chr10-39768344-17
NR5440--MA0769.1.Tcf7	chr6	37299215	37299226	-	0.000	0.000	Merged-chr6-37299169-1
NR6563--MA0523.1.TCF7L2	chr9	3404678	3404691	-	0.000	0.000	Merged-chr9-3404634-1
NR5178--MA1421.1.TCF7L1	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR2051--MA1421.1.TCF7L1	chr14	21507260	21507271	-	0.000	0.000	Merged-chr14-21507188-15
NR847--MA0769.1.Tcf7	chr10	93933212	93933223	+	0.000	0.000	Merged-chr10-93933103-29
NR3445--MA0523.1.TCF7L2	chr2	6622257	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR1377--MA1421.1.TCF7L1	chr12	35999207	35999218	+	0.000	0.000	Merged-chr12-35999221-22
NR5691--MA0769.1.Tcf7	chr6	124072940	124072951	-	0.000	0.000	Merged-chr6-124072960-16
NR2520--MA0769.1.Tcf7	chr15	91616725	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR3149--MA0769.1.Tcf7	chr18	55107226	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR47--MA0769.1.Tcf7	chr1	40847738	40847749	-	0.000	0.000	Merged-chr1-40847809-27
NR2253--MA1421.1.TCF7L1	chr14	104517112	104517123	+	0.000	0.000	Merged-chr14-104517244-7
NR642--MA0523.1.TCF7L2	chr10	24158808	24158821	+	0.000	0.000	Merged-chr10-24158889-20
NR1710--MA0523.1.TCF7L2	chr13	30725061	30725074	-	0.000	0.000	Merged-chr13-30725098-13
NR217--MA0523.1.TCF7L2	chr1	94025609	94025622	+	0.000	0.000	Merged-chr1-94025615-17
NR4817--MA0769.1.Tcf7	chr4	117153894	117153905	-	0.000	0.000	Merged-chr4-117153955-7
NR3247--MA0523.1.TCF7L2	chr18	81521367	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR5111--MA0523.1.TCF7L2	chr5	73344293	73344306	-	0.000	0.000	Merged-chr5-73344482-20
NR1140--MA0769.1.Tcf7	chr11	73267034	73267045	+	0.000	0.000	Merged-chr11-73267242-14
NR3621--MA0523.1.TCF7L2	chr2	65871123	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR1361--MA0523.1.TCF7L2	chr12	25601139	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR5822--MA0769.1.Tcf7	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
NR4607--MA0769.1.Tcf7	chr4	44316392	44316403	-	0.000	0.000	Merged-chr4-44316514-33
NR5267--MA0769.1.Tcf7	chr5	118614716	118614727	+	0.000	0.000	Merged-chr5-118614593-18
NR337--MA0523.1.TCF7L2	chr1	149965688	149965701	-	0.000	0.000	Merged-chr1-149965858-2
NR338--MA0769.1.Tcf7	chr1	149965690	149965701	-	0.000	0.000	Merged-chr1-149965858-2
NR5388--MA1421.1.TCF7L1	chr6	5997772	5997783	-	0.000	0.000	Merged-chr6-5997718-16
NR2728--MA0523.1.TCF7L2	chr16	57319958	57319971	+	0.000	0.000	Merged-chr16-57319907-20
NR5191--MA0769.1.Tcf7	chr5	100622576	100622587	+	0.000	0.000	Merged-chr5-100622533-21
NR4849--MA0769.1.Tcf7	chr4	130706925	130706936	-	0.000	0.000	Merged-chr4-130706849-20
NR1830--MA0769.1.Tcf7	chr13	69488208	69488219	-	0.000	0.000	Merged-chr13-69488029-32
NR5939--MA1421.1.TCF7L1	chr7	49581702	49581713	-	0.000	0.000	Merged-chr7-49581640-7
NR964--MA0523.1.TCF7L2	chr10	121300836	121300849	-	0.000	0.000	Merged-chr10-121300859-24
NR5690--MA0523.1.TCF7L2	chr6	124072938	124072951	-	0.000	0.000	Merged-chr6-124072960-16
NR4330--MA0769.1.Tcf7	chr3	126589697	126589708	+	0.000	0.000	Merged-chr3-126589665-27
NR5940--MA0523.1.TCF7L2	chr7	49581700	49581713	-	0.000	0.000	Merged-chr7-49581640-7
NR6705--MA0523.1.TCF7L2	chr9	70310227	70310240	-	0.000	0.000	Merged-chr9-70310142-32
NR4117--MA1421.1.TCF7L1	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR1920--MA0523.1.TCF7L2	chr13	101713894	101713907	+	0.000	0.000	Merged-chr13-101713890-21
NR2706--MA0769.1.Tcf7	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR5680--MA0769.1.Tcf7	chr6	120077233	120077244	-	0.000	0.000	Merged-chr6-120077232-23
NR766--MA0523.1.TCF7L2	chr10	75433494	75433507	+	0.000	0.000	Merged-chr10-75433442-25
NR3831--MA0523.1.TCF7L2	chr2	128544644	128544657	+	0.000	0.000	Merged-chr2-128544786-45
NR4022--MA0769.1.Tcf7	chr2	172937510	172937521	+	0.000	0.000	Merged-chr2-172937621-25
NR644--MA1421.1.TCF7L1	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR5112--MA0769.1.Tcf7	chr5	73344295	73344306	-	0.000	0.000	Merged-chr5-73344482-20
NR2729--MA0769.1.Tcf7	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR3745--MA0523.1.TCF7L2	chr2	103280069	103280082	+	0.000	0.000	Merged-chr2-103280126-14
NR3622--MA0769.1.Tcf7	chr2	65871125	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR1797--MA1421.1.TCF7L1	chr13	55255351	55255362	-	0.000	0.000	Merged-chr13-55255412-37
NR3139--MA0523.1.TCF7L2	chr18	53951318	53951331	-	0.000	0.000	Merged-chr18-53951279-47
NR3404--MA1421.1.TCF7L1	chr19	57093567	57093578	+	0.000	0.000	Merged-chr19-57093567-48
NR4190--MA0523.1.TCF7L2	chr3	87385452	87385465	+	0.000	0.000	Merged-chr3-87385488-4
NR5475--MA0523.1.TCF7L2	chr6	51442318	51442331	-	0.000	0.000	Merged-chr6-51442349-19
NR1362--MA0769.1.Tcf7	chr12	25601141	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR736--MA0523.1.TCF7L2	chr10	67698033	67698046	+	0.000	0.000	Merged-chr10-67697981-39
NR4184--MA0769.1.Tcf7	chr3	84595450	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR694--MA0769.1.Tcf7	chr10	43783356	43783367	+	0.000	0.000	Merged-chr10-43783399-14
NR6966--MA0523.1.TCF7L2	chrX	42366067	42366080	-	0.000	0.000	Merged-chrX-42366064-18
NR2779--MA0769.1.Tcf7	chr16	89816957	89816968	+	0.000	0.000	Merged-chr16-89817047-30
NR5180--MA0769.1.Tcf7	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR2587--MA1421.1.TCF7L1	chr16	4752303	4752314	-	0.000	0.000	Merged-chr16-4752313-9
NR4301--MA0769.1.Tcf7	chr3	115584852	115584863	-	0.000	0.000	Merged-chr3-115584831-13
NR4775--MA0523.1.TCF7L2	chr4	102968106	102968119	+	0.000	0.000	Merged-chr4-102968093-31
NR5832--MA0523.1.TCF7L2	chr6	146960238	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR2699--MA0769.1.Tcf7	chr16	45347113	45347124	+	0.000	0.000	Merged-chr16-45346908-42
NR6143--MA1421.1.TCF7L1	chr7	116557589	116557600	-	0.000	0.000	Merged-chr7-116557657-1
NR5503--MA0769.1.Tcf7	chr6	59024501	59024512	-	0.000	0.000	Merged-chr6-59024476-25
NR1657--MA0523.1.TCF7L2	chr12	117761967	117761980	-	0.000	0.000	Merged-chr12-117761862-24
NR3328--MA0769.1.Tcf7	chr19	24242271	24242282	-	0.000	0.000	Merged-chr19-24242140-10
NR2050--MA0769.1.Tcf7	chr14	21078678	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR4602--MA1421.1.TCF7L1	chr4	43044000	43044011	-	0.000	0.000	Merged-chr4-43044114-23
NR4169--MA0523.1.TCF7L2	chr3	79451540	79451553	-	0.000	0.000	Merged-chr3-79451498-29
NR3234--MA0769.1.Tcf7	chr18	79297906	79297917	+	0.000	0.000	Merged-chr18-79298014-36
NR5058--MA0523.1.TCF7L2	chr5	45790460	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR5060--MA1421.1.TCF7L1	chr5	46445799	46445810	+	0.000	0.000	Merged-chr5-46445949-13
NR6909--MA1421.1.TCF7L1	chr9	120692066	120692077	-	0.000	0.000	Merged-chr9-120691973-52
NR2722--MA0769.1.Tcf7	chr16	55745356	55745367	+	0.000	0.000	Merged-chr16-55745275-12
NR3989--MA0523.1.TCF7L2	chr2	163299070	163299083	+	0.000	0.000	Merged-chr2-163299110-16
NR3248--MA0769.1.Tcf7	chr18	81521369	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR6910--MA0523.1.TCF7L2	chr9	120692064	120692077	-	0.000	0.000	Merged-chr9-120691973-52
NR727--MA0769.1.Tcf7	chr10	61599722	61599733	+	0.000	0.000	Merged-chr10-61599733-13
NR6669--MA0523.1.TCF7L2	chr9	61720239	61720252	+	0.000	0.000	Merged-chr9-61720309-20
NR645--MA0523.1.TCF7L2	chr10	25387444	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR6317--MA0523.1.TCF7L2	chr8	33548680	33548693	+	0.000	0.000	Merged-chr8-33548647-24
NR2736--MA0769.1.Tcf7	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR296--MA0523.1.TCF7L2	chr1	135873175	135873188	-	0.000	0.000	Merged-chr1-135873175-7
NR2848--MA0769.1.Tcf7	chr17	15440503	15440514	+	0.000	0.000	Merged-chr17-15440327-25
NR1798--MA0523.1.TCF7L2	chr13	55255379	55255392	-	0.000	0.000	Merged-chr13-55255412-37
NR1036--MA1421.1.TCF7L1	chr11	22936501	22936512	+	0.000	0.000	Merged-chr11-22936648-30
NR2350--MA1421.1.TCF7L1	chr15	36855724	36855735	-	0.000	0.000	Merged-chr15-36855718-24
NR2855--MA0523.1.TCF7L2	chr17	21433939	21433952	+	0.000	0.000	Merged-chr17-21433933-15
NR2772--MA0769.1.Tcf7	chr16	84995568	84995579	+	0.000	0.000	Merged-chr16-84995665-26
NR5482--MA0769.1.Tcf7	chr6	53778870	53778881	-	0.000	0.000	Merged-chr6-53778855-8
NR6572--MA1421.1.TCF7L1	chr9	11559578	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR1829--MA0523.1.TCF7L2	chr13	69488206	69488219	-	0.000	0.000	Merged-chr13-69488029-32
NR1433--MA0523.1.TCF7L2	chr12	69853598	69853611	-	0.000	0.000	Merged-chr12-69853558-20
NR4598--MA0523.1.TCF7L2	chr4	41295754	41295767	+	0.000	0.000	Merged-chr4-41295781-15
NR763--MA1421.1.TCF7L1	chr10	75417904	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR683--MA0769.1.Tcf7	chr10	42633463	42633474	+	0.000	0.000	Merged-chr10-42633342-1
NR1799--MA0769.1.Tcf7	chr13	55255381	55255392	-	0.000	0.000	Merged-chr13-55255412-37
NR4603--MA0769.1.Tcf7	chr4	43044000	43044011	-	0.000	0.000	Merged-chr4-43044114-23
NR3138--MA0523.1.TCF7L2	chr18	53951307	53951320	-	0.000	0.000	Merged-chr18-53951279-47
NR3746--MA0769.1.Tcf7	chr2	103280069	103280080	+	0.000	0.000	Merged-chr2-103280126-14
NR6845--MA0523.1.TCF7L2	chr9	105689612	105689625	+	0.000	0.000	Merged-chr9-105689631-24
NR2333--MA1421.1.TCF7L1	chr15	30662246	30662257	+	0.000	0.000	Merged-chr15-30662184-17
NR5834--MA1421.1.TCF7L1	chr6	146960265	146960276	-	0.000	0.000	Merged-chr6-146960171-26
NR691--MA0523.1.TCF7L2	chr10	43740321	43740334	+	0.000	0.000	Merged-chr10-43740419-60
NR1280--MA0769.1.Tcf7	chr11	113536989	113537000	-	0.000	0.000	Merged-chr11-113536889-33
