#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR11964--MA0591.1.Bach1::Mafk	chr9	61187133	61187147	+	0.000	0.000	Merged-chr9-61187199-16
NR7003--MA0501.1.MAF::NFE2	chr2	135737701	135737715	-	0.000	0.000	Merged-chr2-135737673-31
NR537--MA0089.1.MAFG::NFE2L1	chr1	136898486	136898491	-	0.000	0.000	Merged-chr1-136898317-25
NR6108--MA0659.1.MAFG	chr19	33429569	33429589	-	0.000	0.000	Merged-chr19-33429713-40
NR6403--MA0591.1.Bach1::Mafk	chr2	28540198	28540212	+	0.000	0.000	Merged-chr2-28540150-39
NR11313--MA0496.2.MAFK	chr8	54660906	54660924	-	0.000	0.000	Merged-chr8-54660891-16
NR12015--MA0089.1.MAFG::NFE2L1	chr9	64564562	64564567	-	0.000	0.000	Merged-chr9-64564548-10
NR2555--MA0501.1.MAF::NFE2	chr12	25851741	25851755	+	0.000	0.000	Merged-chr12-25851772-17
NR4471--MA0591.1.Bach1::Mafk	chr15	85828784	85828798	+	0.000	0.000	Merged-chr15-85828905-13
NR1006--MA0495.2.MAFF	chr10	3238612	3238632	-	0.000	0.000	Merged-chr10-3238463-21
NR3085--MA0591.1.Bach1::Mafk	chr13	18757549	18757563	-	0.000	0.000	Merged-chr13-18757680-4
NR5484--MA0501.1.MAF::NFE2	chr17	86206502	86206516	-	0.000	0.000	Merged-chr17-86206449-38
NR8803--MA0089.1.MAFG::NFE2L1	chr4	148774974	148774979	+	0.000	0.000	Merged-chr4-148774974-1
NR344--MA0117.2.Mafb	chr1	88742494	88742505	-	0.000	0.000	Merged-chr1-88742519-16
NR811--MA0591.1.Bach1::Mafk	chr1	180410494	180410508	+	0.000	0.000	Merged-chr1-180410391-12
NR6368--MA0089.1.MAFG::NFE2L1	chr2	18519389	18519394	+	0.000	0.000	Merged-chr2-18519177-24
NR11215--MA0501.1.MAF::NFE2	chr8	13705799	13705813	-	0.000	0.000	Merged-chr8-13705846-21
NR5890--MA0089.1.MAFG::NFE2L1	chr18	82513661	82513666	+	0.000	0.000	Merged-chr18-82513500-48
NR1216--MA0496.2.MAFK	chr10	53346650	53346668	-	0.000	0.000	Merged-chr10-53346835-25
NR12441--MA0117.2.Mafb	chrX	56346306	56346317	-	0.000	0.000	Merged-chrX-56346415-28
NR12064--MA0591.1.Bach1::Mafk	chr9	75209438	75209452	-	0.000	0.000	Merged-chr9-75209368-16
NR4435--MA0501.1.MAF::NFE2	chr15	81308188	81308202	-	0.000	0.000	Merged-chr15-81308219-24
NR3432--MA0501.1.MAF::NFE2	chr13	97439978	97439992	-	0.000	0.000	Merged-chr13-97439792-27
NR2387--MA0591.1.Bach1::Mafk	chr11	115128698	115128712	+	0.000	0.000	Merged-chr11-115128624-38
NR3728--MA0591.1.Bach1::Mafk	chr14	27236626	27236640	-	0.000	0.000	Merged-chr14-27236582-4
NR1507--MA0089.1.MAFG::NFE2L1	chr10	98861677	98861682	-	0.000	0.000	Merged-chr10-98861710-33
NR8640--MA0591.1.Bach1::Mafk	chr4	135664671	135664685	-	0.000	0.000	Merged-chr4-135664760-27
NR1138--MA0501.1.MAF::NFE2	chr10	37321077	37321091	-	0.000	0.000	Merged-chr10-37320977-4
NR5486--MA0496.2.MAFK	chr17	86206503	86206521	-	0.000	0.000	Merged-chr17-86206449-38
NR4067--MA0501.1.MAF::NFE2	chr14	118681328	118681342	-	0.000	0.000	Merged-chr14-118681179-25
NR3969--MA0496.2.MAFK	chr14	78273821	78273839	+	0.000	0.000	Merged-chr14-78273841-14
NR12302--MA0089.1.MAFG::NFE2L1	chr9	114455682	114455687	-	0.000	0.000	Merged-chr9-114455654-16
NR2234--MA0089.1.MAFG::NFE2L1	chr11	97246738	97246743	-	0.000	0.000	Merged-chr11-97246717-13
NR5048--MA0495.2.MAFF	chr16	97442080	97442100	-	0.000	0.000	Merged-chr16-97442198-19
NR10159--MA0659.1.MAFG	chr6	128345840	128345860	+	0.000	0.000	Merged-chr6-128345779-18
NR6942--MA0501.1.MAF::NFE2	chr2	128111947	128111961	-	0.000	0.000	Merged-chr2-128111932-19
NR10690--MA0591.1.Bach1::Mafk	chr7	78766234	78766248	-	0.000	0.000	Merged-chr7-78766372-38
NR5216--MA0501.1.MAF::NFE2	chr17	34079783	34079797	+	0.000	0.000	Merged-chr17-34079741-9
NR837--MA0089.1.MAFG::NFE2L1	chr1	181877201	181877206	-	0.000	0.000	Merged-chr1-181877231-15
NR6482--MA0496.2.MAFK	chr2	38548157	38548175	-	0.000	0.000	Merged-chr2-38548313-22
NR10410--MA0591.1.Bach1::Mafk	chr7	3290321	3290335	-	0.000	0.000	Merged-chr7-3290343-35
NR1290--MA0117.2.Mafb	chr10	67841235	67841246	+	0.000	0.000	Merged-chr10-67841086-29
NR11701--MA0659.1.MAFG	chr8	125344032	125344052	-	0.000	0.000	Merged-chr8-125344095-45
NR1800--MA0501.1.MAF::NFE2	chr11	20611331	20611345	-	0.000	0.000	Merged-chr11-20611228-24
NR11041--MA0495.2.MAFF	chr7	126725174	126725194	+	0.000	0.000	Merged-chr7-126725257-13
NR9828--MA0496.2.MAFK	chr6	72841911	72841929	-	0.000	0.000	Merged-chr6-72841906-9
NR299--MA0591.1.Bach1::Mafk	chr1	83006366	83006380	-	0.000	0.000	Merged-chr1-83006483-46
NR5046--MA0089.1.MAFG::NFE2L1	chr16	97402597	97402602	-	0.000	0.000	Merged-chr16-97402543-6
NR4782--MA0495.2.MAFF	chr16	45310575	45310595	+	0.000	0.000	Merged-chr16-45310615-7
NR3130--MA0659.1.MAFG	chr13	30192169	30192189	+	0.000	0.000	Merged-chr13-30192249-19
NR2058--MA0089.1.MAFG::NFE2L1	chr11	73095690	73095695	+	0.000	0.000	Merged-chr11-73095625-2
NR8712--MA0089.1.MAFG::NFE2L1	chr4	144906846	144906851	+	0.000	0.000	Merged-chr4-144906777-28
NR6922--MA0591.1.Bach1::Mafk	chr2	124636601	124636615	+	0.000	0.000	Merged-chr2-124636722-8
NR235--MA0496.2.MAFK	chr1	69350805	69350823	-	0.000	0.000	Merged-chr1-69350970-27
NR276--MA0495.2.MAFF	chr1	80321300	80321320	-	0.000	0.000	Merged-chr1-80321528-19
NR6364--MA0089.1.MAFG::NFE2L1	chr2	17855771	17855776	-	0.000	0.000	Merged-chr2-17855738-13
NR11807--MA0495.2.MAFF	chr9	14248437	14248457	+	0.000	0.000	Merged-chr9-14248366-20
NR1534--MA0501.1.MAF::NFE2	chr10	105229292	105229306	-	0.000	0.000	Merged-chr10-105229362-2
NR815--MA0117.2.Mafb	chr1	180987726	180987737	-	0.000	0.000	Merged-chr1-180987901-35
NR3268--MA0501.1.MAF::NFE2	chr13	52915689	52915703	-	0.000	0.000	Merged-chr13-52915528-4
NR5762--MA0117.2.Mafb	chr18	62125591	62125602	-	0.000	0.000	Merged-chr18-62125570-18
NR11247--MA0496.2.MAFK	chr8	22537098	22537116	-	0.000	0.000	Merged-chr8-22537059-19
NR12033--MA0495.2.MAFF	chr9	68717083	68717103	+	0.000	0.000	Merged-chr9-68717105-6
NR3260--MA0117.2.Mafb	chr13	52004069	52004080	-	0.000	0.000	Merged-chr13-52004248-54
NR1995--MA0089.1.MAFG::NFE2L1	chr11	66982989	66982994	+	0.000	0.000	Merged-chr11-66982927-21
NR7918--MA0495.2.MAFF	chr3	133626798	133626818	+	0.000	0.000	Merged-chr3-133626779-42
NR9124--MA0501.1.MAF::NFE2	chr5	86783379	86783393	-	0.000	0.000	Merged-chr5-86783243-43
NR10650--MA0591.1.Bach1::Mafk	chr7	73517590	73517604	+	0.000	0.000	Merged-chr7-73517689-25
NR1886--MA0591.1.Bach1::Mafk	chr11	46660878	46660892	-	0.000	0.000	Merged-chr11-46660819-1
NR8065--MA0591.1.Bach1::Mafk	chr3	152800799	152800813	-	0.000	0.000	Merged-chr3-152800764-1
NR4695--MA0659.1.MAFG	chr16	24854663	24854683	-	0.000	0.000	Merged-chr16-24854563-13
NR9101--MA0117.2.Mafb	chr5	74132971	74132982	-	0.000	0.000	Merged-chr5-74132835-25
NR8810--MA0089.1.MAFG::NFE2L1	chr4	149868917	149868922	+	0.000	0.000	Merged-chr4-149868944-10
NR3461--MA0089.1.MAFG::NFE2L1	chr13	99648028	99648033	+	0.000	0.000	Merged-chr13-99648016-28
NR8107--MA0591.1.Bach1::Mafk	chr3	157884231	157884245	-	0.000	0.000	Merged-chr3-157884103-23
NR11966--MA0659.1.MAFG	chr9	61187130	61187150	+	0.000	0.000	Merged-chr9-61187199-16
NR759--MA0089.1.MAFG::NFE2L1	chr1	172895559	172895564	-	0.000	0.000	Merged-chr1-172895498-15
NR7139--MA0501.1.MAF::NFE2	chr2	150645488	150645502	-	0.000	0.000	Merged-chr2-150645418-8
NR10780--MA0591.1.Bach1::Mafk	chr7	97626067	97626081	+	0.000	0.000	Merged-chr7-97625910-13
NR7833--MA0495.2.MAFF	chr3	115584871	115584891	+	0.000	0.000	Merged-chr3-115584831-13
NR10651--MA0501.1.MAF::NFE2	chr7	73517593	73517607	+	0.000	0.000	Merged-chr7-73517689-25
NR4467--MA0659.1.MAFG	chr15	85469117	85469137	+	0.000	0.000	Merged-chr15-85469002-5
NR12396--MA0495.2.MAFF	chr9	123740893	123740913	+	0.000	0.000	Merged-chr9-123740966-33
NR3850--MA0089.1.MAFG::NFE2L1	chr14	61774047	61774052	+	0.000	0.000	Merged-chr14-61773988-12
NR657--MA0089.1.MAFG::NFE2L1	chr1	160806375	160806380	+	0.000	0.000	Merged-chr1-160806207-6
NR7895--MA0089.1.MAFG::NFE2L1	chr3	130571193	130571198	+	0.000	0.000	Merged-chr3-130571110-5
NR10641--MA0089.1.MAFG::NFE2L1	chr7	68070809	68070814	-	0.000	0.000	Merged-chr7-68070882-29
NR5324--MA0117.2.Mafb	chr17	56443638	56443649	-	0.000	0.000	Merged-chr17-56443573-18
NR5671--MA0591.1.Bach1::Mafk	chr18	39877924	39877938	+	0.000	0.000	Merged-chr18-39877975-43
NR3863--MA0089.1.MAFG::NFE2L1	chr14	64368407	64368412	+	0.000	0.000	Merged-chr14-64368474-8
NR4343--MA0501.1.MAF::NFE2	chr15	64156010	64156024	+	0.000	0.000	Merged-chr15-64155964-10
NR10427--MA0495.2.MAFF	chr7	12955034	12955054	-	0.000	0.000	Merged-chr7-12955055-4
NR2293--MA0501.1.MAF::NFE2	chr11	106125984	106125998	-	0.000	0.000	Merged-chr11-106126005-12
NR1098--MA0501.1.MAF::NFE2	chr10	25457374	25457388	-	0.000	0.000	Merged-chr10-25457296-47
NR7389--MA0501.1.MAF::NFE2	chr2	172971966	172971980	+	0.000	0.000	Merged-chr2-172972051-17
NR3081--MA0089.1.MAFG::NFE2L1	chr13	16642143	16642148	+	0.000	0.000	Merged-chr13-16642164-24
NR3138--MA0496.2.MAFK	chr13	31505465	31505483	-	0.000	0.000	Merged-chr13-31505526-12
NR177--MA0591.1.Bach1::Mafk	chr1	55196485	55196499	+	0.000	0.000	Merged-chr1-55196547-23
NR5457--MA0591.1.Bach1::Mafk	chr17	80762648	80762662	+	0.000	0.000	Merged-chr17-80762560-27
NR8198--MA0591.1.Bach1::Mafk	chr4	41295743	41295757	+	0.000	0.000	Merged-chr4-41295781-15
NR4022--MA0089.1.MAFG::NFE2L1	chr14	100222466	100222471	-	0.000	0.000	Merged-chr14-100222353-13
NR11858--MA0501.1.MAF::NFE2	chr9	38728416	38728430	+	0.000	0.000	Merged-chr9-38728411-36
NR2569--MA0089.1.MAFG::NFE2L1	chr12	28829634	28829639	-	0.000	0.000	Merged-chr12-28829718-31
NR10363--MA0089.1.MAFG::NFE2L1	chr6	146185786	146185791	-	0.000	0.000	Merged-chr6-146185680-43
NR357--MA0501.1.MAF::NFE2	chr1	91831435	91831449	+	0.000	0.000	Merged-chr1-91831329-12
NR2756--MA0089.1.MAFG::NFE2L1	chr12	91009109	91009114	-	0.000	0.000	Merged-chr12-91009085-35
NR1536--MA0496.2.MAFK	chr10	105229293	105229311	-	0.000	0.000	Merged-chr10-105229362-2
NR11970--MA0089.1.MAFG::NFE2L1	chr9	61216311	61216316	+	0.000	0.000	Merged-chr9-61216256-31
NR11969--MA0496.2.MAFK	chr9	61187131	61187149	-	0.000	0.000	Merged-chr9-61187199-16
NR9174--MA0659.1.MAFG	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR3521--MA0117.2.Mafb	chr13	107574564	107574575	-	0.000	0.000	Merged-chr13-107574590-2
NR5041--MA0495.2.MAFF	chr16	96912137	96912157	-	0.000	0.000	Merged-chr16-96912143-1
NR7086--MA0496.2.MAFK	chr2	145804908	145804926	+	0.000	0.000	Merged-chr2-145804796-32
NR7223--MA0089.1.MAFG::NFE2L1	chr2	158160159	158160164	-	0.000	0.000	Merged-chr2-158160127-37
NR5128--MA0117.2.Mafb	chr17	17845681	17845692	+	0.000	0.000	Merged-chr17-17845619-46
NR812--MA0501.1.MAF::NFE2	chr1	180410497	180410511	+	0.000	0.000	Merged-chr1-180410391-12
NR9841--MA0117.2.Mafb	chr6	82775641	82775652	-	0.000	0.000	Merged-chr6-82775550-35
NR233--MA0495.2.MAFF	chr1	69350804	69350824	-	0.000	0.000	Merged-chr1-69350970-27
NR9989--MA0089.1.MAFG::NFE2L1	chr6	106981478	106981483	-	0.000	0.000	Merged-chr6-106981432-3
NR4394--MA0496.2.MAFK	chr15	73627475	73627493	+	0.000	0.000	Merged-chr15-73627530-51
NR6105--MA0089.1.MAFG::NFE2L1	chr19	33429564	33429569	-	0.000	0.000	Merged-chr19-33429713-40
NR10085--MA0089.1.MAFG::NFE2L1	chr6	119159841	119159846	-	0.000	0.000	Merged-chr6-119159656-11
NR3871--MA0591.1.Bach1::Mafk	chr14	64650072	64650086	+	0.000	0.000	Merged-chr14-64650080-4
NR11334--MA0591.1.Bach1::Mafk	chr8	69149358	69149372	-	0.000	0.000	Merged-chr8-69149326-14
NR9631--MA0659.1.MAFG	chr6	29735986	29736006	+	0.000	0.000	Merged-chr6-29735888-24
NR11617--MA0089.1.MAFG::NFE2L1	chr8	117395469	117395474	+	0.000	0.000	Merged-chr8-117395323-13
NR1549--MA0089.1.MAFG::NFE2L1	chr10	111924394	111924399	+	0.000	0.000	Merged-chr10-111924366-28
NR9149--MA0501.1.MAF::NFE2	chr5	90742151	90742165	+	0.000	0.000	Merged-chr5-90742238-22
NR6109--MA0501.1.MAF::NFE2	chr19	33429575	33429589	+	0.000	0.000	Merged-chr19-33429713-40
NR10155--MA0495.2.MAFF	chr6	128345840	128345860	+	0.000	0.000	Merged-chr6-128345779-18
NR11300--MA0089.1.MAFG::NFE2L1	chr8	53611886	53611891	-	0.000	0.000	Merged-chr8-53611772-3
NR8727--MA0501.1.MAF::NFE2	chr4	144916727	144916741	+	0.000	0.000	Merged-chr4-144916675-7
NR6611--MA0591.1.Bach1::Mafk	chr2	70920180	70920194	+	0.000	0.000	Merged-chr2-70920097-22
NR4945--MA0496.2.MAFK	chr16	89974506	89974524	+	0.000	0.000	Merged-chr16-89974505-28
NR677--MA0089.1.MAFG::NFE2L1	chr1	161671183	161671188	+	0.000	0.000	Merged-chr1-161671075-50
NR9698--MA0089.1.MAFG::NFE2L1	chr6	48723848	48723853	-	0.000	0.000	Merged-chr6-48723812-13
NR7628--MA0501.1.MAF::NFE2	chr3	79336208	79336222	-	0.000	0.000	Merged-chr3-79336264-23
NR2752--MA0089.1.MAFG::NFE2L1	chr12	90810920	90810925	+	0.000	0.000	Merged-chr12-90810823-15
NR3587--MA0501.1.MAF::NFE2	chr13	110842271	110842285	-	0.000	0.000	Merged-chr13-110842123-42
NR11811--MA0659.1.MAFG	chr9	14248437	14248457	+	0.000	0.000	Merged-chr9-14248366-20
NR3317--MA0089.1.MAFG::NFE2L1	chr13	67082077	67082082	-	0.000	0.000	Merged-chr13-67082172-4
NR178--MA0501.1.MAF::NFE2	chr1	55196488	55196502	+	0.000	0.000	Merged-chr1-55196547-23
NR8616--MA0501.1.MAF::NFE2	chr4	132800063	132800077	+	0.000	0.000	Merged-chr4-132800149-6
NR12120--MA0495.2.MAFF	chr9	83564270	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR5377--MA0089.1.MAFG::NFE2L1	chr17	72822227	72822232	+	0.000	0.000	Merged-chr17-72822157-16
NR5511--MA0501.1.MAF::NFE2	chr17	88213816	88213830	-	0.000	0.000	Merged-chr17-88213709-19
NR5265--MA0496.2.MAFK	chr17	42887611	42887629	+	0.000	0.000	Merged-chr17-42887503-23
NR6393--MA0089.1.MAFG::NFE2L1	chr2	25620598	25620603	+	0.000	0.000	Merged-chr2-25620603-21
NR359--MA0495.2.MAFF	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR10157--MA0117.2.Mafb	chr6	128345849	128345860	-	0.000	0.000	Merged-chr6-128345779-18
NR6198--MA0501.1.MAF::NFE2	chr19	53760490	53760504	+	0.000	0.000	Merged-chr19-53760542-10
NR4980--MA0501.1.MAF::NFE2	chr16	92904131	92904145	+	0.000	0.000	Merged-chr16-92904166-16
NR6156--MA0117.2.Mafb	chr19	44078358	44078369	-	0.000	0.000	Merged-chr19-44078434-18
NR1396--MA0117.2.Mafb	chr10	84689991	84690002	-	0.000	0.000	Merged-chr10-84689954-1
NR12122--MA0591.1.Bach1::Mafk	chr9	83564273	83564287	+	0.000	0.000	Merged-chr9-83564254-44
NR12243--MA0117.2.Mafb	chr9	106234135	106234146	+	0.000	0.000	Merged-chr9-106234085-16
NR11728--MA0089.1.MAFG::NFE2L1	chr8	126828233	126828238	+	0.000	0.000	Merged-chr8-126828287-16
NR4666--MA0659.1.MAFG	chr16	22794955	22794975	+	0.000	0.000	Merged-chr16-22794765-7
NR1972--MA0495.2.MAFF	chr11	61564180	61564200	+	0.000	0.000	Merged-chr11-61564144-31
NR9177--MA0501.1.MAF::NFE2	chr5	92373330	92373344	-	0.000	0.000	Merged-chr5-92373310-21
NR4433--MA0117.2.Mafb	chr15	81308188	81308199	+	0.000	0.000	Merged-chr15-81308219-24
NR11810--MA0591.1.Bach1::Mafk	chr9	14248440	14248454	-	0.000	0.000	Merged-chr9-14248366-20
NR7255--MA0117.2.Mafb	chr2	163431440	163431451	-	0.000	0.000	Merged-chr2-163431267-6
NR4691--MA0495.2.MAFF	chr16	24854663	24854683	-	0.000	0.000	Merged-chr16-24854563-13
NR6257--MA0496.2.MAFK	chr19	58850791	58850809	-	0.000	0.000	Merged-chr19-58850860-26
NR107--MA0089.1.MAFG::NFE2L1	chr1	38557862	38557867	+	0.000	0.000	Merged-chr1-38557840-50
NR3724--MA0501.1.MAF::NFE2	chr14	26919463	26919477	+	0.000	0.000	Merged-chr14-26919575-5
NR2487--MA0089.1.MAFG::NFE2L1	chr12	3886640	3886645	-	0.000	0.000	Merged-chr12-3886470-4
NR843--MA0495.2.MAFF	chr1	182100628	182100648	-	0.000	0.000	Merged-chr1-182100503-13
NR6910--MA0501.1.MAF::NFE2	chr2	122020597	122020611	+	0.000	0.000	Merged-chr2-122020740-8
NR4916--MA0591.1.Bach1::Mafk	chr16	84620084	84620098	-	0.000	0.000	Merged-chr16-84619977-8
NR828--MA0591.1.Bach1::Mafk	chr1	181299467	181299481	+	0.000	0.000	Merged-chr1-181299360-30
NR7641--MA0501.1.MAF::NFE2	chr3	84595486	84595500	+	0.000	0.000	Merged-chr3-84595329-34
NR6273--MA0591.1.Bach1::Mafk	chr19	60140260	60140274	-	0.000	0.000	Merged-chr19-60140169-1
NR845--MA0659.1.MAFG	chr1	182100628	182100648	-	0.000	0.000	Merged-chr1-182100503-13
NR7920--MA0496.2.MAFK	chr3	133626799	133626817	+	0.000	0.000	Merged-chr3-133626779-42
NR10431--MA0659.1.MAFG	chr7	12955034	12955054	-	0.000	0.000	Merged-chr7-12955055-4
NR11814--MA0496.2.MAFK	chr9	14248438	14248456	+	0.000	0.000	Merged-chr9-14248366-20
NR12181--MA0659.1.MAFG	chr9	92602540	92602560	-	0.000	0.000	Merged-chr9-92602445-4
NR6616--MA0089.1.MAFG::NFE2L1	chr2	71837912	71837917	+	0.000	0.000	Merged-chr2-71837940-9
NR2169--MA0591.1.Bach1::Mafk	chr11	87724909	87724923	+	0.000	0.000	Merged-chr11-87724985-4
NR10972--MA0089.1.MAFG::NFE2L1	chr7	117988681	117988686	+	0.000	0.000	Merged-chr7-117988670-8
NR12040--MA0591.1.Bach1::Mafk	chr9	68972415	68972429	-	0.000	0.000	Merged-chr9-68972513-17
NR12351--MA0089.1.MAFG::NFE2L1	chr9	118361144	118361149	-	0.000	0.000	Merged-chr9-118361138-26
NR7847--MA0089.1.MAFG::NFE2L1	chr3	121442544	121442549	-	0.000	0.000	Merged-chr3-121442451-4
NR2171--MA0496.2.MAFK	chr11	87724907	87724925	+	0.000	0.000	Merged-chr11-87724985-4
NR4174--MA0501.1.MAF::NFE2	chr15	28081382	28081396	+	0.000	0.000	Merged-chr15-28081319-36
NR6805--MA0501.1.MAF::NFE2	chr2	116998934	116998948	-	0.000	0.000	Merged-chr2-116999120-8
NR8339--MA0496.2.MAFK	chr4	88079189	88079207	-	0.000	0.000	Merged-chr4-88079193-33
NR11622--MA0089.1.MAFG::NFE2L1	chr8	119678701	119678706	+	0.000	0.000	Merged-chr8-119678653-6
NR5215--MA0117.2.Mafb	chr17	34079786	34079797	-	0.000	0.000	Merged-chr17-34079741-9
NR2570--MA0089.1.MAFG::NFE2L1	chr12	28829700	28829705	-	0.000	0.000	Merged-chr12-28829718-31
NR9123--MA0591.1.Bach1::Mafk	chr5	86783382	86783396	-	0.000	0.000	Merged-chr5-86783243-43
NR10897--MA0117.2.Mafb	chr7	112239002	112239013	-	0.000	0.000	Merged-chr7-112238810-51
NR4387--MA0501.1.MAF::NFE2	chr15	73318867	73318881	-	0.000	0.000	Merged-chr15-73318798-19
NR6792--MA0591.1.Bach1::Mafk	chr2	114059831	114059845	+	0.000	0.000	Merged-chr2-114059851-34
NR362--MA0591.1.Bach1::Mafk	chr1	92119344	92119358	+	0.000	0.000	Merged-chr1-92119439-48
NR6801--MA0089.1.MAFG::NFE2L1	chr2	115610676	115610681	+	0.000	0.000	Merged-chr2-115610633-33
NR7993--MA0495.2.MAFF	chr3	144134643	144134663	-	0.000	0.000	Merged-chr3-144134560-2
NR7470--MA0591.1.Bach1::Mafk	chr3	9151718	9151732	+	0.000	0.000	Merged-chr3-9151770-9
NR2635--MA0117.2.Mafb	chr12	53032990	53033001	+	0.000	0.000	Merged-chr12-53032976-31
NR4665--MA0591.1.Bach1::Mafk	chr16	22794958	22794972	-	0.000	0.000	Merged-chr16-22794765-7
NR2044--MA0591.1.Bach1::Mafk	chr11	71230852	71230866	+	0.000	0.000	Merged-chr11-71230864-28
NR2091--MA0496.2.MAFK	chr11	75878753	75878771	-	0.000	0.000	Merged-chr11-75878686-10
NR2683--MA0089.1.MAFG::NFE2L1	chr12	72748555	72748560	+	0.000	0.000	Merged-chr12-72748579-13
NR11729--MA0591.1.Bach1::Mafk	chr8	126828231	126828245	+	0.000	0.000	Merged-chr8-126828287-16
NR9170--MA0495.2.MAFF	chr5	92353778	92353798	+	0.000	0.000	Merged-chr5-92353751-46
NR3248--MA0089.1.MAFG::NFE2L1	chr13	49270739	49270744	+	0.000	0.000	Merged-chr13-49270675-31
NR4622--MA0591.1.Bach1::Mafk	chr16	14350969	14350983	-	0.000	0.000	Merged-chr16-14350919-24
NR10434--MA0496.2.MAFK	chr7	12955035	12955053	-	0.000	0.000	Merged-chr7-12955055-4
NR1463--MA0495.2.MAFF	chr10	93567012	93567032	-	0.000	0.000	Merged-chr10-93567136-2
NR2419--MA0089.1.MAFG::NFE2L1	chr11	117092971	117092976	-	0.000	0.000	Merged-chr11-117092893-43
NR4640--MA0089.1.MAFG::NFE2L1	chr16	18377403	18377408	-	0.000	0.000	Merged-chr16-18377300-20
NR7159--MA0501.1.MAF::NFE2	chr2	150918954	150918968	+	0.000	0.000	Merged-chr2-150918832-31
NR6317--MA0501.1.MAF::NFE2	chr2	8870192	8870206	-	0.000	0.000	Merged-chr2-8870300-9
NR12184--MA0496.2.MAFK	chr9	92602541	92602559	-	0.000	0.000	Merged-chr9-92602445-4
NR5263--MA0495.2.MAFF	chr17	42887610	42887630	+	0.000	0.000	Merged-chr17-42887503-23
NR5665--MA0591.1.Bach1::Mafk	chr18	39657176	39657190	+	0.000	0.000	Merged-chr18-39657147-8
NR629--MA0496.2.MAFK	chr1	155091523	155091541	+	0.000	0.000	Merged-chr1-155091563-28
NR1888--MA0496.2.MAFK	chr11	46660876	46660894	-	0.000	0.000	Merged-chr11-46660819-1
NR9070--MA0501.1.MAF::NFE2	chr5	64676826	64676840	+	0.000	0.000	Merged-chr5-64676646-18
NR10711--MA0591.1.Bach1::Mafk	chr7	80821097	80821111	+	0.000	0.000	Merged-chr7-80821063-7
NR9293--MA0117.2.Mafb	chr5	107061883	107061894	+	0.000	0.000	Merged-chr5-107061883-14
NR7814--MA0591.1.Bach1::Mafk	chr3	109165417	109165431	-	0.000	0.000	Merged-chr3-109165436-34
NR4259--MA0591.1.Bach1::Mafk	chr15	53400150	53400164	-	0.000	0.000	Merged-chr15-53400350-16
NR9047--MA0117.2.Mafb	chr5	58084192	58084203	-	0.000	0.000	Merged-chr5-58084122-29
NR12189--MA0496.2.MAFK	chr9	93131712	93131730	+	0.000	0.000	Merged-chr9-93131866-17
NR10211--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR9921--MA0591.1.Bach1::Mafk	chr6	97447133	97447147	+	0.000	0.000	Merged-chr6-97447180-22
NR6636--MA0089.1.MAFG::NFE2L1	chr2	76421649	76421654	-	0.000	0.000	Merged-chr2-76421582-29
NR10802--MA0089.1.MAFG::NFE2L1	chr7	101288099	101288104	+	0.000	0.000	Merged-chr7-101288112-19
NR9732--MA0117.2.Mafb	chr6	53498097	53498108	-	0.000	0.000	Merged-chr6-53498072-40
NR10734--MA0591.1.Bach1::Mafk	chr7	83671782	83671796	+	0.000	0.000	Merged-chr7-83671717-3
NR6404--MA0501.1.MAF::NFE2	chr2	28540201	28540215	+	0.000	0.000	Merged-chr2-28540150-39
NR3533--MA0089.1.MAFG::NFE2L1	chr13	108100867	108100872	+	0.000	0.000	Merged-chr13-108100820-31
NR8998--MA0089.1.MAFG::NFE2L1	chr5	34466839	34466844	+	0.000	0.000	Merged-chr5-34466876-6
NR6259--MA0591.1.Bach1::Mafk	chr19	58850832	58850846	+	0.000	0.000	Merged-chr19-58850860-26
NR9385--MA0501.1.MAF::NFE2	chr5	122288691	122288705	+	0.000	0.000	Merged-chr5-122288620-47
NR6479--MA0495.2.MAFF	chr2	38548156	38548176	+	0.000	0.000	Merged-chr2-38548313-22
NR9175--MA0496.2.MAFK	chr5	92353779	92353797	+	0.000	0.000	Merged-chr5-92353751-46
NR11216--MA0496.2.MAFK	chr8	13705800	13705818	+	0.000	0.000	Merged-chr8-13705846-21
NR2045--MA0501.1.MAF::NFE2	chr11	71230855	71230869	+	0.000	0.000	Merged-chr11-71230864-28
NR2804--MA0089.1.MAFG::NFE2L1	chr12	99610497	99610502	+	0.000	0.000	Merged-chr12-99610571-42
