#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR3267--MA0684.1.RUNX3	chr14	48246460	48246469	-	0.000	0.000	Merged-chr14-48246381-22
NR1587--MA0684.1.RUNX3	chr11	35747243	35747252	-	0.000	0.000	Merged-chr11-35747326-7
NR9158--MA0002.2.RUNX1	chr7	43400070	43400080	+	0.000	0.000	Merged-chr7-43399918-26
NR9095--MA0511.2.RUNX2	chr7	24517477	24517485	-	0.000	0.000	Merged-chr7-24517301-15
NR7338--MA0511.2.RUNX2	chr4	123287779	123287787	-	0.000	0.000	Merged-chr4-123287942-8
NR4311--MA0684.1.RUNX3	chr16	76422747	76422756	+	0.000	0.000	Merged-chr16-76422823-13
NR3369--MA0002.2.RUNX1	chr14	67818319	67818329	-	0.000	0.000	Merged-chr14-67818328-11
NR10109--MA0684.1.RUNX3	chr8	120396888	120396897	-	0.000	0.000	Merged-chr8-120396987-32
NR10675--MA0684.1.RUNX3	chr9	111138402	111138411	+	0.000	0.000	Merged-chr9-111138403-3
NR6907--MA0684.1.RUNX3	chr3	149394059	149394068	-	0.000	0.000	Merged-chr3-149393865-18
NR4413--MA0002.2.RUNX1	chr16	94485294	94485304	+	0.000	0.000	Merged-chr16-94485171-25
NR68--MA0002.2.RUNX1	chr1	39559239	39559249	-	0.000	0.000	Merged-chr1-39559167-24
NR2114--MA0002.2.RUNX1	chr12	8306744	8306754	-	0.000	0.000	Merged-chr12-8306600-1
NR8819--MA0002.2.RUNX1	chr6	130538634	130538644	-	0.000	0.000	Merged-chr6-130538609-12
NR2746--MA0002.2.RUNX1	chr13	35960096	35960106	+	0.000	0.000	Merged-chr13-35959953-5
NR6629--MA0002.2.RUNX1	chr3	94376017	94376027	-	0.000	0.000	Merged-chr3-94376064-1
NR2332--MA0002.2.RUNX1	chr12	85944605	85944615	-	0.000	0.000	Merged-chr12-85944621-1
NR473--MA0002.2.RUNX1	chr1	144276045	144276055	+	0.000	0.000	Merged-chr1-144275874-18
NR4806--MA0002.2.RUNX1	chr17	83985535	83985545	+	0.000	0.000	Merged-chr17-83985583-7
NR330--MA0002.2.RUNX1	chr1	106035309	106035319	+	0.000	0.000	Merged-chr1-106035367-19
NR2907--MA0684.1.RUNX3	chr13	81297355	81297364	-	0.000	0.000	Merged-chr13-81297421-2
NR4025--MA0002.2.RUNX1	chr16	8731900	8731910	-	0.000	0.000	Merged-chr16-8732071-1
NR905--MA0684.1.RUNX3	chr10	17512261	17512270	-	0.000	0.000	Merged-chr10-17512175-6
NR4901--MA0684.1.RUNX3	chr18	14675979	14675988	+	0.000	0.000	Merged-chr18-14675814-20
NR203--MA0511.2.RUNX2	chr1	75533603	75533611	-	0.000	0.000	Merged-chr1-75533497-24
NR978--MA0511.2.RUNX2	chr10	39005776	39005784	+	0.000	0.000	Merged-chr10-39005753-18
NR2615--MA0684.1.RUNX3	chr13	8742951	8742960	+	0.000	0.000	Merged-chr13-8742974-25
NR10597--MA0511.2.RUNX2	chr9	96545688	96545696	-	0.000	0.000	Merged-chr9-96545653-10
NR8692--MA0002.2.RUNX1	chr6	119199211	119199221	+	0.000	0.000	Merged-chr6-119199024-52
NR8300--MA0511.2.RUNX2	chr6	6577522	6577530	+	0.000	0.000	Merged-chr6-6577639-1
NR7126--MA0511.2.RUNX2	chr4	62367820	62367828	+	0.000	0.000	Merged-chr4-62367859-6
NR160--MA0002.2.RUNX1	chr1	64756880	64756890	+	0.000	0.000	Merged-chr1-64756853-21
NR2671--MA0684.1.RUNX3	chr13	20502836	20502845	-	0.000	0.000	Merged-chr13-20502802-9
NR3448--MA0684.1.RUNX3	chr14	77742008	77742017	+	0.000	0.000	Merged-chr14-77742060-11
NR878--MA0684.1.RUNX3	chr10	10307521	10307530	-	0.000	0.000	Merged-chr10-10307543-35
NR2131--MA0511.2.RUNX2	chr12	16321296	16321304	+	0.000	0.000	Merged-chr12-16321346-3
NR5237--MA0684.1.RUNX3	chr19	10830053	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR205--MA0002.2.RUNX1	chr1	75533616	75533626	-	0.000	0.000	Merged-chr1-75533497-24
NR6276--MA0002.2.RUNX1	chr2	165956427	165956437	+	0.000	0.000	Merged-chr2-165956535-28
NR2045--MA0002.2.RUNX1	chr11	115366303	115366313	-	0.000	0.000	Merged-chr11-115366369-13
NR6010--MA0684.1.RUNX3	chr2	121125628	121125637	+	0.000	0.000	Merged-chr2-121125577-7
NR10108--MA0002.2.RUNX1	chr8	120396887	120396897	+	0.000	0.000	Merged-chr8-120396987-32
NR9159--MA0511.2.RUNX2	chr7	43430966	43430974	-	0.000	0.000	Merged-chr7-43430848-7
NR2789--MA0511.2.RUNX2	chr13	45455949	45455957	+	0.000	0.000	Merged-chr13-45455779-40
NR8206--MA0002.2.RUNX1	chr5	140624014	140624024	-	0.000	0.000	Merged-chr5-140623883-3
NR8663--MA0002.2.RUNX1	chr6	112879746	112879756	-	0.000	0.000	Merged-chr6-112879624-4
NR9169--MA0002.2.RUNX1	chr7	44839664	44839674	+	0.000	0.000	Merged-chr7-44839649-46
NR8315--MA0002.2.RUNX1	chr6	12081954	12081964	+	0.000	0.000	Merged-chr6-12082002-27
NR6906--MA0002.2.RUNX1	chr3	149394058	149394068	+	0.000	0.000	Merged-chr3-149393865-18
NR6016--MA0002.2.RUNX1	chr2	123243765	123243775	-	0.000	0.000	Merged-chr2-123243838-1
NR8676--MA0002.2.RUNX1	chr6	114934410	114934420	-	0.000	0.000	Merged-chr6-114934394-6
NR2289--MA0002.2.RUNX1	chr12	76085159	76085169	-	0.000	0.000	Merged-chr12-76085234-6
NR1640--MA0002.2.RUNX1	chr11	51938888	51938898	-	0.000	0.000	Merged-chr11-51938980-15
NR2192--MA0511.2.RUNX2	chr12	40082663	40082671	-	0.000	0.000	Merged-chr12-40082699-21
NR10229--MA0684.1.RUNX3	chr9	7790862	7790871	-	0.000	0.000	Merged-chr9-7790841-6
NR6852--MA0684.1.RUNX3	chr3	142674814	142674823	-	0.000	0.000	Merged-chr3-142674758-15
NR2668--MA0684.1.RUNX3	chr13	20502780	20502789	-	0.000	0.000	Merged-chr13-20502802-9
NR3551--MA0002.2.RUNX1	chr14	118919218	118919228	+	0.000	0.000	Merged-chr14-118919285-17
NR5483--MA0002.2.RUNX1	chr19	57113350	57113360	-	0.000	0.000	Merged-chr19-57113185-31
NR2363--MA0684.1.RUNX3	chr12	92823631	92823640	+	0.000	0.000	Merged-chr12-92823421-39
NR2713--MA0511.2.RUNX2	chr13	29979450	29979458	+	0.000	0.000	Merged-chr13-29979339-43
NR7781--MA0684.1.RUNX3	chr5	64212799	64212808	-	0.000	0.000	Merged-chr5-64212951-2
NR1231--MA0002.2.RUNX1	chr10	89415728	89415738	-	0.000	0.000	Merged-chr10-89415714-14
NR10611--MA0002.2.RUNX1	chr9	96953704	96953714	+	0.000	0.000	Merged-chr9-96953731-26
NR1929--MA0002.2.RUNX1	chr11	103776883	103776893	+	0.000	0.000	Merged-chr11-103776919-6
NR8355--MA0002.2.RUNX1	chr6	28949422	28949432	-	0.000	0.000	Merged-chr6-28949446-17
NR8311--MA0511.2.RUNX2	chr6	12012367	12012375	+	0.000	0.000	Merged-chr6-12012357-7
NR1875--MA0684.1.RUNX3	chr11	95748511	95748520	-	0.000	0.000	Merged-chr11-95748526-3
NR3949--MA0002.2.RUNX1	chr15	96715003	96715013	+	0.000	0.000	Merged-chr15-96714966-7
NR349--MA0511.2.RUNX2	chr1	115921111	115921119	-	0.000	0.000	Merged-chr1-115921039-2
NR8477--MA0002.2.RUNX1	chr6	65937442	65937452	+	0.000	0.000	Merged-chr6-65937524-1
NR1550--MA0002.2.RUNX1	chr11	20064076	20064086	-	0.000	0.000	Merged-chr11-20064139-6
NR7113--MA0002.2.RUNX1	chr4	59244348	59244358	-	0.000	0.000	Merged-chr4-59244253-10
NR9250--MA0002.2.RUNX1	chr7	66104630	66104640	-	0.000	0.000	Merged-chr7-66104804-17
NR9921--MA0684.1.RUNX3	chr8	77490489	77490498	+	0.000	0.000	Merged-chr8-77490437-4
NR3613--MA0511.2.RUNX2	chr15	12447227	12447235	+	0.000	0.000	Merged-chr15-12447311-14
NR1440--MA0684.1.RUNX3	chr10	123857284	123857293	-	0.000	0.000	Merged-chr10-123857138-2
NR5032--MA0002.2.RUNX1	chr18	65207728	65207738	+	0.000	0.000	Merged-chr18-65207601-18
NR9612--MA0511.2.RUNX2	chr7	128382347	128382355	-	0.000	0.000	Merged-chr7-128382170-51
NR3060--MA0002.2.RUNX1	chr13	104615130	104615140	+	0.000	0.000	Merged-chr13-104615216-10
NR1698--MA0002.2.RUNX1	chr11	62609206	62609216	+	0.000	0.000	Merged-chr11-62609221-7
NR8818--MA0511.2.RUNX2	chr6	130538634	130538642	+	0.000	0.000	Merged-chr6-130538609-12
NR7780--MA0002.2.RUNX1	chr5	64212798	64212808	+	0.000	0.000	Merged-chr5-64212951-2
NR1968--MA0684.1.RUNX3	chr11	107407889	107407898	+	0.000	0.000	Merged-chr11-107407910-19
NR7716--MA0002.2.RUNX1	chr5	38274103	38274113	-	0.000	0.000	Merged-chr5-38274062-24
NR4024--MA0511.2.RUNX2	chr16	8731900	8731908	+	0.000	0.000	Merged-chr16-8732071-1
NR1805--MA0002.2.RUNX1	chr11	83010973	83010983	+	0.000	0.000	Merged-chr11-83011014-13
NR2960--MA0002.2.RUNX1	chr13	92274667	92274677	-	0.000	0.000	Merged-chr13-92274719-16
NR4799--MA0511.2.RUNX2	chr17	83634453	83634461	+	0.000	0.000	Merged-chr17-83634380-4
NR5320--MA0511.2.RUNX2	chr19	29196946	29196954	+	0.000	0.000	Merged-chr19-29196940-3
NR4338--MA0684.1.RUNX3	chr16	84813439	84813448	+	0.000	0.000	Merged-chr16-84813469-4
NR7715--MA0684.1.RUNX3	chr5	37259132	37259141	+	0.000	0.000	Merged-chr5-37259222-30
NR8919--MA0511.2.RUNX2	chr6	142556424	142556432	+	0.000	0.000	Merged-chr6-142556330-1
NR1080--MA0002.2.RUNX1	chr10	61465229	61465239	-	0.000	0.000	Merged-chr10-61465182-15
NR7166--MA0002.2.RUNX1	chr4	84118723	84118733	+	0.000	0.000	Merged-chr4-84118627-8
NR9160--MA0002.2.RUNX1	chr7	43430964	43430974	+	0.000	0.000	Merged-chr7-43430848-7
NR1221--MA0002.2.RUNX1	chr10	88346741	88346751	+	0.000	0.000	Merged-chr10-88346697-18
NR6782--MA0002.2.RUNX1	chr3	130788205	130788215	+	0.000	0.000	Merged-chr3-130788036-10
NR4039--MA0002.2.RUNX1	chr16	14082216	14082226	+	0.000	0.000	Merged-chr16-14082395-6
NR3265--MA0511.2.RUNX2	chr14	48246461	48246469	-	0.000	0.000	Merged-chr14-48246381-22
NR1585--MA0511.2.RUNX2	chr11	35747244	35747252	-	0.000	0.000	Merged-chr11-35747326-7
NR9205--MA0002.2.RUNX1	chr7	49752418	49752428	-	0.000	0.000	Merged-chr7-49752450-3
NR1346--MA0511.2.RUNX2	chr10	111562798	111562806	+	0.000	0.000	Merged-chr10-111562842-26
NR5587--MA0002.2.RUNX1	chr2	18962703	18962713	+	0.000	0.000	Merged-chr2-18962712-7
