#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR6050--MA0769.1.Tcf7	chr8	124344150	124344161	+	0.000	0.000	Merged-chr8-124344156-18
NR2285--MA0523.1.TCF7L2	chr15	50098424	50098437	+	0.000	0.000	Merged-chr15-50098332-1,Merged-chr15-50098581-5
NR2382--MA1421.1.TCF7L1	chr15	78683745	78683756	-	0.000	0.000	Merged-chr15-78683730-20
NR4025--MA0523.1.TCF7L2	chr3	101066269	101066282	+	0.000	0.000	Merged-chr3-101066330-34
NR3667--MA1421.1.TCF7L1	chr2	129285386	129285397	-	0.000	0.000	Merged-chr2-129285453-11
NR5090--MA0769.1.Tcf7	chr6	39348076	39348087	+	0.000	0.000	Merged-chr6-39348126-65
NR5614--MA0769.1.Tcf7	chr7	96910488	96910499	+	0.000	0.000	Merged-chr7-96910268-22
NR3944--MA0523.1.TCF7L2	chr3	68967124	68967137	-	0.000	0.000	Merged-chr3-68967303-47
NR4231--MA0523.1.TCF7L2	chr3	148762785	148762798	+	0.000	0.000	Merged-chr3-148762804-58
NR5009--MA0523.1.TCF7L2	chr5	149427632	149427645	-	0.000	0.000	Merged-chr5-149427432-30
NR359--MA0523.1.TCF7L2	chr1	165851005	165851018	-	0.000	0.000	Merged-chr1-165850957-6
NR2331--MA1421.1.TCF7L1	chr15	62374854	62374865	+	0.000	0.000	Merged-chr15-62374783-6
NR3685--MA0769.1.Tcf7	chr2	132669231	132669242	+	0.000	0.000	Merged-chr2-132669439-31
NR5511--MA0769.1.Tcf7	chr7	49421423	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR4869--MA0769.1.Tcf7	chr5	103917177	103917188	+	0.000	0.000	Merged-chr5-103917325-19
NR4930--MA1421.1.TCF7L1	chr5	124943852	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR5708--MA1421.1.TCF7L1	chr7	115310907	115310918	-	0.000	0.000	Merged-chr7-115311049-7
NR282--MA0769.1.Tcf7	chr1	151245345	151245356	+	0.000	0.000	Merged-chr1-151245323-7
NR1183--MA0769.1.Tcf7	chr11	116418606	116418617	+	0.000	0.000	Merged-chr11-116418803-35
NR2316--MA0523.1.TCF7L2	chr15	59399300	59399313	-	0.000	0.000	Merged-chr15-59399326-17
NR4293--MA1421.1.TCF7L1	chr4	31941744	31941755	+	0.000	0.000	Merged-chr4-31941792-10
NR394--MA0769.1.Tcf7	chr1	177667278	177667289	+	0.000	0.000	Merged-chr1-177667213-17
NR918--MA0769.1.Tcf7	chr11	32271343	32271354	+	0.000	0.000	Merged-chr11-32271419-2
NR3130--MA0769.1.Tcf7	chr18	79092611	79092622	+	0.000	0.000	Merged-chr18-79092831-54
NR698--MA0523.1.TCF7L2	chr10	93050845	93050858	+	0.000	0.000	Merged-chr10-93050674-1
NR6538--MA0523.1.TCF7L2	chrX	71378627	71378640	-	0.000	0.000	Merged-chrX-71378738-26
NR5784--MA1421.1.TCF7L1	chr7	130816459	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR4426--MA0769.1.Tcf7	chr4	107605763	107605774	-	0.000	0.000	Merged-chr4-107605713-1
NR3267--MA1421.1.TCF7L1	chr19	36899744	36899755	-	0.000	0.000	Merged-chr19-36899836-2
NR5359--MA1421.1.TCF7L1	chr6	137101996	137102007	-	0.000	0.000	Merged-chr6-137101863-2
NR4676--MA1421.1.TCF7L1	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR5995--MA0769.1.Tcf7	chr8	111771941	111771952	-	0.000	0.000	Merged-chr8-111771953-9
NR5780--MA0769.1.Tcf7	chr7	127922800	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR3119--MA0523.1.TCF7L2	chr18	75374207	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR950--MA1421.1.TCF7L1	chr11	52109580	52109591	+	0.000	0.000	Merged-chr11-52109659-16
NR2365--MA1421.1.TCF7L1	chr15	73599652	73599663	-	0.000	0.000	Merged-chr15-73599756-21
NR5674--MA0523.1.TCF7L2	chr7	109265815	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR4289--MA1421.1.TCF7L1	chr4	11990124	11990135	+	0.000	0.000	Merged-chr4-11990097-18
NR1085--MA0769.1.Tcf7	chr11	97905703	97905714	-	0.000	0.000	Merged-chr11-97905718-19
NR6056--MA0523.1.TCF7L2	chr8	125080824	125080837	-	0.000	0.000	Merged-chr8-125080812-18
NR6503--MA0769.1.Tcf7	chrX	12045084	12045095	+	0.000	0.000	Merged-chrX-12045282-1
NR296--MA0769.1.Tcf7	chr1	153379981	153379992	-	0.000	0.000	Merged-chr1-153380015-29
NR5880--MA0523.1.TCF7L2	chr8	56443930	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR4216--MA0769.1.Tcf7	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR3531--MA0523.1.TCF7L2	chr2	76015509	76015522	-	0.000	0.000	Merged-chr2-76015614-27
NR3363--MA0523.1.TCF7L2	chr2	6569286	6569299	+	0.000	0.000	Merged-chr2-6569390-16
NR211--MA1421.1.TCF7L1	chr1	127733077	127733088	+	0.000	0.000	Merged-chr1-127732945-24
NR4772--MA0523.1.TCF7L2	chr5	74261228	74261241	-	0.000	0.000	Merged-chr5-74261391-1
NR1412--MA0769.1.Tcf7	chr12	99084375	99084386	-	0.000	0.000	Merged-chr12-99084355-37
NR4648--MA0523.1.TCF7L2	chr5	8397616	8397629	-	0.000	0.000	Merged-chr5-8397712-7
NR3106--MA0523.1.TCF7L2	chr18	69547456	69547469	-	0.000	0.000	Merged-chr18-69547283-22
NR4276--MA1421.1.TCF7L1	chr4	7455298	7455309	+	0.000	0.000	Merged-chr4-7455242-36
NR2930--MA0523.1.TCF7L2	chr17	74354547	74354560	-	0.000	0.000	Merged-chr17-74354475-5
NR1220--MA0523.1.TCF7L2	chr11	121777142	121777155	-	0.000	0.000	Merged-chr11-121777303-26
NR2461--MA0523.1.TCF7L2	chr15	97780960	97780973	-	0.000	0.000	Merged-chr15-97780994-12
NR2390--MA1421.1.TCF7L1	chr15	80149783	80149794	-	0.000	0.000	Merged-chr15-80149719-49
NR856--MA0769.1.Tcf7	chr10	130340352	130340363	-	0.000	0.000	Merged-chr10-130340277-13
NR1654--MA0523.1.TCF7L2	chr13	46779976	46779989	-	0.000	0.000	Merged-chr13-46780080-38
NR4225--MA1421.1.TCF7L1	chr3	146765222	146765233	-	0.000	0.000	Merged-chr3-146765113-32
NR5221--MA0769.1.Tcf7	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR3022--MA1421.1.TCF7L1	chr18	38584853	38584864	-	0.000	0.000	Merged-chr18-38584729-14
NR874--MA0769.1.Tcf7	chr11	5415750	5415761	+	0.000	0.000	Merged-chr11-5415987-23
NR2074--MA0523.1.TCF7L2	chr14	68078400	68078413	-	0.000	0.000	Merged-chr14-68078565-20
NR1603--MA0523.1.TCF7L2	chr13	21884653	21884666	+	0.000	0.000	Merged-chr13-21884696-3
NR5716--MA1421.1.TCF7L1	chr7	117090955	117090966	+	0.000	0.000	Merged-chr7-117091001-52
NR3131--MA0523.1.TCF7L2	chr18	79297906	79297919	+	0.000	0.000	Merged-chr18-79298014-36
NR5223--MA0523.1.TCF7L2	chr6	94681555	94681568	+	0.000	0.000	Merged-chr6-94681460-83
NR2280--MA0523.1.TCF7L2	chr15	39913587	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR2324--MA0523.1.TCF7L2	chr15	61438935	61438948	+	0.000	0.000	Merged-chr15-61438700-21
NR1314--MA0769.1.Tcf7	chr12	59170104	59170115	-	0.000	0.000	Merged-chr12-59170039-43
NR809--MA1421.1.TCF7L1	chr10	120556296	120556307	+	0.000	0.000	Merged-chr10-120556279-62
NR316--MA0523.1.TCF7L2	chr1	156710949	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR2120--MA1421.1.TCF7L1	chr14	78448465	78448476	-	0.000	0.000	Merged-chr14-78448544-66
NR5261--MA0523.1.TCF7L2	chr6	103565175	103565188	+	0.000	0.000	Merged-chr6-103565102-16
NR4924--MA0769.1.Tcf7	chr5	122288603	122288614	+	0.000	0.000	Merged-chr5-122288620-47
NR3346--MA0523.1.TCF7L2	chr2	3922952	3922965	+	0.000	0.000	Merged-chr2-3922894-15
NR1446--MA1421.1.TCF7L1	chr12	105538381	105538392	+	0.000	0.000	Merged-chr12-105538395-6
NR6283--MA0523.1.TCF7L2	chr9	77683541	77683554	+	0.000	0.000	Merged-chr9-77683679-29
NR3948--MA0523.1.TCF7L2	chr3	79336242	79336255	+	0.000	0.000	Merged-chr3-79336264-23
NR46--MA0523.1.TCF7L2	chr1	40358888	40358901	-	0.000	0.000	Merged-chr1-40359035-4
NR1484--MA1421.1.TCF7L1	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR4837--MA0523.1.TCF7L2	chr5	98018288	98018301	+	0.000	0.000	Merged-chr5-98018284-53
NR1104--MA0769.1.Tcf7	chr11	100891690	100891701	+	0.000	0.000	Merged-chr11-100891852-30
NR2769--MA1421.1.TCF7L1	chr17	17792227	17792238	-	0.000	0.000	Merged-chr17-17792149-13
NR888--MA0769.1.Tcf7	chr11	16871160	16871171	-	0.000	0.000	Merged-chr11-16871332-15
NR5141--MA0769.1.Tcf7	chr6	60940553	60940564	-	0.000	0.000	Merged-chr6-60940563-22
NR5262--MA0769.1.Tcf7	chr6	103565175	103565186	+	0.000	0.000	Merged-chr6-103565102-16
NR1097--MA1421.1.TCF7L1	chr11	99204072	99204083	+	0.000	0.000	Merged-chr11-99204111-44
NR5449--MA1421.1.TCF7L1	chr7	16196946	16196957	+	0.000	0.000	Merged-chr7-16196917-6
NR2879--MA0769.1.Tcf7	chr17	51879847	51879858	-	0.000	0.000	Merged-chr17-51879858-102
NR6506--MA1421.1.TCF7L1	chrX	17521303	17521314	-	0.000	0.000	Merged-chrX-17521323-26
NR3298--MA0523.1.TCF7L2	chr19	47035182	47035195	-	0.000	0.000	Merged-chr19-47035164-10
NR4056--MA0769.1.Tcf7	chr3	108644997	108645008	-	0.000	0.000	Merged-chr3-108645070-17
NR6279--MA0523.1.TCF7L2	chr9	77430918	77430931	-	0.000	0.000	Merged-chr9-77430950-36
NR5146--MA0769.1.Tcf7	chr6	61263669	61263680	+	0.000	0.000	Merged-chr6-61263601-18
NR5436--MA1421.1.TCF7L1	chr7	4087645	4087656	-	0.000	0.000	Merged-chr7-4087604-2
NR461--MA0523.1.TCF7L2	chr1	193102947	193102960	-	0.000	0.000	Merged-chr1-193102904-19
NR5846--MA0523.1.TCF7L2	chr8	25149409	25149422	+	0.000	0.000	Merged-chr8-25149287-19
NR2044--MA0523.1.TCF7L2	chr14	61046320	61046333	+	0.000	0.000	Merged-chr14-61046434-63
NR4136--MA0523.1.TCF7L2	chr3	133760434	133760447	-	0.000	0.000	Merged-chr3-133760332-18
NR5450--MA0523.1.TCF7L2	chr7	16196946	16196959	+	0.000	0.000	Merged-chr7-16196917-6
NR3311--MA0769.1.Tcf7	chr19	55792731	55792742	-	0.000	0.000	Merged-chr19-55792789-50
NR6348--MA0769.1.Tcf7	chr9	89900360	89900371	+	0.000	0.000	Merged-chr9-89900406-12
NR6133--MA0769.1.Tcf7	chr9	11559578	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR1892--MA1421.1.TCF7L1	chr13	117230517	117230528	-	0.000	0.000	Merged-chr13-117230467-15
NR1611--MA0523.1.TCF7L2	chr13	30192303	30192316	+	0.000	0.000	Merged-chr13-30192249-19
NR2318--MA1421.1.TCF7L1	chr15	59805127	59805138	-	0.000	0.000	Merged-chr15-59805045-21
NR5943--MA0769.1.Tcf7	chr8	81783019	81783030	-	0.000	0.000	Merged-chr8-81783049-28
NR2472--MA0769.1.Tcf7	chr15	99065760	99065771	-	0.000	0.000	Merged-chr15-99065640-20
NR2259--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR1042--MA0769.1.Tcf7	chr11	86109348	86109359	+	0.000	0.000	Merged-chr11-86109457-6
NR3562--MA0769.1.Tcf7	chr2	84582511	84582522	+	0.000	0.000	Merged-chr2-84582461-28
NR120--MA1421.1.TCF7L1	chr1	78591520	78591531	-	0.000	0.000	Merged-chr1-78591432-38
NR3148--MA0523.1.TCF7L2	chr18	81521367	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR4746--MA0769.1.Tcf7	chr5	64764617	64764628	+	0.000	0.000	Merged-chr5-64764597-23
NR3971--MA1421.1.TCF7L1	chr3	86206677	86206688	+	0.000	0.000	Merged-chr3-86206725-10
NR3316--MA0769.1.Tcf7	chr19	57180490	57180501	-	0.000	0.000	Merged-chr19-57180536-30
NR3354--MA0523.1.TCF7L2	chr2	5003324	5003337	-	0.000	0.000	Merged-chr2-5003396-19
NR7--MA1421.1.TCF7L1	chr1	10325504	10325515	-	0.000	0.000	Merged-chr1-10325689-27
NR4931--MA0523.1.TCF7L2	chr5	124943850	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR6281--MA0769.1.Tcf7	chr9	77431039	77431050	+	0.000	0.000	Merged-chr9-77430950-36
NR129--MA1421.1.TCF7L1	chr1	80416616	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR6483--MA1421.1.TCF7L1	chr9	122398993	122399004	+	0.000	0.000	Merged-chr9-122399009-31
NR1563--MA0523.1.TCF7L2	chr12	119148070	119148083	+	0.000	0.000	Merged-chr12-119148040-28
NR4993--MA1421.1.TCF7L1	chr5	146974240	146974251	-	0.000	0.000	Merged-chr5-146974233-28
NR137--MA0769.1.Tcf7	chr1	82870423	82870434	+	0.000	0.000	Merged-chr1-82870408-8
NR2452--MA0523.1.TCF7L2	chr15	94476042	94476055	+	0.000	0.000	Merged-chr15-94476156-15
NR6156--MA0769.1.Tcf7	chr9	32723105	32723116	+	0.000	0.000	Merged-chr9-32723164-15
NR2589--MA0769.1.Tcf7	chr16	51719825	51719836	+	0.000	0.000	Merged-chr16-51719841-20
NR6308--MA1421.1.TCF7L1	chr9	80754678	80754689	-	0.000	0.000	Merged-chr9-80754738-24
NR5196--MA0769.1.Tcf7	chr6	86910061	86910072	-	0.000	0.000	Merged-chr6-86910084-11
NR975--MA1421.1.TCF7L1	chr11	63146802	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR2392--MA0769.1.Tcf7	chr15	80149783	80149794	-	0.000	0.000	Merged-chr15-80149719-49
NR2034--MA0769.1.Tcf7	chr14	56576705	56576716	+	0.000	0.000	Merged-chr14-56576676-41
NR6249--MA0523.1.TCF7L2	chr9	66274922	66274935	+	0.000	0.000	Merged-chr9-66274857-15
NR6514--MA1421.1.TCF7L1	chrX	42364267	42364278	+	0.000	0.000	Merged-chrX-42364370-9
NR5617--MA0769.1.Tcf7	chr7	97042368	97042379	-	0.000	0.000	Merged-chr7-97042218-26
NR5881--MA0769.1.Tcf7	chr8	56443917	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR1800--MA0523.1.TCF7L2	chr13	103357025	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR285--MA0769.1.Tcf7	chr1	151973287	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR3748--MA1421.1.TCF7L1	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR3236--MA0769.1.Tcf7	chr19	27296563	27296574	+	0.000	0.000	Merged-chr19-27296385-10
NR3903--MA0769.1.Tcf7	chr3	37174957	37174968	+	0.000	0.000	Merged-chr3-37174845-28
NR5612--MA1421.1.TCF7L1	chr7	96910488	96910499	+	0.000	0.000	Merged-chr7-96910268-22
NR4312--MA0523.1.TCF7L2	chr4	44316554	44316567	+	0.000	0.000	Merged-chr4-44316514-33
NR6501--MA1421.1.TCF7L1	chrX	12045084	12045095	+	0.000	0.000	Merged-chrX-12045282-1
NR5868--MA0769.1.Tcf7	chr8	36028577	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR3036--MA0523.1.TCF7L2	chr18	46381184	46381197	+	0.000	0.000	Merged-chr18-46381195-31
NR4350--MA0523.1.TCF7L2	chr4	63928485	63928498	-	0.000	0.000	Merged-chr4-63928441-11
NR5201--MA0769.1.Tcf7	chr6	88782959	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR5591--MA0523.1.TCF7L2	chr7	88459892	88459905	-	0.000	0.000	Merged-chr7-88459917-15
NR5407--MA0769.1.Tcf7	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
NR4374--MA1421.1.TCF7L1	chr4	86719170	86719181	-	0.000	0.000	Merged-chr4-86719231-11
NR5886--MA0769.1.Tcf7	chr8	57477163	57477174	-	0.000	0.000	Merged-chr8-57477126-15
NR3242--MA0523.1.TCF7L2	chr19	29418100	29418113	+	0.000	0.000	Merged-chr19-29418073-8
NR2532--MA1421.1.TCF7L1	chr16	30174165	30174176	-	0.000	0.000	Merged-chr16-30174122-1
NR2715--MA0769.1.Tcf7	chr16	94454262	94454273	-	0.000	0.000	Merged-chr16-94454291-19
NR1628--MA0523.1.TCF7L2	chr13	35129659	35129672	-	0.000	0.000	Merged-chr13-35129636-40
NR5768--MA0523.1.TCF7L2	chr7	126179029	126179042	+	0.000	0.000	Merged-chr7-126178972-42
NR99--MA1421.1.TCF7L1	chr1	66552809	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR5540--MA0523.1.TCF7L2	chr7	68329248	68329261	-	0.000	0.000	Merged-chr7-68329155-31
NR6515--MA0769.1.Tcf7	chrX	42364267	42364278	+	0.000	0.000	Merged-chrX-42364370-9
NR297--MA0523.1.TCF7L2	chr1	153380054	153380067	-	0.000	0.000	Merged-chr1-153380015-29
NR5622--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR2733--MA0769.1.Tcf7	chr16	97402541	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR5555--MA0769.1.Tcf7	chr7	75384768	75384779	-	0.000	0.000	Merged-chr7-75384885-29
NR3129--MA1421.1.TCF7L1	chr18	79092611	79092622	+	0.000	0.000	Merged-chr18-79092831-54
NR4698--MA0769.1.Tcf7	chr5	35813684	35813695	-	0.000	0.000	Merged-chr5-35813752-8
NR4443--MA1421.1.TCF7L1	chr4	117448090	117448101	-	0.000	0.000	Merged-chr4-117448128-17
NR3760--MA1421.1.TCF7L1	chr2	153211698	153211709	+	0.000	0.000	Merged-chr2-153211681-14
NR511--MA1421.1.TCF7L1	chr10	19812014	19812025	+	0.000	0.000	Merged-chr10-19812126-32
NR5587--MA0523.1.TCF7L2	chr7	84141525	84141538	+	0.000	0.000	Merged-chr7-84141440-16
NR5461--MA0769.1.Tcf7	chr7	19837027	19837038	-	0.000	0.000	Merged-chr7-19837080-20
NR3268--MA0769.1.Tcf7	chr19	36899744	36899755	-	0.000	0.000	Merged-chr19-36899836-2
NR1894--MA0769.1.Tcf7	chr13	117230517	117230528	-	0.000	0.000	Merged-chr13-117230467-15
NR2196--MA0769.1.Tcf7	chr14	118658091	118658102	+	0.000	0.000	Merged-chr14-118658326-68
NR3010--MA0523.1.TCF7L2	chr18	32543343	32543356	-	0.000	0.000	Merged-chr18-32543284-47
NR6476--MA0523.1.TCF7L2	chr9	120476480	120476493	+	0.000	0.000	Merged-chr9-120476447-20
NR2203--MA0523.1.TCF7L2	chr14	121137384	121137397	+	0.000	0.000	Merged-chr14-121137502-35
NR3937--MA1421.1.TCF7L1	chr3	61368939	61368950	-	0.000	0.000	Merged-chr3-61368860-22
NR3444--MA0523.1.TCF7L2	chr2	34991222	34991235	-	0.000	0.000	Merged-chr2-34991107-1
NR2411--MA0769.1.Tcf7	chr15	84168879	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR1281--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR5465--MA1421.1.TCF7L1	chr7	24468103	24468114	-	0.000	0.000	Merged-chr7-24468111-23
NR2523--MA0769.1.Tcf7	chr16	24281354	24281365	-	0.000	0.000	Merged-chr16-24281269-2
NR3116--MA1421.1.TCF7L1	chr18	75374134	75374145	+	0.000	0.000	Merged-chr18-75374196-25
NR5900--MA0769.1.Tcf7	chr8	68112389	68112400	-	0.000	0.000	Merged-chr8-68112424-37
NR558--MA1421.1.TCF7L1	chr10	44679961	44679972	-	0.000	0.000	Merged-chr10-44679817-10
NR5742--MA0523.1.TCF7L2	chr7	120921346	120921359	-	0.000	0.000	Merged-chr7-120921372-21
NR1992--MA0523.1.TCF7L2	chr14	49089836	49089849	-	0.000	0.000	Merged-chr14-49089916-20
NR6529--MA0769.1.Tcf7	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR5466--MA0769.1.Tcf7	chr7	24468103	24468114	-	0.000	0.000	Merged-chr7-24468111-23
NR4070--MA0523.1.TCF7L2	chr3	115584850	115584863	-	0.000	0.000	Merged-chr3-115584831-13
NR3431--MA0523.1.TCF7L2	chr2	31950161	31950174	-	0.000	0.000	Merged-chr2-31950269-16
NR873--MA0523.1.TCF7L2	chr11	5415750	5415763	+	0.000	0.000	Merged-chr11-5415987-23
NR4716--MA0523.1.TCF7L2	chr5	52245286	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR2456--MA0523.1.TCF7L2	chr15	95826801	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR3076--MA0769.1.Tcf7	chr18	60630814	60630825	+	0.000	0.000	Merged-chr18-60630804-17
NR649--MA0769.1.Tcf7	chr10	80658902	80658913	-	0.000	0.000	Merged-chr10-80658824-84
NR5393--MA0523.1.TCF7L2	chr6	144333302	144333315	+	0.000	0.000	Merged-chr6-144333219-22
NR2662--MA0523.1.TCF7L2	chr16	78573187	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR3044--MA0523.1.TCF7L2	chr18	53411604	53411617	+	0.000	0.000	Merged-chr18-53411654-14
NR2313--MA0769.1.Tcf7	chr15	59010907	59010918	+	0.000	0.000	Merged-chr15-59010782-34
NR340--MA0769.1.Tcf7	chr1	161436696	161436707	-	0.000	0.000	Merged-chr1-161436721-21
NR2429--MA1421.1.TCF7L1	chr15	91616725	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR3761--MA0769.1.Tcf7	chr2	153211698	153211709	+	0.000	0.000	Merged-chr2-153211681-14
NR326--MA1421.1.TCF7L1	chr1	160006095	160006106	+	0.000	0.000	Merged-chr1-160006258-20
NR4278--MA0769.1.Tcf7	chr4	7455298	7455309	+	0.000	0.000	Merged-chr4-7455242-36
NR6049--MA1421.1.TCF7L1	chr8	124344150	124344161	+	0.000	0.000	Merged-chr8-124344156-18
NR3684--MA0523.1.TCF7L2	chr2	132669231	132669244	+	0.000	0.000	Merged-chr2-132669439-31
NR4066--MA0523.1.TCF7L2	chr3	109448461	109448474	+	0.000	0.000	Merged-chr3-109448408-3
NR4316--MA0523.1.TCF7L2	chr4	46182306	46182319	+	0.000	0.000	Merged-chr4-46182367-16
NR6408--MA0523.1.TCF7L2	chr9	106234099	106234112	+	0.000	0.000	Merged-chr9-106234085-16
NR6293--MA1421.1.TCF7L1	chr9	78553201	78553212	+	0.000	0.000	Merged-chr9-78553202-20
NR3633--MA0523.1.TCF7L2	chr2	118256923	118256936	+	0.000	0.000	Merged-chr2-118256887-65
NR1801--MA0769.1.Tcf7	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR4717--MA0769.1.Tcf7	chr5	52245288	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR2430--MA0523.1.TCF7L2	chr15	91616723	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR3305--MA1421.1.TCF7L1	chr19	55364331	55364342	-	0.000	0.000	Merged-chr19-55364335-1
NR3766--MA0769.1.Tcf7	chr2	157122013	157122024	-	0.000	0.000	Merged-chr2-157121969-26
NR5595--MA0523.1.TCF7L2	chr7	89712126	89712139	-	0.000	0.000	Merged-chr7-89711964-5
NR4378--MA1421.1.TCF7L1	chr4	87669755	87669766	+	0.000	0.000	Merged-chr4-87669731-33
NR4735--MA0769.1.Tcf7	chr5	63943505	63943516	+	0.000	0.000	Merged-chr5-63943362-36
NR3663--MA0769.1.Tcf7	chr2	128372514	128372525	+	0.000	0.000	Merged-chr2-128372488-21
NR2395--MA0523.1.TCF7L2	chr15	80602678	80602691	-	0.000	0.000	Merged-chr15-80602759-36
NR5993--MA1421.1.TCF7L1	chr8	111771941	111771952	-	0.000	0.000	Merged-chr8-111771953-9
NR6280--MA1421.1.TCF7L1	chr9	77431039	77431050	+	0.000	0.000	Merged-chr9-77430950-36
NR1192--MA0523.1.TCF7L2	chr11	117794366	117794379	-	0.000	0.000	Merged-chr11-117794335-14
NR6485--MA0769.1.Tcf7	chr9	122398993	122399004	+	0.000	0.000	Merged-chr9-122399009-31
NR2345--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR1103--MA0523.1.TCF7L2	chr11	100891690	100891703	+	0.000	0.000	Merged-chr11-100891852-30
NR5048--MA1421.1.TCF7L1	chr6	15716969	15716980	-	0.000	0.000	Merged-chr6-15716932-11
NR493--MA0769.1.Tcf7	chr10	12961776	12961787	-	0.000	0.000	Merged-chr10-12961810-12
NR6145--MA0769.1.Tcf7	chr9	14995766	14995777	+	0.000	0.000	Merged-chr9-14995745-32
NR5325--MA0523.1.TCF7L2	chr6	129312759	129312772	-	0.000	0.000	Merged-chr6-129312714-15
NR5759--MA0523.1.TCF7L2	chr7	125186632	125186645	+	0.000	0.000	Merged-chr7-125186656-23
NR5856--MA1421.1.TCF7L1	chr8	27172206	27172217	-	0.000	0.000	Merged-chr8-27172374-48
NR5195--MA0523.1.TCF7L2	chr6	86910059	86910072	-	0.000	0.000	Merged-chr6-86910084-11
NR4680--MA0523.1.TCF7L2	chr5	22740157	22740170	-	0.000	0.000	Merged-chr5-22740212-9
NR1045--MA0769.1.Tcf7	chr11	86409346	86409357	-	0.000	0.000	Merged-chr11-86409376-12
NR2229--MA0769.1.Tcf7	chr14	122902343	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR5203--MA1421.1.TCF7L1	chr6	89065277	89065288	-	0.000	0.000	Merged-chr6-89065226-11
NR4352--MA1421.1.TCF7L1	chr4	63941477	63941488	-	0.000	0.000	Merged-chr4-63941372-31
NR3448--MA0523.1.TCF7L2	chr2	38548329	38548342	+	0.000	0.000	Merged-chr2-38548313-22
NR39--MA1421.1.TCF7L1	chr1	39895714	39895725	-	0.000	0.000	Merged-chr1-39895697-26
NR3220--MA0523.1.TCF7L2	chr19	21547554	21547567	-	0.000	0.000	Merged-chr19-21547622-17
NR1278--MA0769.1.Tcf7	chr12	40536138	40536149	+	0.000	0.000	Merged-chr12-40536190-67
NR5144--MA0523.1.TCF7L2	chr6	61125593	61125606	-	0.000	0.000	Merged-chr6-61125660-31
NR4461--MA0523.1.TCF7L2	chr4	121002521	121002534	-	0.000	0.000	Merged-chr4-121002570-50
NR2413--MA0523.1.TCF7L2	chr15	84372947	84372960	+	0.000	0.000	Merged-chr15-84372915-18
NR4505--MA0523.1.TCF7L2	chr4	131901419	131901432	-	0.000	0.000	Merged-chr4-131901332-16
